date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,3.75,3.93,3.82,3.7,156148.66,0.0,0.0,3.852,3.645,3.524,265251.83,167223.79,94372.58
2018-10-31,3.68,4.1,3.82,3.67,300184.0,0.06,1.6,3.794,3.568,3.52,246307.7,152892.28,87572.4
2018-10-30,3.72,3.92,3.76,3.58,295169.0,-0.22,-5.53,3.73,3.505,3.517,199682.69,124197.41,73217.85
2018-10-29,3.99,4.27,3.98,3.93,381336.0,0.1,2.58,3.7,3.447,3.518,168751.49,96362.11,59455.03
2018-10-26,3.6,3.88,3.88,3.53,193421.5,0.35,9.91,3.59,3.371,3.51,102707.33,60414.21,42178.23
2018-10-25,3.38,3.65,3.53,3.29,61428.0,0.03,0.86,3.438,3.309,3.501,69195.76,44507.69,33325.26
2018-10-24,3.5,3.61,3.5,3.48,67058.93,-0.11,-3.05,3.342,3.287,3.51,59476.86,41720.19,31504.71
2018-10-23,3.45,3.77,3.61,3.4,140513.0,0.18,5.25,3.28,3.305,3.52,48712.13,37014.6,30309.59
2018-10-22,3.31,3.43,3.43,3.26,51115.24,0.31,9.94,3.194,3.313,3.518,23972.73,24202.0,24274.09
2018-10-19,3.04,3.18,3.12,2.91,25863.61,0.07,2.29,3.152,3.338,3.53,18121.08,21118.28,23062.95
2018-10-18,3.2,3.2,3.05,3.04,12833.5,-0.14,-4.39,3.18,3.402,3.562,19819.63,21521.37,23468.92
2018-10-17,3.24,3.25,3.19,3.15,13235.3,0.01,0.31,3.232,3.472,3.599,23963.53,22252.52,24113.31
2018-10-16,3.24,3.28,3.18,3.1,16816.0,-0.04,-1.24,3.33,3.528,3.632,25317.07,22238.29,24867.52
2018-10-15,3.24,3.31,3.22,3.16,21857.0,-0.04,-1.23,3.432,3.589,3.668,24431.27,22547.96,27084.57
2018-10-12,3.32,3.32,3.26,2.98,34356.36,-0.05,-1.51,3.524,3.648,3.701,24115.47,23942.26,28646.92
2018-10-11,3.61,3.61,3.31,3.31,33553.0,-0.37,-10.05,3.624,3.693,3.731,23223.1,22142.82,27755.55
2018-10-10,3.7,3.71,3.68,3.6,20003.0,-0.01,-0.27,3.712,3.732,3.757,20541.5,21289.22,27023.1
2018-10-09,3.66,3.69,3.69,3.63,12387.0,0.01,0.27,3.726,3.735,3.765,19159.5,23604.58,26882.9
2018-10-08,3.72,3.72,3.68,3.61,20278.0,-0.08,-2.13,3.746,3.722,3.771,20664.65,24346.18,27043.2
2018-09-28,3.77,3.79,3.76,3.68,29894.51,0.01,0.27,3.772,3.722,3.779,23769.05,25007.61,27518.75
2018-09-27,3.76,3.84,3.75,3.71,20145.0,0.0,0.0,3.762,3.721,3.784,21062.55,25416.46,27496.43
2018-09-26,3.82,3.82,3.75,3.75,13093.0,-0.04,-1.05,3.752,3.726,3.792,22036.95,25974.11,28307.98
2018-09-25,3.81,3.83,3.79,3.76,19912.73,-0.02,-0.53,3.744,3.735,3.798,28049.65,27496.75,29384.03
2018-09-21,3.72,3.87,3.81,3.71,35800.0,0.1,2.69,3.698,3.746,3.8,28027.7,31621.17,29986.89
2018-09-20,3.71,3.74,3.71,3.67,16362.0,0.01,0.27,3.672,3.754,3.803,26246.18,33351.58,29992.29
2018-09-19,3.68,3.75,3.7,3.64,25017.0,-0.01,-0.27,3.68,3.768,3.811,29770.38,33368.28,30623.64
2018-09-18,3.6,3.89,3.71,3.55,43156.51,0.15,4.21,3.7,3.782,3.819,29911.26,32756.98,30381.74
2018-09-17,3.67,3.67,3.56,3.56,19803.0,-0.12,-3.26,3.726,3.794,3.826,26943.84,30161.23,29322.95
2018-09-14,3.76,3.76,3.68,3.65,26892.39,-0.07,-1.87,3.794,3.82,3.839,35214.64,29740.23,30124.19
2018-09-13,3.78,3.82,3.75,3.7,33983.0,-0.05,-1.32,3.836,3.836,3.843,40456.98,30029.89,31595.37
2018-09-12,3.87,3.87,3.8,3.75,25721.42,-0.04,-1.04,3.856,3.846,3.845,36966.18,29576.39,32105.1
2018-09-11,3.89,3.89,3.84,3.8,28319.41,-0.06,-1.54,3.864,3.858,3.845,35602.7,30641.85,32598.88
2018-09-10,3.88,4.01,3.9,3.88,61157.0,0.01,0.26,3.862,3.86,3.845,33378.61,31271.31,33327.49
2018-09-07,3.82,4.07,3.89,3.82,53104.07,0.04,1.04,3.846,3.854,3.842,24265.81,28352.61,34228.16
2018-09-06,3.85,3.87,3.85,3.8,16529.0,0.01,0.26,3.836,3.852,3.836,19602.8,26633.0,34494.55
2018-09-05,3.83,3.86,3.84,3.81,18904.0,0.01,0.26,3.836,3.854,3.826,22186.6,27879.0,35383.46
2018-09-04,3.83,3.84,3.83,3.78,17199.0,0.01,0.26,3.852,3.855,3.813,25681.0,28006.5,36165.15
2018-09-03,3.82,3.83,3.82,3.74,15593.0,-0.02,-0.52,3.858,3.857,3.802,29164.0,28484.68,37267.36
2018-08-31,3.83,3.84,3.84,3.74,29789.0,-0.01,-0.26,3.862,3.857,3.786,32439.4,30508.16,37924.4
2018-08-30,3.92,3.94,3.85,3.85,29448.0,-0.07,-1.79,3.868,3.849,3.778,33663.2,33160.86,37573.05
2018-08-29,3.83,3.95,3.92,3.83,36376.0,0.06,1.55,3.872,3.843,3.77,33571.4,34633.81,38836.44
2018-08-28,3.83,3.89,3.86,3.83,34614.0,0.02,0.52,3.858,3.832,3.764,30332.0,34555.91,39357.34
