date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,4.01,4.09,4.0,4.0,38418.75,0.0,0.0,3.972,3.885,3.965,47377.23,46486.95,43923.66
2018-10-31,3.99,4.01,4.0,3.94,34556.96,0.04,1.01,3.938,3.843,3.996,48872.64,45234.76,43268.43
2018-10-30,3.96,3.99,3.96,3.89,51032.66,0.02,0.51,3.896,3.811,4.031,47261.13,45938.02,42617.3
2018-10-29,3.96,4.06,3.94,3.91,48609.0,-0.02,-0.51,3.864,3.78,4.067,46576.05,46305.61,41187.62
2018-10-26,3.82,4.03,3.96,3.81,64268.77,0.13,3.39,3.854,3.758,4.108,49192.13,46147.87,40584.77
2018-10-25,3.68,3.84,3.83,3.66,45895.8,0.04,1.05,3.798,3.745,4.149,45596.68,49590.38,39823.56
2018-10-24,3.85,3.85,3.79,3.77,26499.41,-0.01,-0.26,3.748,3.762,4.202,41596.89,50036.16,43978.72
2018-10-23,3.87,3.95,3.8,3.75,47607.29,-0.09,-2.31,3.726,3.827,4.241,44614.92,48816.01,44369.79
2018-10-22,3.8,3.98,3.89,3.72,61689.38,0.21,5.71,3.696,3.891,4.28,46035.16,45864.66,43039.54
2018-10-19,3.48,3.69,3.68,3.45,46291.51,0.1,2.79,3.662,3.948,4.319,43103.61,43546.59,41671.73
2018-10-18,3.63,3.67,3.58,3.57,25896.85,-0.1,-2.72,3.692,4.044,4.369,53584.09,41360.36,40212.3
2018-10-17,3.69,3.72,3.68,3.56,41589.56,0.03,0.82,3.776,4.149,4.423,58475.43,41302.09,40740.59
2018-10-16,3.72,3.77,3.65,3.56,54708.51,-0.07,-1.88,3.928,4.25,4.476,53017.09,39296.58,40758.67
2018-10-15,3.83,3.93,3.72,3.67,47031.63,-0.11,-2.87,4.086,4.353,4.537,45694.15,36069.63,39246.73
2018-10-12,3.97,4.01,3.83,3.6,98693.88,-0.17,-4.25,4.234,4.458,4.595,43989.56,35021.68,39823.1
2018-10-11,4.47,4.47,4.0,4.0,50353.59,-0.44,-9.91,4.396,4.552,4.64,29136.64,30056.74,35713.08
2018-10-10,4.46,4.47,4.44,4.41,14297.85,0.0,0.0,4.522,4.641,4.677,24128.74,37921.28,33911.09
2018-10-09,4.46,4.48,4.44,4.41,18093.81,-0.02,-0.45,4.572,4.655,4.696,25576.06,39923.57,34061.48
2018-10-08,4.58,4.58,4.46,4.41,38508.68,-0.18,-3.88,4.62,4.668,4.713,26445.1,40214.42,34307.4
2018-09-28,4.63,4.66,4.64,4.6,24429.26,0.01,0.22,4.682,4.689,4.729,26053.79,39796.88,32903.13
2018-09-27,4.69,4.71,4.63,4.58,25314.11,-0.06,-1.28,4.708,4.694,4.737,30976.84,39064.24,32394.69
2018-09-26,4.68,4.72,4.69,4.65,21534.44,0.01,0.21,4.76,4.697,4.749,51713.81,40179.1,31689.94
2018-09-25,4.71,4.73,4.68,4.66,22439.0,-0.09,-1.89,4.738,4.702,4.758,54271.08,42220.76,31483.2
2018-09-21,4.77,4.8,4.77,4.7,36552.14,0.0,0.0,4.716,4.721,4.767,53983.74,42423.83,31520.45
2018-09-20,4.84,4.92,4.77,4.75,49044.49,-0.12,-2.45,4.696,4.732,4.768,53539.97,44624.52,30638.24
2018-09-19,4.55,4.98,4.89,4.55,128999.0,0.31,6.77,4.68,4.728,4.768,47151.65,41369.43,28659.42
2018-09-18,4.57,4.62,4.58,4.48,34320.75,0.01,0.22,4.634,4.712,4.761,28644.38,29900.9,22827.0
2018-09-17,4.65,4.67,4.57,4.54,21002.3,-0.1,-2.14,4.666,4.736,4.775,30170.45,28199.38,22037.05
2018-09-14,4.7,4.75,4.67,4.64,34333.31,-0.02,-0.43,4.726,4.758,4.787,30863.92,28400.38,22392.92
2018-09-13,4.71,4.71,4.69,4.63,17102.9,0.03,0.64,4.768,4.768,4.796,35709.07,26009.37,21360.44
2018-09-12,4.75,4.78,4.66,4.61,36462.64,-0.08,-1.69,4.776,4.78,4.803,35587.2,25725.14,21181.87
2018-09-11,4.85,4.86,4.74,4.74,41951.09,-0.13,-2.67,4.79,4.8,4.813,31157.42,23200.78,20415.14
2018-09-10,4.83,4.95,4.87,4.82,24469.64,-0.01,-0.2,4.806,4.813,4.824,26228.32,20745.64,18918.22
2018-09-07,4.79,5.08,4.88,4.78,58559.07,0.15,3.17,4.79,4.812,4.83,25936.84,20617.07,18919.76
2018-09-06,4.73,4.82,4.73,4.71,16493.56,0.0,0.0,4.768,4.804,4.839,16309.68,16651.97,17688.79
2018-09-05,4.8,4.83,4.73,4.71,14313.74,-0.09,-1.87,4.784,4.807,4.853,15863.07,15949.42,17932.88
2018-09-04,4.83,4.84,4.82,4.75,17305.57,0.03,0.63,4.81,4.81,4.865,15244.14,15753.11,18001.4
2018-09-03,4.75,4.84,4.79,4.71,23012.24,0.02,0.42,4.82,4.814,4.876,15262.97,15874.72,18254.39
2018-08-31,4.82,4.84,4.77,4.75,10423.29,-0.04,-0.83,4.834,4.815,4.883,15297.31,16385.47,18699.55
2018-08-30,4.87,4.87,4.81,4.77,14260.51,-0.05,-1.03,4.84,4.823,4.896,16994.26,16711.51,19932.16
2018-08-29,4.89,4.89,4.86,4.83,11219.11,-0.01,-0.2,4.83,4.825,4.91,16035.76,16638.6,21695.15
2018-08-28,4.9,4.92,4.87,4.85,17399.7,0.01,0.21,4.81,4.825,4.933,16262.07,17629.51,23425.4
2018-08-27,4.8,4.87,4.86,4.76,23183.95,0.06,1.25,4.808,4.835,5.048,16486.47,17090.79,24135.29
2018-08-24,4.76,4.89,4.8,4.71,18908.03,0.04,0.84,4.796,4.847,5.161,17473.62,17222.45,25094.86
2018-08-23,4.77,4.79,4.76,4.73,9468.03,0.0,0.0,4.806,4.874,5.278,16428.76,18725.62,26477.89
2018-08-22,4.86,4.9,4.76,4.74,12350.63,-0.1,-2.06,4.82,4.899,5.39,17241.43,19916.35,29895.19
2018-08-21,4.79,4.87,4.86,4.75,18521.72,0.06,1.25,4.84,4.92,5.494,18996.94,20249.69,31041.92
2018-08-20,4.85,4.85,4.8,4.69,28119.7,-0.05,-1.03,4.862,4.938,5.596,17695.11,20634.06,34159.24
2018-08-17,4.83,4.86,4.85,4.75,13683.74,0.02,0.41,4.898,4.951,5.686,16971.28,21013.63,33971.94
2018-08-16,4.85,4.86,4.83,4.75,13531.37,-0.03,-0.62,4.942,4.969,5.773,21022.47,23152.8,34310.75
2018-08-15,5.0,5.0,4.86,4.83,21128.19,-0.11,-2.21,4.978,4.995,5.86,22591.26,26751.7,35132.51
2018-08-14,5.0,5.0,4.97,4.95,12012.57,-0.01,-0.2,5.0,5.041,5.954,21502.43,29221.29,36211.51
2018-08-13,4.98,5.01,4.98,4.94,24500.53,-0.09,-1.77,5.014,5.261,6.049,23573.0,31179.79,36717.19
2018-08-10,5.04,5.2,5.07,5.01,33939.67,0.06,1.2,5.004,5.475,6.147,25055.97,32967.27,36120.66
2018-08-09,4.98,5.05,5.01,4.94,21375.35,0.04,0.81,4.996,5.681,6.245,25283.13,34230.16,35493.11
2018-08-08,5.02,5.05,4.97,4.94,15684.05,-0.07,-1.39,5.012,5.88,6.341,30912.13,39874.02,35589.51
2018-08-07,4.95,5.09,5.04,4.92,22365.4,0.11,2.23,5.082,6.068,6.434,36940.15,41834.15,35773.83
2018-08-06,5.01,5.04,4.93,4.87,31915.39,-0.1,-1.99,5.508,6.253,6.529,38786.59,47684.42,36178.24
2018-08-03,5.06,5.12,5.03,4.97,35075.46,-0.06,-1.18,5.946,6.421,6.623,40878.56,46930.26,35829.96
2018-08-02,5.32,5.32,5.09,4.98,49520.34,-0.23,-4.32,6.366,6.577,6.711,43177.19,45468.69,34853.62
