date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,5.87,5.96,5.85,5.83,394916.38,0.01,0.17,5.81,5.871,5.91,336694.52,331895.73,303701.27
2018-10-31,5.77,5.88,5.84,5.73,332883.62,0.08,1.39,5.81,5.869,5.927,312364.06,326969.23,292878.02
2018-10-30,5.77,5.82,5.76,5.63,342478.84,0.01,0.17,5.814,5.902,5.947,302690.23,320960.53,291167.19
2018-10-29,5.82,5.87,5.75,5.68,265109.59,-0.1,-1.71,5.836,5.918,5.966,304646.15,307524.21,281234.1
2018-10-26,5.89,5.99,5.85,5.83,348084.19,0.0,0.0,5.914,5.93,5.987,337228.29,305309.02,276143.55
2018-10-25,5.69,5.91,5.85,5.65,273264.06,-0.01,-0.17,5.932,5.952,5.995,327096.94,302636.06,267425.08
2018-10-24,5.86,5.95,5.86,5.76,284514.47,-0.01,-0.17,5.928,5.951,6.001,341574.4,309539.41,262531.76
2018-10-23,6.1,6.13,5.87,5.82,352258.44,-0.27,-4.4,5.99,5.963,6.005,339230.82,296301.38,261838.13
2018-10-22,5.96,6.19,6.14,5.95,428020.31,0.2,3.37,6.0,5.965,5.995,310402.28,282746.87,255040.01
2018-10-19,5.69,5.97,5.94,5.62,297427.41,0.11,1.89,5.946,5.929,5.981,273389.74,276329.35,244936.74
2018-10-18,6.12,6.12,5.83,5.8,345651.38,-0.34,-5.51,5.972,5.949,5.969,278175.19,275506.8,238714.36
2018-10-17,5.99,6.19,6.17,5.92,272796.56,0.25,4.22,5.974,5.984,5.958,277504.42,258786.81,236191.94
2018-10-16,5.87,6.01,5.92,5.87,208115.73,0.05,0.85,5.936,5.991,5.925,253371.93,261373.85,250465.41
2018-10-15,6.1,6.11,5.87,5.87,242957.64,-0.2,-3.29,5.93,6.014,5.93,255091.47,254943.99,246055.26
2018-10-12,5.85,6.13,6.07,5.83,321354.62,0.23,3.94,5.912,6.043,5.939,279268.96,246978.08,242405.58
2018-10-11,5.86,6.01,5.84,5.79,342297.56,-0.14,-2.34,5.926,6.038,5.935,272838.42,232214.1,232558.93
2018-10-10,5.9,6.0,5.98,5.87,152134.11,0.09,1.53,5.994,6.05,5.945,240069.19,215524.11,223037.09
2018-10-09,5.8,5.9,5.89,5.78,216713.41,0.11,1.9,6.046,6.047,5.954,269375.76,227374.89,223707.4
2018-10-08,6.02,6.08,5.78,5.76,363845.09,-0.36,-5.86,6.098,6.025,5.962,254796.51,227333.16,222949.75
2018-09-28,6.13,6.17,6.14,6.05,289201.91,-0.04,-0.65,6.174,6.032,5.98,214687.2,213544.13,215619.0
2018-09-27,6.21,6.24,6.18,6.13,178451.44,-0.06,-0.96,6.15,5.989,5.987,191589.78,201921.91,211170.98
2018-09-26,6.15,6.25,6.24,6.12,298666.97,0.09,1.46,6.106,5.932,5.991,190979.02,213597.07,213393.04
2018-09-25,6.1,6.17,6.15,6.05,143817.12,-0.01,-0.16,6.048,5.859,5.992,185374.02,239556.97,217068.57
2018-09-21,6.02,6.18,6.16,5.96,163298.55,0.14,2.33,5.952,5.846,5.991,199869.8,237166.52,222359.47
2018-09-20,5.98,6.04,6.02,5.94,173714.84,0.06,1.01,5.89,5.835,5.984,212401.07,237833.08,222196.92
2018-09-19,5.94,6.03,5.96,5.94,175397.64,0.01,0.17,5.828,5.831,5.989,212254.04,232903.75,224763.2
2018-09-18,5.65,6.0,5.95,5.65,270641.94,0.28,4.94,5.758,5.839,6.002,236215.11,230550.08,224205.85
2018-09-17,5.85,5.85,5.67,5.61,216296.05,-0.18,-3.08,5.67,5.86,6.019,293739.92,220039.9,222588.71
2018-09-14,5.74,5.9,5.85,5.72,225954.86,0.14,2.45,5.74,5.899,6.051,274463.24,218566.34,222062.27
2018-09-13,5.67,5.75,5.71,5.64,172979.73,0.1,1.78,5.78,5.927,6.066,263265.1,217693.87,219424.3
2018-09-12,5.54,5.67,5.61,5.51,295202.97,0.1,1.81,5.834,5.984,6.088,253553.46,220420.04,219008.14
2018-09-11,5.99,6.0,5.51,5.51,558266.0,-0.51,-8.47,5.92,6.049,6.114,224885.05,213189.02,215130.73
2018-09-10,6.07,6.08,6.02,6.0,119912.66,-0.03,-0.5,6.05,6.125,6.158,146339.88,194580.18,197670.13
2018-09-07,6.03,6.12,6.05,5.99,169964.12,0.07,1.17,6.058,6.135,6.182,162669.43,207552.41,205189.54
2018-09-06,6.03,6.1,5.98,5.97,124421.53,-0.06,-0.99,6.074,6.133,6.199,172122.65,206560.76,207516.43
