date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,18.81,19.42,18.82,18.63,755153.19,0.7,3.86,17.986,18.495,19.479,497371.71,526413.21,476997.92
2018-10-31,18.05,18.44,18.12,17.72,467315.38,0.14,0.78,17.75,18.43,19.756,492917.4,493307.31,452931.09
2018-10-30,17.6,18.16,17.98,16.91,504913.19,0.62,3.57,17.914,18.456,20.072,469007.23,507908.85,442555.51
2018-10-29,17.6,17.9,17.36,16.88,339698.19,-0.29,-1.64,18.174,18.427,20.394,457007.31,517997.45,434095.72
2018-10-26,17.95,18.19,17.65,17.26,419778.62,0.01,0.06,18.718,18.534,20.737,531858.26,563066.22,434783.64
2018-10-25,18.0,18.16,17.64,17.05,732881.62,-1.3,-6.86,19.004,18.817,21.057,555454.7,555864.51,426142.37
2018-10-24,19.21,19.49,18.94,18.58,347764.53,-0.34,-1.76,19.11,19.077,21.381,493697.21,523734.39,408127.62
2018-10-23,20.0,20.14,19.28,19.1,444913.59,-0.8,-3.98,18.998,19.432,21.626,546810.47,513894.6,407239.68
2018-10-22,19.5,20.58,20.08,19.14,713952.94,1.0,5.24,18.68,19.731,21.821,578987.59,496446.95,403289.66
2018-10-19,17.62,19.29,19.08,17.62,537760.81,0.91,5.01,18.35,19.963,21.997,594274.19,455282.2,400681.51
2018-10-18,18.11,18.57,18.17,17.77,424094.19,-0.21,-1.14,18.63,20.463,22.341,556274.32,427582.64,397616.5
2018-10-17,18.15,18.55,18.38,17.6,613330.81,0.69,3.9,19.044,21.081,22.727,553771.57,412554.88,390579.85
2018-10-16,18.06,18.39,17.69,17.32,605799.19,-0.74,-4.01,19.866,21.688,23.126,480978.74,377202.16,377740.85
2018-10-15,20.48,20.48,18.43,18.43,790385.94,-2.05,-10.01,20.782,22.361,23.527,413906.3,350193.99,372234.97
2018-10-12,19.95,20.84,20.48,19.46,347761.47,0.24,1.19,21.576,22.939,23.906,316290.21,306501.05,372953.88
2018-10-11,21.4,21.65,20.24,20.24,411580.44,-2.25,-10.0,22.296,23.296,24.265,298890.96,296420.24,376238.92
2018-10-10,22.3,22.8,22.49,21.75,249366.64,0.22,0.99,23.118,23.685,24.62,271338.18,292520.85,374832.79
2018-10-09,22.5,22.83,22.27,21.68,270437.03,-0.13,-0.58,23.51,23.819,24.884,273425.59,300584.75,392371.82
2018-10-08,23.2,23.2,22.4,22.07,302305.47,-1.68,-6.98,23.94,23.91,25.144,286481.67,310132.37,404689.86
2018-09-28,24.65,24.65,24.08,23.35,260765.23,-0.27,-1.11,24.302,24.03,25.33,296711.9,346080.82,403871.88
2018-09-27,24.49,24.95,24.35,24.28,273816.53,-0.1,-0.41,24.296,24.218,25.436,293949.51,367650.36,410596.59
2018-09-26,24.25,24.71,24.45,23.98,259803.69,0.03,0.12,24.252,24.372,25.57,313703.53,368604.82,415831.26
2018-09-25,24.02,24.75,24.42,23.91,335717.44,0.21,0.87,24.128,24.563,25.732,327743.91,378279.54,421335.98
2018-09-21,24.09,24.25,24.21,23.31,353456.59,0.16,0.67,23.88,24.692,25.893,333783.08,394275.95,425708.85
2018-09-20,24.09,24.5,24.05,23.7,246953.3,-0.08,-0.33,23.758,24.873,26.023,395449.75,439406.7,426371.08
2018-09-19,23.7,24.65,24.13,23.5,372586.62,0.3,1.26,24.14,25.233,26.144,441351.2,456057.61,437222.77
2018-09-18,23.16,23.86,23.83,23.11,330005.62,0.65,2.8,24.492,25.555,26.224,423506.1,457144.73,432439.98
2018-09-17,23.01,23.55,23.18,22.82,365913.25,-0.42,-1.78,24.998,25.948,26.352,428815.16,484158.88,435448.92
2018-09-14,25.9,25.9,23.6,23.47,661789.94,-2.36,-9.09,25.504,26.377,26.503,454768.83,499247.35,438540.02
2018-09-13,26.25,26.5,25.96,25.0,476460.59,0.07,0.27,25.988,26.63,26.598,483363.65,461662.93,428816.72
2018-09-12,26.23,26.56,25.89,25.57,283361.12,-0.47,-1.78,26.326,26.654,26.641,470764.02,453542.82,426576.47
2018-09-11,25.68,26.47,26.36,25.51,356550.91,0.65,2.53,26.618,26.768,26.717,490783.36,463057.71,435254.83
2018-09-10,25.69,26.1,25.71,25.0,495681.59,-0.31,-1.19,26.898,26.901,26.779,539502.6,464392.42,445312.04
2018-09-07,27.43,28.58,26.02,25.7,804764.06,-1.63,-5.89,27.25,27.094,26.934,543725.87,457141.74,458499.75
2018-09-06,27.3,28.03,27.65,27.22,413462.41,0.3,1.1,27.272,27.173,27.046,439962.21,413335.47,446272.48
2018-09-05,27.59,28.05,27.35,27.3,383457.84,-0.41,-1.48,26.982,27.055,27.075,436321.61,418387.93,464456.02
2018-09-04,27.32,28.45,27.76,27.17,600147.12,0.29,1.06,26.918,26.893,27.015,435332.05,407735.23,469232.15
2018-09-03,26.07,27.49,27.47,25.36,516797.91,1.34,5.13,26.904,26.756,26.956,389282.23,386738.95,470976.4
2018-08-31,26.1,26.68,26.13,25.94,285945.78,-0.07,-0.27,26.938,26.628,26.822,370557.62,377832.69,463342.2
2018-08-30,27.1,27.1,26.2,25.91,395259.41,-0.83,-3.07,27.074,26.565,26.735,386708.72,395970.51,466235.84
