date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,5.4,5.42,5.34,5.29,38850.15,-0.03,-0.56,5.44,5.264,5.443,32657.0,23561.4,19424.0
2018-10-31,5.3,5.46,5.37,5.3,30574.0,-0.05,-0.92,5.392,5.21,5.485,27642.97,21341.0,18384.87
2018-10-30,5.46,5.61,5.42,5.2,30256.7,-0.04,-0.73,5.354,5.176,5.533,24100.97,20209.1,17748.69
2018-10-29,5.87,5.87,5.46,5.44,41679.73,-0.15,-2.67,5.28,5.148,5.575,20977.35,18797.33,17810.15
2018-10-26,5.29,5.61,5.61,5.21,21924.41,0.51,10.0,5.222,5.142,5.619,16034.65,15550.23,18607.24
2018-10-25,5.06,5.14,5.1,4.95,13780.0,-0.08,-1.54,5.088,5.137,5.65,14465.8,15030.8,20131.37
2018-10-24,5.1,5.19,5.18,5.05,12864.02,0.13,2.57,5.028,5.197,5.696,15039.02,16070.51,21069.03
2018-10-23,5.2,5.21,5.05,5.01,14638.61,-0.12,-2.32,4.998,5.293,5.736,16317.22,15506.31,23352.94
2018-10-22,4.99,5.24,5.17,4.99,16966.19,0.23,4.66,5.016,5.4,5.767,16617.3,15255.25,23790.82
2018-10-19,4.78,4.96,4.94,4.7,14080.19,0.14,2.92,5.062,5.489,5.797,15065.82,15272.55,24411.13
2018-10-18,5.03,5.03,4.8,4.8,16646.1,-0.23,-4.57,5.186,5.621,5.845,15595.8,15286.6,26717.79
2018-10-17,5.21,5.26,5.03,4.9,19255.0,-0.11,-2.14,5.366,5.76,5.885,17102.0,15428.74,28738.12
2018-10-16,5.4,5.46,5.14,5.13,16139.0,-0.26,-4.82,5.588,5.889,5.929,14695.4,15288.29,31400.47
2018-10-15,5.57,5.64,5.4,5.38,9208.8,-0.16,-2.88,5.784,6.002,5.999,13893.2,16822.98,33375.07
2018-10-12,5.65,5.68,5.56,5.26,16730.1,-0.14,-2.46,5.916,6.096,6.094,15479.29,21664.25,34380.46
2018-10-11,6.05,6.05,5.7,5.63,24177.1,-0.44,-7.17,6.056,6.163,6.194,14977.4,25231.93,34378.81
2018-10-10,6.13,6.23,6.14,6.11,7222.0,0.02,0.33,6.154,6.194,6.284,13755.48,26067.54,34021.81
2018-10-09,6.02,6.18,6.12,6.02,12128.0,0.06,0.99,6.19,6.179,6.355,15881.19,31199.57,34307.66
2018-10-08,6.2,6.26,6.06,6.02,17139.24,-0.2,-3.19,6.22,6.134,6.428,19752.75,32326.4,34504.96
2018-09-28,6.21,6.29,6.26,6.16,14220.66,0.07,1.13,6.276,6.104,6.499,27849.2,33549.72,34321.55
2018-09-27,6.33,6.36,6.19,6.18,18067.48,-0.13,-2.06,6.27,6.069,6.557,35486.46,38148.98,34440.05
2018-09-26,6.24,6.38,6.32,6.24,17850.55,0.05,0.8,6.234,6.01,6.621,38379.61,42047.5,34414.72
2018-09-25,6.3,6.35,6.27,6.16,31485.82,-0.07,-1.1,6.168,5.968,6.683,46517.96,47512.65,34568.54
2018-09-21,6.44,6.53,6.34,6.23,57621.5,0.11,1.77,6.048,5.996,6.752,44900.04,49927.17,34044.0
2018-09-20,6.02,6.32,6.23,6.01,52406.97,0.22,3.66,5.932,6.091,6.814,39250.23,47096.67,32265.01
2018-09-19,5.95,6.04,6.01,5.91,32533.22,0.02,0.33,5.868,6.225,6.88,40811.5,43525.69,30880.37
2018-09-18,5.67,6.04,5.99,5.65,58542.29,0.32,5.64,5.786,6.374,6.956,45715.38,41976.07,31932.14
2018-09-17,5.67,5.79,5.67,5.58,23396.23,-0.09,-1.56,5.768,6.531,7.024,48507.33,37415.75,30250.46
2018-09-14,5.88,5.9,5.76,5.72,29372.43,-0.15,-2.54,5.944,6.721,7.109,54954.29,36683.52,30327.32
2018-09-13,5.6,6.12,5.91,5.59,60213.35,0.31,5.54,6.25,6.894,7.187,54943.11,35093.38,30473.36
2018-09-12,5.8,5.87,5.6,5.55,57052.59,-0.3,-5.08,6.582,7.044,7.256,46239.88,30731.12,29119.4
2018-09-11,6.13,6.36,5.9,5.9,72502.05,-0.65,-9.92,6.962,7.232,7.34,38236.77,26781.94,28315.32
2018-09-10,6.97,6.97,6.55,6.55,55631.02,-0.73,-10.03,7.294,7.398,7.403,26324.16,21624.44,25701.32
2018-03-23,7.42,7.48,7.29,7.23,29316.53,-0.28,-3.7,7.498,7.508,7.432,18412.76,18160.84,23968.05
2018-03-22,7.5,7.58,7.57,7.41,16697.23,0.07,0.93,7.538,7.536,7.42,15243.65,17433.36,23107.17
2018-03-21,7.54,7.58,7.5,7.48,17037.0,-0.06,-0.79,7.506,7.535,7.396,15222.36,18235.05,23322.59
2018-03-20,7.6,7.6,7.56,7.46,12939.02,-0.01,-0.13,7.502,7.537,7.377,15327.12,21888.21,23215.19
2018-03-19,7.49,7.61,7.57,7.46,16074.02,0.08,1.07,7.502,7.517,7.357,16924.72,23085.17,23893.22
2018-03-16,7.41,7.54,7.49,7.4,13471.0,0.08,1.08,7.518,7.496,7.336,17908.92,23971.12,24271.72
2018-03-15,7.43,7.48,7.41,7.38,16590.77,-0.07,-0.94,7.534,7.48,7.321,19623.06,25853.34,24943.0
2018-03-14,7.57,7.57,7.48,7.44,17560.8,-0.08,-1.06,7.564,7.468,7.312,21247.75,27507.67,25106.46
2018-03-13,7.71,7.71,7.56,7.56,20927.0,-0.09,-1.18,7.572,7.448,7.3,28449.29,29848.7,25739.67
2018-03-12,7.6,7.65,7.65,7.57,20995.02,0.08,1.06,7.532,7.407,7.286,29245.61,29778.2,26824.09
