date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,55.2,58.16,57.11,55.2,84843.86,2.31,4.21,53.83,52.896,54.501,72830.56,84707.73,66579.16
2018-10-31,54.21,55.7,54.8,54.21,63387.77,0.57,1.05,52.848,51.996,54.843,76456.71,81849.31,64891.4
2018-10-30,51.5,55.72,54.23,51.5,82298.08,2.23,4.29,52.728,51.362,55.447,91975.27,84582.77,63270.13
2018-10-29,50.0,52.49,52.0,49.49,65840.26,0.99,1.94,51.874,50.989,56.096,89066.11,83207.34,60540.73
2018-10-26,52.55,53.3,51.01,50.6,67782.82,-1.19,-2.28,51.998,51.4,56.847,93338.07,80190.99,58599.22
2018-10-25,52.01,52.8,52.2,50.6,102974.6,-2.0,-3.69,51.962,51.936,57.595,96584.9,77691.3,56260.36
2018-10-24,50.38,54.96,54.2,50.03,140980.59,4.24,8.49,51.144,52.216,58.295,87241.91,72813.52,52503.3
2018-10-23,52.0,52.5,49.96,49.78,67752.3,-2.66,-5.05,49.996,52.856,58.873,77190.28,60708.18,47148.03
2018-10-22,50.03,53.75,52.62,50.03,87200.03,1.79,3.52,50.104,53.915,59.622,77348.57,56411.05,46989.5
2018-10-19,47.0,51.6,50.83,46.52,84016.98,2.72,5.65,50.802,54.708,60.582,67043.92,54332.9,44225.65
2018-10-18,47.62,49.78,48.11,47.62,56259.67,-0.35,-0.72,51.91,56.105,61.735,58797.7,48450.6,41798.66
2018-10-17,49.03,49.44,48.46,46.95,90722.41,-2.04,-4.04,53.288,57.689,63.005,58385.12,47933.49,41720.18
2018-10-16,52.03,52.85,50.5,50.5,68543.77,-5.61,-10.0,55.716,59.532,64.149,44226.08,41957.48,38298.82
2018-10-15,56.68,58.2,56.11,55.56,35676.77,-0.26,-0.46,57.726,61.202,65.174,35473.52,37874.11,36202.6
2018-10-12,55.0,56.79,56.37,54.9,42785.89,1.37,2.49,58.614,62.294,65.952,41621.88,37007.46,35722.34
2018-10-11,58.0,58.45,55.0,54.54,54196.75,-5.6,-9.24,60.3,63.254,66.714,38103.5,34829.42,34964.36
2018-10-10,60.78,61.17,60.6,59.9,19927.2,0.05,0.08,62.09,64.374,67.559,37481.86,32193.08,33780.44
2018-10-09,60.9,61.0,60.55,60.0,24781.0,0.0,0.0,63.348,64.89,68.239,39688.89,33587.89,34325.56
2018-10-08,64.85,64.85,60.55,59.68,66418.55,-4.25,-6.56,64.678,65.329,68.881,40274.69,37567.95,34447.15
2018-09-28,64.29,65.16,64.8,64.18,25193.99,1.05,1.65,65.974,66.455,69.459,32393.03,34118.4,32420.17
2018-09-27,66.66,66.99,63.95,63.67,51088.55,-2.94,-4.39,66.208,67.365,69.898,31555.33,35146.71,32771.19
2018-09-26,67.19,67.49,66.89,66.48,30962.37,-0.31,-0.46,66.658,68.32,70.469,26904.3,35506.87,32847.07
2018-09-25,67.09,67.72,67.2,66.36,27710.0,0.17,0.25,66.432,68.765,70.853,27486.89,34640.16,33343.62
2018-09-21,66.3,67.57,67.03,65.71,27010.25,1.06,1.61,65.98,69.145,71.198,34861.2,34531.09,34145.4
2018-09-20,66.49,67.44,65.97,65.8,21005.5,-0.23,-0.35,66.936,69.61,71.422,35843.77,34437.22,33902.24
2018-09-19,65.33,66.67,66.2,65.14,27833.4,0.44,0.67,68.522,70.173,71.749,38738.09,35099.3,34291.25
