date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,4.42,4.46,4.38,4.36,26224.55,-0.04,-0.91,4.242,4.109,4.144,21910.41,19283.27,17914.92
2018-10-31,4.2,4.43,4.42,4.17,32781.51,0.23,5.49,4.176,4.044,4.159,19601.8,17929.1,19413.8
2018-10-30,4.1,4.31,4.19,4.04,20539.0,0.07,1.7,4.098,3.984,4.169,16007.83,16354.95,18305.63
2018-10-29,4.06,4.18,4.12,4.04,14120.0,0.02,0.49,4.056,3.946,4.188,15281.98,15948.55,17874.48
2018-10-26,4.09,4.12,4.1,4.04,15887.0,0.05,1.24,4.032,3.932,4.214,17301.81,15649.45,17940.35
2018-10-25,3.94,4.05,4.05,3.92,14681.48,0.02,0.5,3.976,3.928,4.238,16656.12,16081.5,17775.85
2018-10-24,3.98,4.08,4.03,3.94,14811.69,0.05,1.26,3.912,3.934,4.265,16256.41,16878.36,17917.83
2018-10-23,4.0,4.04,3.98,3.94,16909.71,-0.02,-0.5,3.87,3.985,4.292,16702.07,16116.39,17763.56
2018-10-22,3.89,4.1,4.0,3.87,24219.18,0.18,4.71,3.836,4.039,4.315,16615.12,15349.82,17428.93
2018-10-19,3.7,3.85,3.82,3.63,12658.54,0.09,2.41,3.832,4.088,4.34,13997.09,15201.62,16676.77
2018-10-18,3.82,3.83,3.73,3.73,12682.93,-0.09,-2.36,3.88,4.179,4.376,15506.88,16546.57,16572.84
2018-10-17,3.85,3.9,3.82,3.79,17040.0,0.01,0.26,3.956,4.274,4.414,17500.32,20898.49,16270.0
2018-10-16,3.99,4.01,3.81,3.81,16474.97,-0.17,-4.27,4.1,4.353,4.447,15530.72,20256.31,15937.13
2018-10-15,4.06,4.11,3.98,3.95,11129.0,-0.08,-1.97,4.242,4.43,4.477,14084.52,19800.41,16192.43
2018-10-12,4.08,4.16,4.06,3.89,20207.51,-0.05,-1.22,4.344,4.495,4.507,16406.14,20231.25,16211.38
2018-10-11,4.47,4.47,4.11,4.1,22650.1,-0.43,-9.47,4.478,4.547,4.533,17586.26,19470.2,15914.25
2018-10-10,4.56,4.57,4.54,4.48,7192.0,0.02,0.44,4.592,4.596,4.561,24296.66,18957.3,15706.15
2018-10-09,4.48,4.54,4.52,4.48,9244.0,0.03,0.67,4.606,4.599,4.571,24981.9,19410.74,16276.7
2018-10-08,4.6,4.66,4.49,4.48,22737.1,-0.24,-5.07,4.618,4.591,4.583,25516.3,19508.04,17230.38
2018-09-28,4.7,4.75,4.73,4.64,26108.1,0.05,1.07,4.646,4.592,4.598,24056.36,18151.93,18637.61
2018-09-27,4.62,4.87,4.68,4.59,56202.1,0.07,1.52,4.616,4.573,4.594,21354.14,16599.11,18300.5
2018-09-26,4.6,4.62,4.61,4.56,10618.18,0.03,0.66,4.6,4.553,4.59,13617.94,11641.5,15854.45
2018-09-25,4.59,4.61,4.58,4.53,11916.0,-0.05,-1.08,4.592,4.54,4.591,13839.57,11617.95,16020.64
2018-09-21,4.58,4.63,4.63,4.58,15437.43,0.05,1.09,4.564,4.524,4.597,13499.77,12584.45,16211.89
2018-09-20,4.6,4.63,4.58,4.55,12597.0,-0.02,-0.43,4.538,4.519,4.598,12247.49,12191.51,16139.47
2018-09-19,4.57,4.61,4.6,4.53,17521.1,0.03,0.66,4.53,4.519,4.6,11844.09,12358.31,15980.07
2018-09-18,4.47,4.57,4.57,4.45,11726.34,0.13,2.93,4.506,4.526,4.598,9665.07,12455.0,15507.16
2018-09-17,4.5,4.52,4.44,4.4,10217.0,-0.06,-1.33,4.488,4.543,4.602,9396.32,13142.66,15634.23
2018-09-14,4.54,4.55,4.5,4.49,9176.0,-0.04,-0.88,4.484,4.574,4.609,11669.12,14952.73,15705.58
2018-09-13,4.51,4.54,4.54,4.45,10579.99,0.06,1.34,4.5,4.604,4.612,12135.52,19123.29,15960.38
2018-09-12,4.46,4.52,4.48,4.45,6626.0,0.0,0.0,4.508,4.614,4.618,12872.52,20001.89,16265.68
2018-09-11,4.41,4.5,4.48,4.41,10382.62,0.06,1.36,4.546,4.626,4.63,15244.92,20067.39,16911.26
2018-09-10,4.58,4.59,4.42,4.41,21581.0,-0.16,-3.49,4.598,4.642,4.646,16889.0,20423.33,17464.53
2018-09-07,4.58,4.65,4.58,4.56,11508.0,0.0,0.0,4.664,4.67,4.666,18236.33,19839.33,17940.93
2018-09-06,4.66,4.68,4.58,4.58,14265.0,-0.09,-1.93,4.708,4.676,4.683,26111.05,20087.43,18995.97
2018-09-05,4.72,4.83,4.67,4.67,18488.0,-0.07,-1.48,4.72,4.68,4.699,27131.25,19601.83,20106.65
2018-09-04,4.75,4.77,4.74,4.69,18603.01,-0.01,-0.21,4.706,4.67,4.706,24889.85,18559.33,20936.13
2018-09-03,4.76,4.84,4.75,4.69,28317.63,-0.05,-1.04,4.686,4.661,4.716,23957.65,18125.79,22253.37
2018-08-31,4.64,4.85,4.8,4.6,50881.63,0.16,3.45,4.676,4.644,4.72,21442.33,16458.43,23177.54
2018-08-30,4.6,4.66,4.64,4.55,19366.0,0.04,0.87,4.644,4.62,4.723,14063.8,12797.46,23837.96
2018-08-29,4.64,4.68,4.6,4.6,7281.0,-0.04,-0.86,4.64,4.621,4.748,12072.4,12529.46,27577.12
2018-08-28,4.7,4.73,4.64,4.64,13942.0,-0.06,-1.28,4.634,4.633,4.786,12228.8,13755.14,35494.8
2018-08-27,4.64,4.7,4.7,4.61,15741.0,0.06,1.29,4.636,4.65,4.817,12293.93,14505.74,36554.11
2018-08-24,4.6,4.74,4.64,4.6,13989.0,0.02,0.43,4.612,4.661,4.82,11474.53,16042.54,39463.09
2018-08-23,4.57,4.65,4.62,4.55,9409.0,0.05,1.09,4.596,4.689,4.84,11531.13,17904.5,43846.88
2018-08-22,4.62,4.65,4.57,4.57,8063.0,-0.08,-1.72,4.602,4.717,4.85,12986.53,20611.48,45454.48
2018-08-21,4.59,4.66,4.65,4.54,14267.63,0.07,1.53,4.632,4.741,4.855,15281.48,23312.94,46044.31
2018-08-20,4.55,4.63,4.58,4.5,11644.0,0.02,0.44,4.664,4.77,4.857,16717.55,26380.95,47052.84
2018-08-17,4.69,4.72,4.56,4.55,14272.0,-0.09,-1.94,4.71,4.795,4.857,20610.55,29896.66,47573.97
2018-08-16,4.66,4.73,4.65,4.51,16686.01,-0.06,-1.27,4.782,4.825,4.854,24277.88,34878.46,47740.14
2018-08-15,4.81,4.82,4.72,4.7,19537.75,-0.09,-1.87,4.832,4.874,4.844,28236.43,42624.77,47814.99
2018-08-14,4.77,4.82,4.81,4.71,21448.0,0.01,0.21,4.85,4.938,4.836,31344.4,57234.47,48263.96
2018-08-13,4.8,4.82,4.81,4.71,31109.01,-0.11,-2.24,4.876,4.983,4.821,36044.34,58602.48,47608.91
2018-08-10,4.9,4.98,4.92,4.84,32608.63,0.02,0.41,4.88,4.979,4.806,39182.76,62883.63,46669.51
2018-08-09,4.78,4.92,4.9,4.72,36478.75,0.09,1.87,4.868,4.991,4.785,45479.04,69789.26,45545.62
2018-08-08,4.88,4.93,4.81,4.78,35077.59,-0.13,-2.63,4.916,4.982,4.764,57013.11,70297.49,44510.98
2018-08-07,4.76,4.95,4.94,4.75,44947.74,0.13,2.7,5.026,4.969,4.74,83124.54,68775.68,43631.82
2018-08-06,4.84,5.03,4.83,4.76,46801.09,-0.05,-1.02,5.09,4.943,4.719,81160.61,67724.73,41777.58
2018-08-03,5.04,5.13,4.86,4.81,64090.02,-0.28,-5.45,5.078,4.919,4.703,86584.5,65251.28,40079.43
2018-08-02,5.05,5.18,5.14,4.92,94149.09,-0.23,-4.28,5.114,4.883,4.681,94099.48,60601.82,37539.72
2018-08-01,5.33,5.58,5.36,5.2,165634.78,0.1,1.9,5.048,4.814,4.644,83581.87,53005.21,33496.45
2018-07-31,5.26,5.26,5.26,5.26,35128.08,0.48,10.04,4.912,4.734,4.603,54426.82,39293.45,26091.01
2018-07-30,4.91,4.96,4.77,4.73,73920.55,-0.27,-5.36,4.796,4.658,4.569,54288.84,36615.34,25239.85
2018-07-27,4.75,5.29,5.04,4.75,101664.92,0.23,4.78,4.76,4.633,4.557,43918.05,30455.38,22684.43
