date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,3.26,3.3,3.25,3.24,73193.1,-0.02,-0.61,3.214,3.225,3.37,64600.33,58301.59,53397.01
2018-10-31,3.25,3.29,3.27,3.21,72826.33,-0.01,-0.3,3.192,3.253,3.378,54571.84,60464.08,51067.86
2018-10-30,3.23,3.31,3.28,3.19,117171.08,0.21,6.84,3.17,3.27,3.389,46045.73,58208.94,48956.62
2018-10-18,3.17,3.17,3.07,3.06,30381.41,-0.13,-4.06,3.15,3.296,3.398,33920.98,50507.1,44290.8
2018-10-17,3.18,3.2,3.2,3.11,29429.75,0.06,1.91,3.178,3.338,3.416,47349.08,51698.09,43842.93
2018-10-16,3.18,3.21,3.14,3.12,23050.63,-0.02,-0.63,3.236,3.372,3.427,52002.84,52664.1,43726.39
2018-10-15,3.19,3.24,3.16,3.15,30195.76,-0.02,-0.63,3.314,3.411,3.44,66356.31,53656.47,44423.27
2018-10-12,3.18,3.23,3.18,3.05,56547.33,-0.03,-0.94,3.37,3.45,3.456,70372.16,55089.13,44380.17
2018-10-11,3.42,3.42,3.21,3.16,97521.92,-0.28,-8.02,3.442,3.482,3.47,67093.22,52747.32,42976.5
2018-10-10,3.53,3.55,3.49,3.43,52698.58,-0.04,-1.13,3.498,3.514,3.483,56047.09,48839.6,39651.13
2018-10-09,3.44,3.65,3.53,3.43,94817.98,0.09,2.62,3.508,3.515,3.485,53325.35,48492.44,38634.75
2018-10-08,3.46,3.5,3.44,3.42,50275.0,-0.1,-2.83,3.508,3.503,3.484,40956.63,41671.64,35554.96
2018-09-28,3.48,3.55,3.54,3.48,40152.63,0.05,1.43,3.53,3.507,3.487,39806.09,39704.3,34335.44
2018-09-27,3.54,3.56,3.49,3.49,42291.27,-0.05,-1.41,3.522,3.5,3.486,38401.41,38074.5,34111.22
2018-09-26,3.52,3.57,3.54,3.51,39089.86,0.01,0.28,3.53,3.494,3.491,41632.1,35987.78,33528.1
2018-09-25,3.55,3.55,3.53,3.5,32974.4,-0.02,-0.56,3.522,3.481,3.496,43659.53,34788.69,33592.46
2018-09-21,3.5,3.55,3.55,3.49,44522.29,0.05,1.43,3.498,3.468,3.501,42386.65,35190.07,33610.19
2018-09-20,3.51,3.54,3.5,3.49,33129.24,-0.03,-0.85,3.484,3.461,3.503,39602.52,33671.21,33052.03
2018-09-19,3.47,3.55,3.53,3.46,58444.7,0.03,0.86,3.478,3.457,3.506,37747.59,33205.68,32840.64
2018-09-18,3.41,3.53,3.5,3.39,49227.02,0.09,2.64,3.458,3.451,3.506,30343.45,30462.66,31261.02
2018-09-17,3.45,3.47,3.41,3.41,26610.0,-0.07,-2.01,3.44,3.455,3.51,25917.85,28777.06,30458.17
2018-09-14,3.46,3.51,3.48,3.45,30601.63,0.01,0.29,3.438,3.464,3.518,27993.49,29438.27,31259.77
2018-09-13,3.44,3.49,3.47,3.43,23854.59,0.04,1.17,3.438,3.467,3.521,27739.89,28966.57,32169.3
2018-09-12,3.41,3.45,3.43,3.4,21424.02,0.02,0.59,3.436,3.472,3.53,28663.77,30147.95,33798.42
2018-09-11,3.37,3.44,3.41,3.36,27099.0,0.01,0.29,3.444,3.488,3.545,30581.87,31068.42,36611.27
2018-09-10,3.47,3.49,3.4,3.37,36988.19,-0.08,-2.3,3.47,3.51,3.567,31636.27,32396.23,38323.52
