date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,2.37,2.4,2.36,2.34,308603.84,-0.01,-0.42,2.362,2.333,2.337,271607.41,308844.1,309406.41
2018-10-31,2.36,2.39,2.37,2.34,267514.56,0.01,0.42,2.358,2.315,2.342,272900.29,302174.17,304169.84
2018-10-30,2.34,2.37,2.36,2.31,216129.94,0.02,0.85,2.346,2.301,2.349,265952.68,303580.81,306034.43
2018-10-29,2.37,2.39,2.34,2.33,210155.38,-0.04,-1.68,2.334,2.286,2.355,293004.7,322181.63,305489.71
2018-10-26,2.34,2.4,2.38,2.34,355633.34,0.04,1.71,2.332,2.278,2.363,348783.63,331197.74,309342.28
2018-10-25,2.26,2.35,2.34,2.24,315068.25,0.03,1.3,2.304,2.268,2.366,346080.8,343645.34,304420.57
2018-10-24,2.28,2.34,2.31,2.28,232776.48,0.01,0.43,2.272,2.266,2.37,331448.04,358560.18,301672.99
2018-10-23,2.33,2.35,2.3,2.27,351390.06,-0.03,-1.29,2.256,2.283,2.375,341208.93,349463.19,299808.56
2018-10-22,2.25,2.36,2.33,2.25,489050.0,0.09,4.02,2.238,2.302,2.379,351358.56,335716.18,289519.86
2018-10-19,2.15,2.24,2.24,2.15,342119.19,0.06,2.75,2.224,2.313,2.383,313611.86,318267.9,272914.82
2018-10-18,2.21,2.22,2.18,2.17,241904.45,-0.05,-2.24,2.232,2.34,2.391,341209.88,309968.72,264874.27
2018-10-17,2.23,2.25,2.23,2.19,281580.97,0.02,0.91,2.26,2.369,2.402,385672.33,306165.52,259305.41
2018-10-16,2.26,2.28,2.21,2.18,402138.19,-0.05,-2.21,2.31,2.396,2.409,357717.44,308488.05,251737.92
2018-10-15,2.3,2.31,2.26,2.25,300316.5,-0.02,-0.88,2.366,2.424,2.417,320073.8,288797.79,239142.71
2018-10-12,2.32,2.33,2.28,2.23,480109.28,-0.04,-1.72,2.402,2.447,2.423,322923.93,287486.82,233699.94
2018-10-11,2.44,2.45,2.32,2.3,464216.72,-0.16,-6.45,2.448,2.463,2.429,278727.56,265195.81,218347.18
2018-10-10,2.49,2.51,2.48,2.47,141806.52,-0.01,-0.4,2.478,2.474,2.433,226658.7,244785.8,206266.8
2018-10-09,2.45,2.49,2.49,2.44,213919.98,0.05,2.05,2.482,2.467,2.432,259258.66,250153.93,208301.46
2018-10-08,2.48,2.5,2.44,2.44,314567.16,-0.07,-2.79,2.482,2.456,2.43,257521.78,243323.54,205018.77
2018-09-28,2.49,2.53,2.51,2.48,259127.44,0.04,1.62,2.492,2.452,2.43,252049.7,227561.74,196918.01
2018-09-27,2.5,2.51,2.47,2.47,203872.42,-0.03,-1.2,2.478,2.442,2.427,251664.06,219779.82,193089.48
2018-09-26,2.49,2.53,2.5,2.47,304806.28,0.01,0.4,2.47,2.434,2.428,262912.89,212445.3,191480.76
2018-09-25,2.47,2.5,2.49,2.46,205235.58,0.0,0.0,2.452,2.421,2.428,241049.21,194987.79,188809.6
2018-09-21,2.45,2.5,2.49,2.44,287206.78,0.05,2.05,2.43,2.409,2.428,229125.31,189487.63,193532.51
2018-09-20,2.43,2.47,2.44,2.43,257199.22,0.01,0.41,2.412,2.399,2.425,203073.78,179913.07,188122.6
2018-09-19,2.4,2.45,2.43,2.4,260116.59,0.02,0.83,2.406,2.394,2.425,187895.59,171498.56,184293.64
2018-09-18,2.37,2.42,2.41,2.36,195487.89,0.03,1.26,2.398,2.392,2.425,161977.71,167747.8,180240.87
