date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,3.07,3.12,3.08,3.06,49942.87,0.02,0.65,3.05,3.016,3.023,52548.03,54298.78,44312.43
2018-10-31,3.03,3.1,3.06,3.02,50062.77,0.03,0.99,3.052,2.992,3.033,65588.6,51633.02,43350.94
2018-10-30,3.02,3.03,3.03,2.97,35909.77,0.04,1.34,3.036,2.978,3.045,64374.44,49427.16,42340.86
2018-10-29,3.07,3.07,2.99,2.98,47669.0,-0.1,-3.24,3.022,2.962,3.058,64136.29,48317.28,41846.22
2018-10-26,3.12,3.13,3.09,3.06,79155.72,0.0,0.0,3.024,2.954,3.074,65889.67,46684.98,41226.72
2018-10-25,2.92,3.24,3.09,2.9,115145.72,0.11,3.69,2.982,2.937,3.082,56049.53,43156.71,38463.08
2018-10-24,2.95,3.0,2.98,2.93,43992.01,0.02,0.68,2.932,2.921,3.091,37677.45,38593.34,34389.93
2018-10-23,3.0,3.02,2.96,2.95,34719.0,-0.04,-1.33,2.92,2.943,3.105,34479.87,36536.65,33884.63
2018-10-22,2.88,3.03,3.0,2.88,56435.92,0.12,4.17,2.902,2.968,3.118,32498.27,36560.88,33893.78
2018-10-19,2.81,2.89,2.88,2.75,29955.0,0.04,1.41,2.884,2.987,3.133,27480.28,33946.18,32500.48
2018-10-18,2.91,2.91,2.84,2.83,23285.31,-0.08,-2.74,2.892,3.03,3.154,30263.88,34326.08,32542.98
2018-10-17,2.92,2.95,2.92,2.87,28004.1,0.05,1.74,2.91,3.073,3.177,39509.22,35068.85,32335.07
2018-10-16,2.92,2.95,2.87,2.86,24811.0,-0.04,-1.38,2.966,3.111,3.195,38593.43,35254.56,31987.49
2018-10-15,2.93,2.97,2.91,2.9,31346.0,-0.01,-0.34,3.034,3.154,3.215,40623.49,35375.16,31950.09
2018-10-12,2.94,2.95,2.92,2.8,43873.0,-0.01,-0.34,3.09,3.193,3.237,40412.09,35768.46,31458.89
2018-10-11,3.14,3.14,2.93,2.92,69512.02,-0.27,-8.44,3.168,3.226,3.258,38388.29,33769.46,30053.79
2018-10-10,3.22,3.23,3.2,3.19,23425.15,-0.01,-0.31,3.236,3.26,3.279,30628.48,30186.52,28086.19
2018-10-09,3.2,3.25,3.21,3.19,34961.26,0.02,0.63,3.256,3.267,3.288,31915.68,31232.6,28117.58
2018-10-08,3.29,3.29,3.19,3.19,30289.0,-0.12,-3.62,3.274,3.268,3.294,30126.83,31226.68,27422.82
2018-09-28,3.29,3.32,3.31,3.27,33754.0,0.04,1.22,3.296,3.278,3.302,31124.83,31054.78,27391.57
2018-09-27,3.32,3.32,3.27,3.27,30713.0,-0.03,-0.91,3.284,3.277,3.305,29150.63,30759.88,26995.57
2018-09-26,3.32,3.34,3.3,3.3,29861.14,0.0,0.0,3.284,3.28,3.313,29744.55,29601.28,26630.42
2018-09-25,3.29,3.31,3.3,3.27,26017.01,0.0,0.0,3.278,3.278,3.32,30549.53,28720.43,26726.42
2018-09-21,3.27,3.31,3.3,3.27,35279.0,0.05,1.54,3.262,3.276,3.326,32326.53,28525.03,27037.92
2018-09-20,3.27,3.29,3.25,3.25,23883.0,-0.02,-0.61,3.26,3.281,3.331,30984.73,27149.32,26361.97
2018-09-19,3.26,3.3,3.27,3.24,33682.61,0.0,0.0,3.27,3.29,3.338,32369.13,26338.12,26372.27
2018-09-18,3.15,3.27,3.27,3.15,33886.02,0.05,1.55,3.276,3.298,3.343,29458.0,25985.86,25706.39
2018-09-17,3.29,3.29,3.22,3.21,34902.0,-0.07,-2.13,3.278,3.308,3.351,26891.34,25002.55,25148.24
2018-09-14,3.32,3.32,3.29,3.29,28570.0,-0.01,-0.3,3.29,3.32,3.359,24723.54,23618.95,24562.32
2018-09-13,3.31,3.33,3.3,3.29,30805.0,0.0,0.0,3.302,3.325,3.363,23313.91,23728.36,24748.59
2018-09-12,3.3,3.33,3.3,3.27,19127.0,0.02,0.61,3.31,3.333,3.368,20307.11,23231.27,25230.94
2018-09-11,3.29,3.3,3.28,3.24,21052.68,0.0,0.0,3.32,3.345,3.374,22513.71,23659.57,26403.19
2018-09-10,3.35,3.35,3.28,3.27,24063.0,-0.07,-2.09,3.338,3.361,3.385,23113.77,24732.4,27672.4
2018-09-07,3.34,3.37,3.35,3.32,21521.85,0.01,0.3,3.35,3.376,3.396,22514.37,25550.81,29316.9
2018-09-06,3.33,3.37,3.34,3.32,15771.0,-0.01,-0.3,3.348,3.38,3.405,24142.81,25574.63,32082.87
2018-09-05,3.36,3.38,3.35,3.34,30160.01,-0.02,-0.59,3.356,3.385,3.414,26155.43,26406.43,34425.99
2018-09-04,3.34,3.39,3.37,3.32,24053.0,0.03,0.9,3.37,3.388,3.42,24805.43,25426.93,36134.74
2018-09-03,3.34,3.34,3.34,3.3,21066.0,0.0,0.0,3.384,3.393,3.428,26351.03,25293.93,41313.21
2018-08-31,3.38,3.38,3.34,3.32,29664.02,-0.04,-1.18,3.402,3.397,3.431,28587.25,25505.69,44735.65
2018-08-30,3.41,3.44,3.38,3.38,25834.1,-0.04,-1.17,3.412,3.401,3.433,27006.45,25768.83,46713.86
2018-08-29,3.45,3.45,3.42,3.4,23410.01,-0.02,-0.58,3.414,3.402,3.433,26657.43,27230.62,50104.5
2018-08-28,3.44,3.45,3.44,3.42,31781.0,0.01,0.29,3.406,3.403,3.436,26048.43,29146.82,54177.18
2018-08-27,3.38,3.45,3.43,3.38,32247.13,0.04,1.18,3.402,3.409,3.441,24236.83,30612.41,54878.48
2018-08-24,3.4,3.41,3.39,3.38,21760.02,0.0,0.0,3.392,3.415,3.447,22424.12,33082.99,58919.69
2018-08-23,3.38,3.43,3.39,3.36,24089.0,0.01,0.3,3.39,3.429,3.463,24531.2,38591.12,66577.9
2018-08-22,3.4,3.41,3.38,3.36,20365.02,-0.04,-1.17,3.39,3.442,3.473,27803.8,42445.55,71699.77
2018-08-21,3.37,3.43,3.42,3.37,22723.0,0.04,1.18,3.4,3.452,3.479,32245.2,46842.55,73986.18
2018-08-20,3.37,3.4,3.38,3.35,23183.56,0.01,0.3,3.416,3.462,3.484,36987.98,57332.49,79380.0
2018-08-17,3.39,3.43,3.38,3.36,32295.43,-0.01,-0.29,3.438,3.465,3.489,43741.87,63965.62,84699.4
2018-08-16,3.4,3.43,3.39,3.36,40452.0,-0.04,-1.17,3.468,3.465,3.488,52651.03,67658.9,84539.9
2018-08-15,3.49,3.51,3.43,3.43,42572.0,-0.07,-2.0,3.494,3.464,3.483,57087.29,72978.38,84858.0
2018-08-14,3.48,3.54,3.5,3.46,46436.91,0.01,0.29,3.504,3.468,3.481,61439.89,79207.54,84212.0
2018-08-13,3.5,3.51,3.49,3.44,56953.0,-0.04,-1.13,3.508,3.472,3.476,77677.01,79144.55,83088.53
2018-08-10,3.52,3.64,3.53,3.5,76841.25,0.01,0.28,3.492,3.479,3.471,84189.36,84756.39,81368.83
2018-08-09,3.45,3.54,3.52,3.45,62633.3,0.05,1.44,3.462,3.497,3.464,82666.76,94564.67,78738.07
2018-08-08,3.52,3.53,3.48,3.45,64335.0,-0.06,-1.7,3.434,3.503,3.457,88869.47,100954.0,78473.17
2018-08-07,3.4,3.56,3.52,3.38,127622.49,0.12,3.53,3.432,3.505,3.448,96975.19,101129.82,77021.62
2018-08-06,3.36,3.54,3.41,3.34,89514.77,0.02,0.59,3.436,3.506,3.441,80612.09,101427.5,72053.22
2018-08-03,3.34,3.46,3.38,3.34,69228.23,-0.01,-0.29,3.466,3.513,3.437,85323.42,105433.18,69061.63
2018-08-02,3.44,3.44,3.38,3.3,93646.84,-0.1,-2.87,3.532,3.51,3.434,106462.59,101420.9,67599.74
2018-08-01,3.55,3.65,3.47,3.47,104863.6,-0.08,-2.25,3.572,3.502,3.429,113038.53,96737.61,64862.85
2018-07-31,3.56,3.57,3.54,3.52,45807.01,-0.02,-0.56,3.578,3.494,3.424,105284.45,89216.45,61318.57
2018-07-30,3.63,3.65,3.56,3.54,113071.44,-0.12,-3.26,3.576,3.479,3.418,122242.91,87032.52,61986.37
2018-07-27,3.55,3.71,3.71,3.52,174924.05,0.14,3.92,3.56,3.463,3.411,125542.93,77981.28,60810.02
2018-07-26,3.52,3.66,3.58,3.5,126526.54,0.08,2.29,3.488,3.43,3.395,96379.2,62911.47,54415.56
2018-07-25,3.51,3.53,3.5,3.46,66093.23,-0.03,-0.85,3.432,3.41,3.383,80436.7,55992.34,50409.54
2018-07-24,3.46,3.58,3.53,3.44,130599.31,0.05,1.44,3.41,3.391,3.377,73148.45,52913.42,49024.03
2018-07-23,3.34,3.56,3.48,3.33,129571.53,0.13,3.88,3.382,3.375,3.371,51822.12,42678.94,44044.5
2018-07-20,3.3,3.36,3.35,3.28,29105.41,0.05,1.51,3.366,3.361,3.366,30419.62,32690.08,39357.12
2018-07-19,3.39,3.4,3.3,3.3,46814.0,-0.09,-2.65,3.372,3.357,3.367,29443.74,33778.58,40005.37
2018-07-18,3.4,3.42,3.39,3.38,29652.0,-0.01,-0.29,3.388,3.355,3.369,31547.98,32988.08,40977.07
2018-07-17,3.39,3.4,3.39,3.36,23967.66,0.0,0.0,3.372,3.353,3.372,32678.38,33420.68,42452.79
2018-07-16,3.39,3.4,3.4,3.36,22559.02,0.02,0.59,3.368,3.357,3.374,33535.76,36940.21,46368.13
2018-07-13,3.39,3.4,3.38,3.36,24226.0,0.0,0.0,3.356,3.359,3.396,34960.55,43638.76,48179.72
2018-07-12,3.3,3.4,3.38,3.29,57335.22,0.08,2.42,3.342,3.36,3.423,38113.42,45919.66,49048.07
2018-07-11,3.34,3.35,3.31,3.27,35304.0,-0.06,-1.78,3.322,3.355,3.453,34428.18,44826.74,48553.61
2018-07-10,3.34,3.39,3.37,3.34,28254.54,0.02,0.6,3.334,3.362,3.487,34162.98,45134.64,48733.2
2018-07-09,3.31,3.36,3.34,3.3,29682.98,0.03,0.91,3.346,3.366,3.517,40344.67,45410.06,49297.32
