date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,15.42,16.06,15.3,15.25,630642.94,0.05,0.33,15.104,15.002,14.482,434372.75,521748.41,341747.16
2018-10-31,15.23,15.44,15.25,14.92,375278.03,0.02,0.13,15.1,14.822,14.462,400162.6,474798.95,317172.51
2018-10-30,14.89,15.48,15.23,14.65,517573.44,0.54,3.68,15.054,14.667,14.45,446032.18,452514.92,311428.75
2018-10-29,15.0,15.24,14.69,14.53,298646.44,-0.36,-2.39,14.994,14.49,14.433,508817.83,414925.95,293429.74
2018-10-26,15.28,15.39,15.05,14.75,349722.88,-0.23,-1.5,15.122,14.373,14.455,623293.95,398367.58,291517.99
2018-10-25,14.62,15.3,15.28,14.41,459592.22,0.26,1.73,14.9,14.215,14.444,609124.08,383065.31,279504.98
2018-10-24,14.57,15.45,15.02,14.53,604625.94,0.09,0.6,14.544,14.065,14.42,549435.31,364337.65,265803.99
2018-10-23,15.5,15.75,14.93,14.77,831501.69,-0.4,-2.61,14.28,14.009,14.408,458997.66,312934.02,243630.36
2018-10-22,14.21,15.33,15.33,14.21,871027.0,1.39,9.97,13.986,13.951,14.383,321034.06,240267.04,207240.88
2018-10-19,13.4,13.95,13.94,13.33,278873.56,0.44,3.26,13.624,13.857,14.345,173441.22,173535.33,169620.8
2018-10-18,13.65,13.74,13.5,13.47,161148.34,-0.2,-1.46,13.53,13.962,14.382,157006.54,161745.91,164474.78
2018-10-17,13.64,13.74,13.7,13.48,152437.7,0.24,1.78,13.586,14.101,14.425,179240.0,159546.07,161362.98
2018-10-16,13.5,13.76,13.46,13.42,141683.7,-0.06,-0.44,13.738,14.232,14.454,166870.38,170342.58,157961.75
2018-10-15,13.6,13.63,13.52,13.46,133062.81,0.05,0.37,13.916,14.375,14.491,159500.02,171933.53,157464.99
2018-10-12,13.78,13.84,13.47,13.47,196700.17,-0.31,-2.25,14.09,14.537,14.541,173629.43,184668.39,154996.41
2018-10-11,14.04,14.18,13.78,13.57,272315.62,-0.68,-4.7,14.394,14.672,14.591,166485.28,175944.65,149010.32
2018-10-10,14.38,14.55,14.46,14.33,90589.6,0.11,0.77,14.616,14.775,14.624,139852.15,167270.32,141699.38
2018-10-09,14.42,14.45,14.35,14.31,104831.88,-0.04,-0.28,14.726,14.807,14.642,173814.78,174326.71,143969.29
2018-10-08,14.69,14.75,14.39,14.36,203709.89,-0.6,-4.0,14.834,14.815,14.655,184367.05,174214.72,143359.94
2018-09-28,14.96,15.05,14.99,14.89,160979.42,0.1,0.67,14.984,14.833,14.667,195707.35,165706.27,139900.5
2018-09-27,15.02,15.07,14.89,14.84,139149.94,-0.12,-0.8,14.95,14.802,14.641,185404.01,167203.64,137157.26
2018-09-26,14.98,15.15,15.01,14.86,260402.75,0.12,0.81,14.934,14.749,14.634,194688.49,163179.88,134748.5
2018-09-25,15.0,15.04,14.89,14.85,157593.25,-0.25,-1.65,14.888,14.675,14.624,174838.64,145580.93,127644.97
2018-09-21,14.85,15.18,15.14,14.73,260411.39,0.32,2.16,14.796,14.606,14.629,164062.39,142996.45,129403.27
2018-09-20,14.82,14.88,14.82,14.77,109462.73,0.01,0.07,14.682,14.545,14.616,135705.19,125324.43,124184.45
2018-09-19,14.74,14.95,14.81,14.7,185572.33,0.03,0.2,14.654,14.509,14.616,149003.27,122075.99,125849.54
2018-09-18,14.41,14.82,14.78,14.38,161153.5,0.35,2.43,14.564,14.473,14.614,131671.28,116128.44,122512.13
2018-09-17,14.5,14.68,14.43,14.4,103712.01,-0.14,-0.96,14.462,14.476,14.616,116323.21,113611.88,125281.85
2018-09-14,14.75,14.81,14.57,14.53,118625.37,-0.11,-0.75,14.416,14.495,14.629,121930.5,112505.16,131386.75
2018-09-13,14.51,14.71,14.68,14.51,175953.12,0.32,2.23,14.408,14.5,14.613,114943.67,114094.73,132781.99
2018-09-12,14.22,14.46,14.36,14.22,98912.39,0.09,0.63,14.364,14.48,14.598,95148.71,107110.89,131738.48
2018-09-11,14.19,14.4,14.27,14.16,84413.17,0.07,0.49,14.382,14.519,14.592,100585.6,106317.11,132432.44
2018-09-10,14.43,14.52,14.2,14.17,131748.44,-0.33,-2.27,14.49,14.573,14.606,110900.54,109709.01,132397.76
2018-09-07,14.45,14.66,14.53,14.4,83691.25,0.07,0.48,14.574,14.651,14.625,103079.81,115810.09,131430.84
2018-09-06,14.45,14.58,14.46,14.4,76978.32,0.01,0.07,14.592,14.687,14.63,113245.78,123044.46,132249.07
2018-09-05,14.72,14.78,14.45,14.45,126096.82,-0.36,-2.43,14.596,14.722,14.636,119073.06,129623.09,135841.73
2018-09-04,14.63,14.92,14.81,14.52,135987.88,0.19,1.3,14.656,14.754,14.623,112048.63,128895.82,135502.44
2018-09-03,14.54,14.65,14.62,14.45,92644.79,0.0,0.0,14.656,14.756,14.606,108517.47,136951.81,135637.4
2018-08-31,14.47,14.68,14.62,14.44,134521.09,0.14,0.97,14.728,14.763,14.577,128540.37,150268.35,138411.15
2018-08-30,14.75,14.81,14.48,14.48,106114.73,-0.27,-1.83,14.782,14.725,14.554,132843.14,151469.25,137629.24
2018-08-29,14.81,14.88,14.75,14.68,90974.65,-0.06,-0.41,14.848,14.716,14.549,140173.13,156366.07,140187.71
2018-08-28,14.98,15.02,14.81,14.77,118332.11,-0.17,-1.14,14.852,14.665,14.545,145743.01,158547.76,143993.76
