date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-01,22.44,22.87,22.05,22.01,99802.71,0.35,1.61,21.658,21.813,22.223,70508.33,77402.47,78934.51
2018-10-31,21.6,21.93,21.7,21.2,65836.45,0.23,1.07,21.528,21.696,22.427,64188.12,74054.89,80922.65
2018-10-30,21.73,21.86,21.47,20.7,70086.55,-0.24,-1.1,21.584,21.706,22.731,63199.76,76475.15,83362.63
2018-10-29,21.39,22.1,21.71,21.38,64163.83,0.35,1.64,21.74,21.646,23.044,65488.22,74739.29,84430.77
2018-10-26,21.73,22.16,21.36,21.34,52652.11,-0.04,-0.19,21.958,21.601,23.345,78793.47,74665.44,89049.61
2018-10-25,21.01,21.66,21.4,20.82,68201.67,-0.58,-2.64,21.968,21.606,23.635,84296.61,79401.79,95229.37
2018-10-24,21.98,22.59,21.98,21.9,60894.63,-0.27,-1.21,21.864,21.641,23.922,83921.66,85477.11,98421.78
2018-10-23,22.76,22.84,22.25,22.09,81528.85,-0.55,-2.41,21.828,21.839,24.2,89750.54,85219.05,103116.07
2018-10-22,21.45,23.3,22.8,21.45,130690.11,1.39,6.49,21.552,22.012,24.438,83990.37,83237.94,104146.04
2018-10-19,20.12,21.6,21.41,20.01,80167.78,0.53,2.54,21.244,22.13,24.634,70537.4,81276.59,103247.36
2018-10-18,21.5,21.53,20.88,20.66,66326.94,-0.92,-4.22,21.244,22.633,24.938,74506.98,80466.55,106917.77
2018-10-17,21.39,21.94,21.8,21.0,90039.03,0.93,4.46,21.418,23.158,25.272,87032.57,87790.41,109692.47
2018-10-16,21.41,21.62,20.87,20.52,52727.99,-0.39,-1.83,21.85,23.755,25.566,80687.56,90250.1,114058.34
2018-10-15,21.5,21.97,21.26,21.16,63425.26,-0.15,-0.7,22.472,24.442,25.915,82485.5,94122.24,122306.95
2018-10-12,21.55,21.88,21.41,20.0,100015.67,-0.34,-1.56,23.016,25.088,26.297,92015.79,103433.79,137127.02
2018-10-11,22.62,22.88,21.75,21.56,128954.88,-2.21,-9.22,24.022,25.663,26.746,86426.12,111056.94,155337.13
2018-10-10,23.94,24.15,23.96,23.43,58314.01,-0.02,-0.08,24.898,26.203,27.048,88548.26,111366.46,164031.54
2018-10-09,24.0,24.4,23.98,23.7,61717.7,0.0,0.0,25.66,26.561,27.25,99812.65,121013.1,175290.44
2018-10-08,25.3,25.3,23.98,23.9,111076.68,-2.46,-9.3,26.412,26.863,27.328,105758.97,125054.15,181118.51
2018-09-28,26.2,26.7,26.44,26.17,72067.34,0.31,1.19,27.16,27.138,27.346,114851.79,125218.12,180110.8
2018-09-27,27.7,27.77,26.13,26.11,139565.55,-1.64,-5.91,27.304,27.243,27.269,135687.76,133368.99,185215.36
2018-09-26,27.6,28.06,27.77,27.34,114635.96,0.03,0.11,27.508,27.385,27.255,134184.65,131594.53,188495.52
2018-09-25,27.44,28.27,27.74,27.3,91449.32,0.02,0.07,27.462,27.377,27.041,142213.55,137866.58,185005.27
2018-09-21,27.18,27.84,27.72,26.8,156540.8,0.56,2.06,27.314,27.388,26.826,144349.33,150491.66,182945.61
2018-09-20,27.22,28.48,27.16,26.71,176247.16,0.01,0.04,27.116,27.505,26.587,135584.44,170820.26,176861.08
2018-09-19,27.11,27.76,27.15,26.9,132050.03,-0.39,-1.42,27.182,27.828,26.394,131050.22,199617.33,170464.87
2018-09-18,26.73,27.55,27.54,26.11,154780.42,0.54,2.0,27.262,27.893,26.188,129004.41,216696.63,165829.06
2018-09-17,26.8,27.35,27.0,26.73,102128.25,0.27,1.01,27.292,27.939,25.967,133519.61,229567.78,160809.57
