,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,8012.98,0,171,10000.0
2,6272.58,1,323,9970.93
3,5217.4349999999995,2,414,10017.765
4,4035.5099999999993,3,517,9968.085
5,3435.4299999999994,4,569,10001.689999999999
6,2530.254999999999,5,650,9794.005000000001
7,4165.855,6,505,9862.255
8,4927.455,7,437,9821.855
9,5897.07,8,350,9797.82
10,5073.995,9,423,9843.32
11,5920.37,10,348,9847.55
12,6574.68,11,289,9779.69
13,5558.665000000001,12,380,9801.365000000002
14,6645.485000000001,13,282,9772.865000000002
15,7026.965,14,248,9809.525
16,7661.165,15,192,9835.564999999999
17,6487.48,16,295,9849.005
18,7463.28,17,210,9874.08
19,8127.09,18,152,9866.73
20,6920.280000000001,19,258,9857.61
21,7601.280000000001,20,198,9848.58
22,8009.02,21,161,9783.24
23,6732.26,22,279,9751.04
24,5003.6900000000005,23,436,9804.05
25,3687.8050000000003,24,549,10080.91
26,5324.110000000001,25,408,10058.95
27,6281.710000000001,26,324,9975.310000000001
28,5257.060000000001,27,414,9970.45
29,5854.020000000001,28,362,10009.780000000002
30,4683.5700000000015,29,464,10007.970000000001
31,5841.290000000001,30,361,9898.93
32,6651.650000000001,31,289,9904.345000000001
33,7087.320000000001,32,251,9965.035
34,7515.780000000001,33,214,9993.900000000001
35,6634.905000000001,34,289,10029.210000000001
36,7420.8150000000005,35,222,10024.875
37,5529.465,36,384,10012.665
38,6370.1050000000005,37,313,10076.025000000001
39,7355.335000000001,38,231,10130.800000000001
40,8107.870000000001,39,168,10114.630000000001
41,8441.35,40,140,10108.75
42,6695.725,41,287,10103.85
43,5805.85,42,362,10100.98
44,5027.8,43,427,10138.99
45,6449.96,44,311,10262.82
46,4998.575,45,428,10307.915
47,5772.014999999999,46,364,10170.955
48,6314.264999999999,47,319,10158.215
49,7266.6449999999995,48,241,10209.255
50,5192.6849999999995,49,409,10241.789999999999
51,4486.485,50,464,10444.244999999999
52,5472.884999999999,51,392,10843.285
53,3973.5899999999992,52,501,10864.844999999998
54,3260.8649999999993,53,552,10975.064999999999
55,5394.44,54,397,10859.145
56,4182.094999999999,55,484,10926.634999999998
57,3404.5349999999994,56,540,10902.435
58,2666.2449999999994,57,593,10926.734999999999
59,2085.4799999999996,58,634,11066.089999999998
60,3599.6899999999996,59,528,11142.17
61,4725.1849999999995,60,447,10936.25
62,5756.374999999999,61,373,10954.129999999997
63,7257.034999999999,62,265,10939.21
64,6428.434999999999,63,325,10916.684999999998
65,7716.704999999998,64,231,10882.559999999998
66,8222.494999999999,65,194,10874.474999999999
67,7268.609999999999,66,265,10828.884999999998
68,7742.909999999999,67,229,10759.984999999999
69,8454.089999999998,68,175,10758.839999999998
70,8773.769999999999,69,151,10785.089999999998
71,7620.149999999999,70,238,10776.029999999999
72,8188.409999999999,71,196,10840.289999999999
73,8704.574999999999,72,157,10782.47
74,7626.9749999999985,73,237,10819.364999999998
75,5609.5149999999985,74,386,10835.954999999998
76,6980.394999999999,75,284,10797.355
77,7540.464999999998,76,242,10767.534999999998
78,5399.969999999998,77,403,10757.855
79,4762.049999999998,78,451,10755.839999999998
80,5446.629999999998,79,399,10699.464999999998
81,4425.5549999999985,80,478,10603.704999999998
82,3340.2749999999987,81,562,10601.314999999999
83,2980.7549999999987,82,590,10556.355
84,2644.444999999999,83,616,10612.404999999999
85,4643.389999999999,84,463,10692.485
86,3575.7499999999995,85,545,10671.65
87,3158.3099999999995,86,577,10685.275
88,3898.4549999999995,87,520,10650.654999999999
89,2826.7149999999992,88,602,10694.855
90,2255.374999999999,89,646,10643.684999999998
91,3110.074999999999,90,580,10621.074999999999
92,2194.884999999999,91,651,10586.275
93,1673.6849999999988,92,691,10677.415
94,2886.259999999999,93,600,10881.259999999998
95,2546.179999999999,94,626,10734.259999999998
96,2187.499999999999,95,654,10565.239999999998
97,4112.579999999999,96,502,10470.41
98,3350.279999999999,97,562,10490.489999999998
99,5061.459999999999,98,428,10527.019999999999
100,4347.459999999999,99,484,10518.46
101,3558.199999999999,100,546,10508.779999999999
102,4715.719999999999,101,455,10503.32
103,3574.0699999999997,102,545,10487.394999999999
104,4573.25,103,467,10555.52
105,3231.65,104,571,10597.55
106,4502.22,105,473,10634.665
107,6205.285,106,340,10558.985
108,6946.815,107,282,10552.185
109,7704.965,108,223,10570.515
110,8037.635,109,197,10558.25
111,8407.675000000001,110,168,10551.355000000001
112,9024.475,111,120,10566.475
113,9370.75,112,93,10563.475
114,7852.3099999999995,113,212,10557.43
115,6777.95,114,296,10563.789999999999
116,7299.264999999999,115,255,10541.59
117,8246.89,116,180,10521.189999999999
118,8901.175,117,127,10468.99
119,9299.414999999999,118,95,10481.689999999999
120,9585.535,119,72,10481.215
121,9684.494999999999,120,64,10476.175
122,9781.414999999999,121,56,10459.855
123,7061.214999999998,122,288,10438.015
124,7674.814999999999,123,236,10459.614999999998
125,8109.934999999999,124,199,10450.175
126,8429.884999999998,125,172,10468.085
127,8930.189999999999,126,129,10431.105
128,9218.189999999999,127,105,10478.189999999999
129,9401.864999999998,128,90,10503.914999999997
130,7398.604999999998,129,254,10501.214999999998
131,8139.304999999998,130,194,10534.234999999997
132,8748.304999999997,131,144,10502.224999999997
133,9137.904999999997,132,112,10501.504999999997
134,9437.529999999997,133,87,10480.224999999997
135,9559.029999999997,134,77,10494.579999999996
136,8064.529999999997,135,199,10502.279999999997
137,8509.849999999997,136,163,10526.159999999996
138,8723.964999999997,137,146,10562.834999999995
139,7186.764999999996,138,268,10563.564999999995
140,7646.859999999996,139,231,10519.344999999996
141,6374.919999999996,140,333,10527.429999999997
142,6840.009999999997,141,296,10560.729999999996
143,7460.759999999997,142,246,10514.849999999997
144,5712.859999999997,143,386,10532.069999999996
145,6544.329999999997,144,319,10503.119999999997
146,4962.959999999997,145,452,10337.239999999998
147,5617.734999999997,146,397,10344.019999999997
148,4503.834999999997,147,491,10322.184999999998
149,4045.1949999999974,148,530,10277.994999999997
150,3513.2949999999973,149,575,10309.794999999998
151,3031.8949999999973,150,615,10433.419999999996
152,2355.1349999999975,151,671,10464.169999999998
153,1771.6949999999974,152,719,10511.14
154,3940.8949999999973,153,543,10633.369999999997
155,2866.8799999999974,154,630,10644.229999999998
156,2090.0899999999974,155,693,10634.779999999999
157,4338.699999999997,156,511,10652.104999999998
158,3604.2999999999975,157,571,10593.339999999997
159,2973.4299999999976,158,622,10667.569999999998
160,2304.0999999999976,159,676,10683.119999999999
161,3143.5599999999977,160,608,10649.319999999996
162,2551.9599999999978,161,656,10637.159999999998
163,1805.0149999999976,162,717,10584.679999999998
164,1348.6199999999976,163,754,10649.209999999997
165,1024.9949999999976,164,779,11109.149999999998
166,752.8349999999975,165,800,11120.834999999997
167,638.4449999999975,166,809,10920.835
168,511.14499999999754,167,819,10937.014999999998
169,2398.8849999999975,168,671,10957.489999999998
170,1890.0849999999975,169,711,10934.004999999997
171,1331.5049999999974,170,755,10916.229999999998
172,1167.7049999999974,171,768,10844.504999999997
173,953.3349999999974,172,785,10852.184999999998
174,828.8349999999974,173,795,10726.584999999997
175,643.1349999999974,174,810,10670.934999999998
176,1790.8349999999973,175,718,10747.884999999998
177,4348.994999999997,176,514,10794.554999999997
178,5382.604999999998,177,432,10827.964999999998
179,6196.404999999998,178,367,10791.244999999999
180,4361.944999999998,179,515,10745.369999999999
181,3701.829999999998,180,568,10776.269999999997
182,2832.7749999999983,181,637,10855.789999999997
183,2058.3799999999983,182,698,10919.489999999998
184,1545.9799999999982,183,738,10999.759999999997
185,1352.1049999999982,184,753,11084.629999999997
186,1038.5449999999983,185,777,11190.049999999997
187,2833.744999999998,186,641,11294.944999999996
188,4429.504999999998,187,519,11218.024999999998
189,3862.334999999998,188,562,11275.114999999998
190,5041.584999999998,189,473,11308.835
191,6039.459999999998,190,398,11334.849999999999
192,5210.469999999998,191,459,11448.279999999999
193,6576.969999999998,192,359,11482.704999999998
194,7313.144999999999,193,304,11382.184999999998
195,8053.184999999999,194,248,11330.505
196,7096.984999999999,195,318,11440.864999999998
197,8254.824999999999,196,236,11587.144999999999
198,6337.869999999999,197,359,11932.884999999998
199,4958.909999999999,198,447,11963.399999999998
200,3498.209999999999,199,537,12213.72
201,4424.179999999999,200,475,11518.304999999998
202,3313.579999999999,201,547,11751.055
203,2830.779999999999,202,581,11080.979999999998
204,2219.7499999999986,203,624,11086.789999999999
205,3210.239999999999,204,550,10571.99
206,2895.989999999999,205,575,10123.739999999998
207,2578.989999999999,206,600,10186.989999999998
208,1921.2699999999988,207,654,9886.99
209,1676.5699999999988,208,674,9922.96
210,2906.6449999999986,209,575,10051.019999999999
211,4968.594999999998,210,412,10180.394999999997
212,4428.009999999998,211,453,10400.814999999999
213,3212.9649999999983,212,546,10346.454999999998
214,5032.494999999998,213,408,10411.974999999999
215,5674.494999999998,214,358,10271.214999999998
216,6849.534999999998,215,262,10056.414999999997
217,7626.354999999998,216,196,9933.274999999998
218,7853.309999999998,217,177,9967.574999999997
219,6719.639999999998,218,270,10010.939999999997
220,5724.959999999997,219,351,10035.239999999998
221,6701.869999999997,220,268,9856.229999999996
222,7502.614999999997,221,199,9812.009999999997
223,7987.439999999997,222,158,9855.789999999997
224,7002.209999999997,223,240,9885.809999999998
225,7400.684999999998,224,207,9900.209999999997
226,5726.504999999997,225,338,10046.144999999997
227,5059.499999999997,226,391,9980.234999999997
228,5806.499999999997,227,331,9927.449999999997
229,6670.299999999997,228,261,9891.039999999997
230,7140.929999999998,229,223,9902.784999999998
231,7573.529999999998,230,188,9897.209999999997
232,5726.489999999998,231,336,9919.769999999997
233,6306.089999999998,232,290,9960.089999999998
234,6737.379999999998,233,256,9984.739999999998
235,5191.029999999998,234,378,9982.179999999998
236,3786.324999999998,235,489,9974.619999999999
237,3028.764999999998,236,548,10065.084999999997
238,4456.204999999998,237,436,10013.024999999998
239,3658.934999999998,238,497,10154.724999999999
240,4779.659999999998,239,412,10211.879999999997
241,5739.059999999998,240,340,10269.559999999998
242,4185.589999999998,241,458,10215.159999999998
243,3543.1999999999985,242,507,10189.969999999998
244,5489.449999999999,243,357,10121.525
245,6346.459999999999,244,291,10125.095
246,4470.139999999999,245,435,10138.189999999999
247,6005.764999999999,246,318,10179.515
248,4341.429999999999,247,445,10173.154999999999
249,3117.829999999999,248,537,10259.93
250,4665.8499999999985,249,421,10284.094999999998
251,3662.7249999999985,250,496,10296.724999999999
252,4591.624999999998,251,426,10244.644999999997
253,6159.749999999998,252,301,9935.794999999998
254,5003.124999999998,253,396,9824.425
255,3846.204999999998,254,489,9929.364999999998
256,5146.204999999998,255,385,9958.704999999998
257,4362.169999999998,256,448,9937.529999999999
258,3176.5699999999983,257,544,9894.969999999998
259,2709.1699999999983,258,582,9867.769999999999
260,3646.6299999999983,259,506,9888.14
261,4883.879999999998,260,405,9845.129999999997
262,6184.829999999998,261,300,9901.829999999998
263,5498.759999999998,262,354,9996.329999999998
264,6131.3499999999985,263,305,10068.899999999998
265,6796.4299999999985,264,253,10032.3
266,6116.009999999998,265,305,10106.934999999998
267,6844.754999999998,266,248,10015.434999999998
268,5166.704999999998,267,383,9927.394999999997
269,4581.814999999998,268,429,10036.549999999997
270,5838.124999999998,269,330,10025.824999999997
271,4809.434999999998,270,412,9977.974999999999
272,4040.944999999998,271,474,9916.174999999997
273,5318.444999999998,272,374,10096.294999999998
274,4558.064999999998,273,432,10221.584999999997
275,3785.1449999999977,274,489,10415.984999999997
276,5052.904999999998,275,397,10523.564999999999
277,3660.094999999998,276,499,10473.939999999997
278,5596.024999999998,277,358,10511.364999999998
279,4006.294999999998,278,472,10588.334999999997
280,5053.394999999998,279,398,10685.094999999998
281,6053.474999999998,280,326,10581.614999999998
282,6813.254999999997,281,272,10640.294999999998
283,7322.654999999997,282,236,10662.054999999997
284,6107.044999999997,283,322,10658.514999999998
285,4833.954999999997,284,413,10611.824999999997
286,5849.749999999997,285,340,10580.849999999997
287,5251.189999999997,286,383,10582.549999999996
288,4483.219999999997,287,436,10800.859999999997
289,3531.2199999999966,288,500,10968.719999999998
290,4630.489999999996,289,426,10958.719999999998
291,5735.989999999996,290,351,10909.729999999996
292,6588.2999999999965,291,293,10893.934999999998
293,5504.614999999996,292,366,10937.884999999997
294,6724.364999999996,293,284,10948.864999999996
295,7727.364999999996,294,216,10913.364999999996
296,6680.114999999996,295,287,10913.364999999996
297,5962.264999999996,296,336,10884.664999999997
298,5024.344999999996,297,400,10886.344999999996
299,3703.5849999999955,298,489,10960.344999999996
300,2773.7049999999954,299,552,10921.224999999995
301,2129.5449999999955,300,596,10854.984999999997
302,4620.894999999996,301,426,10863.924999999996
303,6437.144999999996,302,301,10810.674999999996
304,4728.944999999996,303,418,10831.744999999995
305,3657.224999999996,304,490,10950.874999999996
306,2880.8649999999957,305,542,10972.924999999996
307,2199.5649999999955,306,587,11086.744999999995
308,1937.5099999999954,307,604,11248.169999999995
309,1737.6999999999955,308,617,11220.989999999996
310,2769.2599999999957,309,549,11097.589999999997
311,2017.5099999999957,310,599,11023.474999999995
312,1608.1899999999957,311,626,11098.349999999995
313,1142.2599999999957,312,657,11016.969999999994
314,4028.979999999996,313,465,11020.254999999996
315,5917.539999999996,314,336,10836.579999999996
316,4399.209999999996,315,443,10685.379999999997
317,3785.5999999999963,316,486,10720.819999999996
318,2691.3499999999963,317,561,10876.339999999997
319,3692.8849999999966,318,492,10834.264999999996
320,5129.374999999996,319,393,10831.804999999997
321,6206.124999999996,320,320,10926.124999999996
322,7542.1749999999965,321,230,10956.524999999996
323,8058.949999999996,322,195,10938.124999999996
324,8850.049999999996,323,141,10915.699999999995
325,9176.419999999996,324,119,10941.784999999996
326,9506.529999999997,325,97,10962.014999999998
327,9684.789999999997,326,85,10947.464999999997
328,9998.004999999997,327,64,10952.564999999997
329,7743.6349999999975,328,213,10966.324999999997
330,8504.384999999998,329,163,10984.429999999998
331,8859.734999999999,330,140,11022.734999999999
332,9426.945,331,103,11005.935
333,9876.154999999999,332,74,11022.414999999999
334,10078.954999999998,333,61,11030.554999999998
335,7164.559999999998,334,248,11029.639999999998
336,6438.879999999997,335,295,10993.679999999997
337,5386.659999999997,336,366,10810.779999999997
338,4426.549999999997,337,433,10631.439999999997
