,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7154.844999999999,1,201,10000.0
2,5851.164999999999,2,298,9856.285
3,6831.664999999999,3,224,9799.664999999999
4,5170.414999999999,4,349,9808.625
5,5778.259999999999,5,300,9499.76
6,6583.284999999999,6,235,9493.759999999998
7,5669.689999999999,7,308,9524.31
8,4409.689999999999,8,408,9550.489999999998
9,4989.289999999999,9,362,9550.489999999998
10,6222.129999999999,10,264,9543.25
11,6855.379999999999,11,214,9565.689999999999
12,5658.379999999999,12,309,9551.779999999999
13,4480.855,13,404,9488.435
14,5682.295,14,308,9536.915
15,4805.095,15,376,9655.495
16,3448.5950000000003,16,476,9905.535
17,5045.37,17,361,10057.855
18,4090.5199999999995,18,426,10348.46
19,5421.5199999999995,19,338,10533.77
20,4223.5,20,420,10359.7
21,3769.195,21,451,10378.6
22,2957.755,22,507,10304.185
23,4308.255,23,407,9804.79
24,3308.13,24,482,9735.6
25,4111.530000000001,25,422,9762.11
26,3546.2100000000005,26,464,9791.650000000001
27,2548.6900000000005,27,538,9800.93
28,2233.0150000000003,28,561,9932.740000000002
29,3286.4800000000005,29,482,9713.95
30,2789.7550000000006,30,519,9757.330000000002
31,2121.8850000000007,31,568,9863.725
32,3203.7350000000006,32,491,10102.285
33,4183.735000000001,33,421,10077.735
34,4956.210000000001,34,368,10319.810000000001
35,6190.740000000002,35,281,10178.130000000001
36,5403.940000000001,36,337,10138.79
37,3988.930000000001,37,438,10125.310000000001
38,5098.500000000001,38,361,10300.510000000002
39,6453.040000000001,39,267,10300.510000000002
40,6894.490000000001,40,237,10381.945
41,7853.240000000001,41,178,10745.740000000002
42,6886.640000000001,42,238,10720.820000000002
43,7748.950000000001,43,185,10758.900000000001
44,6699.030000000001,44,253,10605.35
45,5197.110000000001,45,349,10657.215
46,6546.915000000001,46,262,10611.845000000001
47,7214.275000000001,47,219,10613.155
48,5206.555,48,351,10545.265
49,4122.5650000000005,49,420,10720.765000000001
50,3547.8650000000007,50,455,11018.965
51,4586.420000000001,51,392,11048.54
52,3596.3900000000012,52,453,10948.580000000002
53,3218.030000000001,53,477,10737.935000000001
54,4485.680000000001,54,396,10683.080000000002
55,5270.660000000002,55,347,10829.600000000002
56,6607.790000000002,56,264,10860.830000000002
57,5605.870000000002,57,328,10740.710000000003
58,4922.770000000001,58,372,10698.070000000002
59,6625.895000000001,59,263,10735.27
60,5438.7750000000015,60,339,10733.955000000002
61,6023.0250000000015,61,301,10650.900000000001
62,4764.7350000000015,62,383,10641.87
63,6139.035000000002,63,293,10613.145
64,6593.085000000002,64,263,10573.590000000002
65,7583.035000000002,65,198,10598.575
66,6236.635000000002,66,286,10612.435000000001
67,5360.260000000002,67,343,10633.885000000002
68,4742.660000000002,68,383,10656.180000000002
69,3989.7800000000016,69,431,10750.015000000001
70,4795.580000000002,70,380,10799.580000000002
71,4154.750000000002,71,421,10734.980000000001
72,3542.4500000000016,72,460,10764.45
73,3179.0500000000015,73,483,10810.450000000003
74,4144.390000000001,74,421,10699.36
75,2978.8900000000012,75,496,10686.73
76,2354.490000000001,76,536,10721.45
77,1903.9750000000013,77,565,10681.25
78,4091.4750000000013,78,425,10732.100000000002
79,5078.355000000001,79,361,10644.975000000002
80,5751.330000000002,80,316,10477.11
81,4897.755000000002,81,373,10483.430000000002
82,6030.810000000002,82,296,10386.450000000003
83,5139.870000000003,83,358,10284.330000000002
84,6088.545000000003,84,293,10364.880000000003
85,4641.215000000003,85,394,10287.235000000004
86,3628.175000000003,86,466,10184.795000000002
87,4961.330000000003,87,373,10308.285000000003
88,4073.4750000000026,88,434,10390.345000000003
89,5368.870000000003,89,345,10390.345000000001
90,4530.190000000002,90,403,10357.570000000003
91,3777.430000000002,91,457,10148.010000000002
92,3066.700000000002,92,510,9905.800000000003
93,2214.6250000000023,93,573,9964.45
