,funds,stock_count,total_assets
0,10000.0,0,10000.0
1,7851.7,682,10000.0
2,8421.815,503,10023.87
3,6036.015,1258,10011.295
4,5280.8150000000005,1494,10061.615000000002
5,3779.8950000000004,1972,9971.974999999999
6,4468.775000000001,1754,10011.415
7,3718.7750000000005,1994,9950.025000000001
8,5014.515,1582,9989.905
9,4084.755,1880,9950.355
10,3041.23,2215,9940.955
11,2563.055,2370,9874.505
12,3365.955,2111,9910.055
13,2957.415,2243,9899.5
14,3897.77,1944,10011.65
15,5259.705,1523,10186.61
16,3794.6049999999996,1983,10110.46
17,5406.215,1477,10110.46
18,4758.47,1676,10213.85
19,6132.08,1254,10213.85
20,4370.74,1801,10169.96
21,3655.6899999999996,2028,10043.89
22,2914.0899999999997,2268,9922.21
23,4580.615,1733,9978.91
24,3468.2949999999996,2085,10056.895
25,2943.5949999999993,2250,10098.595
26,2570.5299999999993,2369,9997.345
27,4671.389999999999,1701,10021.035
28,3964.669999999999,1925,10038.045
29,2983.4649999999992,2236,10038.045
30,4412.424999999999,1778,9959.785
31,6081.924999999999,1248,10013.125
32,6853.674999999999,1003,10013.125
33,5872.599999999999,1312,10038.199999999999
34,6593.324999999999,1085,10038.199999999999
35,7484.094999999999,804,10032.775
36,8075.594999999999,622,10097.095
37,5929.955,1254,10187.285
38,6402.815,1112,10105.775
39,5309.0,1439,10122.455
40,6629.69,1040,10072.09
41,4787.639999999999,1594,10087.689999999999
42,5518.799999999999,1378,10183.329999999998
43,6205.5599999999995,1184,10396.919999999998
44,7199.41,906,10438.36
45,7947.715,699,10474.6
46,8525.245,537,10439.650000000001
47,6471.895,1122,10410.115
48,4938.025000000001,1559,10410.115
49,5710.000000000001,1340,10433.500000000002
50,6304.225,1169,10366.5
51,7015.27,962,10319.740000000002
52,7483.045,827,10348.6
53,7897.645,707,10340.33
54,8144.6050000000005,635,10322.655
55,6272.530000000001,1180,10325.830000000002
56,6828.360000000001,1017,10296.330000000002
57,7774.360000000001,742,10326.84
58,6396.77,1139,10349.1
59,4569.89,1667,10337.71
60,3210.7400000000002,2057,10379.385
61,4401.860000000001,1721,10502.805
62,3471.3950000000004,1982,10537.225
63,5272.145,1492,10755.244999999999
64,5868.915000000001,1326,10635.885
65,7079.3150000000005,986,10589.475
66,8144.370000000001,693,10663.425000000001
67,6209.27,1216,10708.470000000001
68,7530.52,866,10799.67
69,5411.26,1438,10739.05
70,4365.31,1723,10688.720000000001
71,5339.47,1459,10723.18
72,6323.030000000001,1191,10694.0
73,7403.43,899,10729.73
74,5771.030000000001,1339,10738.720000000001
75,6947.630000000001,1021,10725.330000000002
76,7995.005000000001,736,10699.805
77,8751.025000000001,530,10696.125000000002
78,9032.845000000001,453,10690.825
79,9372.295000000002,360,10686.295000000002
80,9677.635000000002,276,10680.895000000002
81,7324.705000000002,918,10689.175000000003
82,6278.4850000000015,1200,10730.485
83,5560.405000000002,1392,10766.485
84,6523.705000000002,1132,10717.765000000003
85,4716.825000000002,1623,10689.465000000002
86,3336.875000000002,2009,10519.050000000003
87,4333.675000000002,1729,10488.915
88,3712.425000000002,1904,10471.625000000002
89,3230.300000000002,2037,10614.425000000003
90,4334.960000000002,1731,10583.870000000003
91,3880.500000000002,1855,10679.075
92,5728.800000000002,1350,10669.800000000003
93,6298.980000000002,1194,10663.050000000003
94,7017.370000000003,995,10609.320000000003
95,7692.555000000003,804,10534.695000000003
96,8355.470000000003,617,10542.735000000002
97,7003.480000000003,1000,10533.480000000003
98,5325.580000000004,1476,10528.480000000003
99,3979.6900000000032,1853,10594.900000000005
100,3548.930000000003,1974,10576.370000000003
101,4903.855000000003,1595,10605.980000000003
102,3947.995000000003,1862,10613.955000000004
103,2836.645000000003,2172,10623.265000000003
104,4365.445000000003,1752,10742.725000000004
105,5843.980000000003,1343,10698.925000000003
106,4864.090000000003,1610,10772.790000000003
107,6093.540000000003,1275,10772.790000000003
108,4726.4050000000025,1646,10791.915000000003
109,6266.765000000002,1249,11112.885000000002
110,5541.0300000000025,1422,11506.320000000003
111,7047.9900000000025,1054,11364.120000000003
112,5317.790000000003,1476,11369.390000000003
113,3922.3100000000027,1824,11236.550000000003
114,2937.135000000003,2075,11081.510000000002
115,4487.420000000003,1678,11040.010000000002
116,5954.960000000003,1306,11107.130000000003
117,6992.435000000003,1045,11146.310000000003
118,5766.800000000003,1348,11219.460000000003
119,4722.690000000003,1611,11118.360000000002
120,3394.2400000000034,1937,11287.515000000003
121,4402.8250000000035,1696,11500.585000000005
122,3543.8250000000035,1896,11687.145000000004
123,3164.9400000000032,1983,11800.905000000002
124,4672.600000000003,1627,11562.945000000003
125,5501.680000000003,1431,11554.810000000005
126,6286.440000000003,1247,11604.895000000004
127,5052.9100000000035,1540,11536.310000000003
128,4273.040000000004,1722,11651.810000000005
129,3220.1800000000035,1966,11703.470000000005
130,5414.960000000003,1452,11615.000000000002
131,3886.7300000000027,1815,11527.880000000003
132,3015.100000000003,2017,11718.455000000002
133,2465.725000000003,2142,11879.815000000002
134,1927.245000000003,2269,11547.805000000004
135,3623.245000000003,1869,11547.805000000004
136,2742.770000000003,2074,11650.600000000002
137,2010.610000000003,2250,11370.610000000002
138,3703.930000000003,1838,11258.110000000002
139,3160.7500000000027,1970,11267.300000000003
140,4966.910000000003,1542,11474.150000000001
141,6163.550000000003,1254,11373.920000000002
142,5056.910000000003,1515,11480.510000000002
143,4333.770000000002,1688,11389.61
144,3698.4100000000026,1840,11389.610000000002
145,4951.960000000003,1535,11260.810000000001
146,6787.585000000003,1090,11283.835000000003
147,5446.885000000003,1417,11256.585000000003
148,4415.4100000000035,1672,11178.650000000003
149,3281.5750000000035,1953,11161.930000000004
150,5610.6600000000035,1370,11083.810000000005
151,6520.380000000004,1142,11076.960000000003
152,4598.610000000004,1631,11008.440000000004
153,5824.770000000004,1319,11008.440000000004
154,6753.810000000004,1082,10995.250000000004
155,7766.460000000004,824,11000.660000000003
156,8661.420000000004,598,11029.500000000004
157,6863.580000000004,1052,11029.500000000004
158,8014.140000000003,764,11066.320000000003
159,8621.160000000003,613,11085.420000000004
160,8986.980000000003,522,11085.420000000002
161,9579.180000000004,382,11195.040000000005
162,10061.220000000005,279,11366.940000000004
163,8991.580000000005,500,11411.580000000005
164,9577.340000000006,388,11606.580000000005
165,9833.180000000006,336,11486.300000000007
166,10021.580000000005,296,11415.740000000005
167,8967.080000000005,518,11427.580000000005
168,7916.990000000005,731,11520.820000000005
169,8651.390000000005,578,11425.790000000005
170,6952.070000000005,935,11402.670000000006
171,5600.990000000005,1213,11496.170000000006
172,6787.175000000006,976,11672.055000000008
173,7510.275000000006,836,11828.215000000006
174,6680.320000000006,997,11819.855000000005
175,5843.320000000006,1152,12064.120000000006
176,6800.605000000006,963,11678.200000000004
177,7795.455000000005,761,11543.380000000005
178,7002.630000000006,916,11687.970000000005
179,5968.390000000006,1118,11692.550000000007
180,7048.950000000006,910,11776.400000000005
181,7625.680000000006,803,11953.850000000006
182,8718.680000000006,603,12014.075000000006
183,6143.870000000006,1072,12029.150000000007
184,7081.730000000007,898,11921.950000000008
185,6272.330000000007,1050,11863.580000000005
186,7625.540000000007,792,11779.580000000007
187,8686.215000000007,589,11763.740000000007
188,7012.615000000007,909,11766.685000000009
189,5246.935000000007,1245,11789.410000000007
190,3862.405000000007,1511,11727.160000000007
191,2862.6300000000074,1708,11530.730000000007
192,5048.870000000008,1281,11607.590000000007
193,6743.980000000009,944,11492.30000000001
194,7422.020000000009,810,11520.620000000008
195,8164.420000000008,665,11569.220000000008
196,6138.480000000009,1071,11482.770000000008
197,6869.600000000009,923,11429.220000000008
198,7405.335000000008,814,11406.145000000008
