,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,8184.16,0,468,10000.0
2,8482.119999999999,1,390,9971.919999999998
3,6494.3499999999985,2,909,9975.82
4,4974.3499999999985,3,1309,9948.55
5,5941.954999999998,4,1058,10020.544999999998
6,6559.414999999998,5,894,9925.324999999999
7,5039.624999999998,6,1295,9947.675
8,6457.124999999998,7,917,9895.874999999998
9,5478.0149999999985,8,1175,9937.14
10,4874.2649999999985,9,1336,9884.265
11,3791.959999999998,10,1625,9877.585
12,2766.209999999998,11,1900,9853.21
13,2178.0899999999983,12,2056,9929.21
14,3024.0899999999983,13,1831,9908.649999999998
15,2604.9899999999984,14,1941,10000.199999999999
16,2230.5699999999983,15,2038,10097.249999999998
17,3880.5099999999984,16,1610,10087.059999999998
18,2762.5599999999986,17,1900,10087.059999999998
19,4734.934999999999,18,1391,10125.059999999998
20,3324.209999999998,19,1756,10111.149999999998
21,4702.769999999999,20,1397,10067.249999999998
22,3625.0849999999987,21,1684,9948.505
23,2889.779999999999,22,1883,9847.465
24,2068.3799999999987,23,2105,9856.88
25,3931.994999999999,24,1602,9867.404999999999
26,2883.864999999999,25,1883,9907.454999999998
27,4527.394999999999,26,1440,9869.794999999998
28,3277.1249999999986,27,1777,9869.794999999998
29,4653.534999999999,28,1406,9869.794999999998
30,3280.8949999999986,29,1774,9897.914999999997
31,2419.7749999999987,30,2008,9809.215
32,1844.7949999999987,31,2156,10220.854999999998
33,2926.369999999999,32,1871,10026.814999999999
34,4243.889999999999,33,1527,10092.3
35,5573.249999999999,34,1179,10077.029999999999
36,6498.9,35,937,10082.925
37,5208.0,36,1268,10153.2
38,4084.23,37,1550,10260.980000000001
39,5121.75,38,1286,10175.73
40,3986.33,39,1572,10227.169999999998
41,5788.075,40,1121,10266.470000000001
42,6563.9349999999995,41,928,10294.494999999999
43,7587.294999999999,42,682,10424.414999999999
44,8128.949999999999,43,555,10496.024999999998
45,5890.784999999999,44,1086,10468.274999999998
46,4914.6849999999995,45,1313,10560.585
47,3661.874999999999,46,1612,10416.154999999999
48,5014.064999999999,47,1283,10287.194999999998
49,5682.364999999999,48,1120,10274.364999999998
50,4222.709999999999,49,1473,10313.564999999999
51,3010.354999999999,50,1762,10401.945
52,2211.974999999999,51,1953,10375.514999999998
53,1989.934999999999,52,2005,10551.284999999998
54,4008.919999999999,53,1526,10441.009999999998
55,2827.5949999999993,54,1811,10334.189999999999
56,3716.4349999999995,55,1595,10279.86
57,2736.535,56,1834,10255.935
58,4372.014999999999,57,1438,10310.954999999998
59,5631.665,58,1133,10310.955000000002
60,4866.275,59,1319,10293.96
61,6211.57,60,996,10359.91
62,6662.599999999999,61,890,10449.55
63,5571.2,62,1145,10471.8
64,4802.08,63,1321,10574.85
65,5755.83,64,1103,10581.455
66,6288.42,65,980,10531.82
67,6725.505,66,881,10615.12
68,5963.15,67,1048,10747.27
69,7114.65,68,803,10888.75
70,7914.4,69,628,10784.36
71,6971.514999999999,70,835,10774.939999999999
72,7803.195,71,651,10745.715
73,8238.074999999999,72,555,10752.224999999999
74,8786.81,73,434,10755.0
75,9068.91,74,372,10761.51
76,9387.76,75,302,10763.37
77,7112.32,76,801,10764.880000000001
78,5931.969999999999,77,1059,10776.895
79,6778.1449999999995,78,872,10723.945
80,5314.405,79,1198,10693.425
81,5949.1449999999995,80,1056,10669.465
82,4703.3949999999995,81,1331,10732.824999999999
83,3501.6199999999994,82,1596,10739.48
84,3015.0799999999995,83,1702,10827.259999999998
85,2327.2749999999996,84,1853,10767.689999999999
86,3605.0199999999995,85,1570,10693.57
87,5061.969999999999,86,1240,10536.57
88,4078.609999999999,87,1464,10505.57
89,4865.959999999999,88,1283,10447.009999999998
90,3511.909999999999,89,1589,10543.234999999999
91,2851.1099999999988,90,1729,11011.99
92,4872.109999999999,91,1299,10977.41
93,3493.074999999999,92,1586,11113.804999999998
94,4992.444999999999,93,1268,10971.064999999999
