,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,8338.725,0,77,10000.0
2,7409.885,1,121,9964.195
3,8072.51,2,90,9996.26
4,8517.185,3,69,9978.26
5,8778.125,4,57,10017.59
6,9073.455,5,43,9980.539999999999
7,6454.115,6,165,9996.664999999999
8,7300.315,7,125,9944.689999999999
9,7695.865,8,107,10047.19
10,5842.44,9,192,10029.0
11,6544.36,10,160,10053.96
12,5764.0599999999995,11,196,10012.359999999999
13,6635.209999999999,12,158,10257.359999999999
14,5711.6849999999995,13,199,10194.16
15,6850.69,14,150,10337.439999999999
16,6067.764999999999,15,183,10409.439999999999
17,6611.485,16,160,10393.885
18,7231.195,17,134,10425.085
19,5309.0650000000005,18,215,10411.015
20,3943.745000000001,19,273,10370.165
21,3238.5950000000007,20,303,10360.61
22,2322.6550000000007,21,344,10007.615000000002
23,4462.540000000001,22,245,9758.215
24,3874.6150000000007,23,272,9797.415
25,2896.935000000001,24,316,9918.455
26,4031.9400000000005,25,265,9929.515
27,3122.5600000000004,26,306,9909.64
28,4538.33,27,244,10110.07
29,5835.5,28,186,9995.39
30,4893.525,29,227,10108.85
31,6186.924999999999,30,169,9955.625
32,7034.594999999999,31,132,10058.715
33,7549.504999999999,32,110,10124.055
34,8234.05,33,81,10146.054999999998
35,8706.55,34,61,10147.675
36,7166.439999999999,35,127,10129.984999999999
37,7892.924999999999,36,96,10142.685
38,5731.219999999999,37,187,10173.404999999999
39,6455.419999999999,38,157,10245.4
40,7073.049999999999,39,131,10184.955
41,5016.369999999999,40,218,10169.89
42,6365.689999999999,41,162,10269.079999999998
43,4723.829999999999,42,230,10277.179999999998
44,4161.364999999999,43,253,10348.48
45,5187.844999999999,44,211,10344.684999999998
46,3680.624999999999,45,273,10317.254999999997
47,2655.289999999999,46,316,10190.309999999998
48,2274.649999999999,47,332,10172.929999999998
49,1916.9749999999992,48,347,10191.189999999999
50,3653.6149999999993,49,275,10286.615
51,2702.4049999999993,50,314,10360.865
52,2378.4449999999993,51,327,10527.285
53,4745.844999999999,52,232,10527.285
54,3857.1849999999995,53,268,10472.765
55,3220.1849999999995,54,293,10685.825
56,4476.315,55,242,10436.775000000001
57,3885.4399999999996,56,267,10195.984999999999
58,4617.04,57,236,10186.64
59,3948.4,58,264,10252.72
60,3447.55,59,285,10244.8
61,2826.8,60,311,10251.925
62,4611.8,61,236,10228.6
63,5597.235000000001,62,195,10284.060000000001
64,6862.655000000001,63,143,10342.560000000001
65,4871.435000000001,64,227,10252.470000000001
66,3739.835000000001,65,275,10222.960000000003
67,5129.210000000001,66,218,10442.960000000001
68,4308.500000000001,67,251,10550.87
69,5136.800000000001,68,218,10608.600000000002
70,6176.970000000001,69,177,10667.460000000001
71,7245.090000000001,70,134,10573.650000000001
72,5364.090000000001,71,209,10605.810000000001
73,3769.530000000001,72,273,10571.325
74,5582.4850000000015,73,200,10549.485
75,6460.345000000001,74,164,10459.485
76,5353.345000000001,75,209,10494.745000000003
77,6544.290000000001,76,160,10433.09
78,5557.290000000001,77,200,10492.29
79,6859.500000000001,78,147,10471.29
80,7704.910000000001,79,113,10514.655
81,8413.235,80,84,10464.935000000001
82,6167.3550000000005,81,175,10486.355
83,7421.700000000001,82,124,10471.48
84,6067.380000000001,83,178,10531.62
85,6676.740000000001,84,154,10586.800000000001
86,6009.1900000000005,85,180,10630.69
87,6950.26,86,142,10466.89
88,7664.820000000001,87,113,10449.140000000001
89,7988.195000000001,88,100,10475.695
90,6155.895,89,173,10498.195
91,7328.205,90,127,10564.8
92,8236.455,91,92,10623.855
93,8712.914999999999,92,74,10671.695
94,6976.275,93,138,10720.904999999999
95,5163.735,94,206,10654.665
96,6447.045,95,157,10558.875
97,4799.28,96,220,10553.380000000001
98,6104.03,97,170,10540.18
99,4903.889999999999,98,216,10539.329999999998
100,3502.749999999999,99,268,10724.009999999998
101,4633.8099999999995,100,226,10719.99
102,6418.78,101,160,10745.98
103,4975.36,102,214,10695.58
104,3719.9199999999996,103,262,10572.53
105,2723.1199999999994,104,302,10248.96
106,3744.0199999999995,105,261,10242.919999999998
107,5199.254999999999,106,202,10181.585
108,4313.834999999999,107,238,10167.445
109,3057.704999999999,108,289,10175.775
110,2684.954999999999,109,304,10239.355
111,2063.704999999999,110,329,10239.355
112,4414.744999999999,111,233,10120.914999999999
113,5015.119999999999,112,208,10010.239999999998
114,6464.174999999999,113,147,9956.16
115,5306.304999999999,114,196,9937.785
116,4289.57,115,239,9940.724999999999
117,3261.29,116,283,9875.0
118,4674.59,117,223,9927.355
119,3723.19,118,263,9978.645
120,5548.33,119,187,10039.135
121,6455.39,120,149,10012.02
122,7077.18,121,123,10018.725
123,7435.905000000001,122,108,10018.725
124,8108.325000000001,123,80,10029.525000000001
125,8605.08,124,59,10000.725
126,6342.84,125,155,9995.415
127,5450.6,126,193,9982.240000000002
128,4556.46,127,231,9991.89
129,3591.73,128,272,9991.89
130,2589.1850000000004,129,315,9933.41
131,1892.2850000000005,130,345,9906.634999999998
132,1540.4600000000005,131,360,9984.26
133,1187.8100000000004,132,375,10004.060000000001
134,3141.2300000000005,133,291,9908.435000000001
