,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,8785.6,3,138,10000.0
2,8954.415,4,119,10011.730000000001
3,9147.960000000001,5,96,9955.800000000001
4,6782.495000000001,6,385,9933.720000000001
5,7136.475,7,341,9879.82
6,6181.795,8,457,9942.905
7,6613.4800000000005,9,404,9904.060000000001
8,7099.05,10,345,9938.400000000001
9,5384.09,11,553,9943.575
10,6485.8,12,422,10034.82
11,5442.96,13,546,10034.82
12,5955.97,14,485,10034.82
13,6728.41,15,403,10524.67
14,7495.05,16,329,10903.49
15,8065.05,17,279,11245.65
16,8742.210000000001,18,225,11563.710000000001
17,6375.300000000001,19,407,11668.335000000001
18,7043.415000000001,20,358,11924.745000000003
19,8535.895,21,252,12084.055
20,6848.55,22,373,12050.035
21,7978.645,23,294,12184.315
22,8562.585000000001,24,251,11971.165
23,6427.785000000002,25,395,12283.660000000002
24,4632.555000000002,26,517,12240.210000000003
25,6609.630000000002,27,382,12204.02
26,5704.3200000000015,28,445,12098.970000000001
27,6901.560000000001,29,357,11758.545000000002
28,5800.740000000002,30,441,11580.045000000002
29,7022.295000000002,31,348,11593.275000000001
30,8271.180000000002,32,249,11412.315000000002
31,8976.180000000002,33,189,11196.930000000002
32,7699.9050000000025,34,294,11273.475000000002
33,5416.785000000003,35,483,11251.425000000003
34,4316.535000000003,36,573,11321.460000000003
35,6247.730000000003,37,412,11189.670000000004
36,7445.230000000003,38,312,11181.430000000004
37,8181.500000000004,39,251,11211.070000000003
38,6742.985000000003,40,368,11267.545000000004
39,8008.095000000003,41,262,11135.065000000002
40,6202.695000000003,42,415,11099.695000000003
41,7434.855000000003,43,313,11215.895000000004
42,6673.895000000003,44,377,11156.425000000003
43,7131.895000000003,45,337,10990.545000000002
44,7704.880000000003,46,286,10918.090000000004
45,8327.330000000004,47,227,10722.180000000004
46,8956.430000000004,48,167,10707.425000000003
47,9267.745000000004,49,138,10749.175000000005
48,9623.650000000005,50,105,10756.075000000004
49,9829.515000000005,51,86,10761.325000000004
50,10011.835000000005,52,70,10809.485000000004
51,10165.040000000005,53,57,10836.785000000005
52,10295.115000000005,54,46,10839.065000000006
53,10342.835000000005,55,42,10843.895000000004
54,8626.355000000005,56,186,10843.475000000006
55,9253.875000000005,57,133,10828.595000000005
56,9704.910000000005,58,94,10792.020000000006
57,9834.655000000006,59,83,10813.640000000007
58,7842.345000000007,60,250,10824.845000000007
59,6531.620000000006,61,359,10848.595000000007
60,7444.070000000006,62,282,10785.770000000006
61,8205.545000000006,63,217,10747.700000000004
62,8694.470000000005,64,176,10793.270000000004
63,9093.990000000005,65,144,10891.830000000005
64,7068.715000000006,66,307,10883.190000000006
65,5249.690000000006,67,452,10920.030000000006
66,4039.4150000000063,68,551,10775.390000000007
67,3043.115000000006,69,633,10734.065000000006
68,2545.5800000000063,70,674,10724.570000000007
69,4669.580000000006,71,494,10498.780000000006
70,5647.3400000000065,72,410,10419.740000000007
71,6664.610000000006,73,321,10333.640000000007
72,7514.500000000006,74,247,10351.295000000006
73,5405.860000000006,75,431,10345.120000000006
74,6691.760000000006,76,321,10444.250000000005
75,7645.535000000005,77,240,10471.535000000005
76,8101.535000000005,78,202,10525.535000000005
77,8642.955000000005,79,158,10587.145000000006
78,9146.325000000006,80,116,10536.585000000006
79,7060.065000000006,81,290,10537.165000000006
80,7539.465000000006,82,250,10535.715000000006
81,8406.345000000005,83,178,10549.465000000004
82,8814.685000000005,84,144,10544.125000000005
83,9258.685000000005,85,107,10542.685000000005
84,6556.945000000005,86,329,10560.875000000005
85,7680.385000000006,87,236,10531.265000000007
86,6721.325000000005,88,315,10545.425000000007
87,7717.740000000005,89,232,10502.900000000005
88,8240.460000000005,90,188,10473.900000000005
89,8848.860000000004,91,136,10440.060000000005
90,7247.460000000005,92,272,10450.260000000006
91,8143.710000000005,93,197,10497.860000000004
92,6747.210000000005,94,311,10556.960000000005
93,4943.520000000005,95,458,10563.180000000004
94,5930.320000000005,96,378,10592.950000000004
95,4972.445000000005,97,457,10513.570000000005
96,3689.0850000000055,98,561,10611.825000000004
97,4571.805000000006,99,489,10566.945000000007
98,3807.6150000000057,100,552,10503.375000000005
99,5058.690000000006,101,447,10384.695000000005
100,6387.570000000006,102,334,10315.410000000007
101,7546.720000000006,103,237,10378.870000000006
102,7869.910000000005,104,210,10383.610000000004
103,8486.890000000005,105,158,10361.560000000005
104,8812.995000000004,106,129,10263.600000000004
105,7732.800000000005,107,230,10192.650000000005
106,5503.650000000005,108,440,10174.250000000005
107,3952.0500000000047,109,584,10244.650000000005
108,4617.000000000005,110,522,10215.450000000004
109,5244.300000000005,111,462,10074.510000000006
110,6448.960000000005,112,346,10042.170000000006
111,5277.360000000004,113,462,9943.560000000005
112,4268.370000000004,114,563,9892.740000000005
113,5340.510000000004,115,456,9909.630000000005
114,6054.750000000004,116,384,9864.030000000002
115,6643.9500000000035,117,324,9825.630000000005
116,5460.150000000003,118,444,9840.210000000003
117,4291.4500000000035,119,568,9644.850000000004
118,5498.530000000003,120,442,9732.890000000003
119,6168.175000000003,121,373,9788.140000000003
120,6990.550000000003,122,288,9776.950000000003
121,7651.210000000003,123,222,9873.430000000002
122,5426.785000000003,124,445,9865.660000000003
123,6344.025000000002,125,353,9863.435000000001
124,6874.035000000003,126,299,9808.720000000003
