,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7222.1900000000005,0,98,10000.0
2,6251.320000000001,1,132,10020.58
3,7204.370000000001,2,97,9845.68
4,7677.5650000000005,3,80,9904.365000000002
5,8021.485000000001,4,68,9970.365000000002
6,5885.860000000001,5,143,9957.785
7,5139.985000000001,6,170,9836.235
8,3831.0350000000008,7,217,9874.485
9,5451.335000000001,8,157,9691.120000000003
10,3929.3450000000007,9,211,9876.380000000001
11,4636.385,10,187,10145.405
12,3786.9750000000004,11,216,10113.615
13,5269.215,12,168,10457.055
14,5833.955,13,151,10850.175
15,4959.0199999999995,14,178,10727.11
16,6117.17,15,143,10849.04
17,4996.87,16,177,10829.02
18,4400.9349999999995,17,196,10548.474999999999
19,6061.815,18,144,10661.175
20,7015.914999999999,19,115,10799.414999999999
21,8037.364999999999,20,84,10805.164999999999
22,8769.8,21,61,10712.345
23,9347.15,22,43,10726.375
24,8110.849999999999,23,82,10710.25
25,8589.5,24,67,10727.470000000001
26,7394.21,25,105,10696.985
27,6194.36,26,143,10709.585
28,4506.959999999999,27,195,10834.71
29,5193.974999999999,28,174,10886.385
30,5910.514999999999,29,152,10861.154999999999
31,7021.804999999999,30,118,10878.635
32,7574.134999999999,31,101,10855.625
33,8489.734999999999,32,73,10876.835
34,8748.134999999998,33,65,10847.634999999998
35,7002.709999999998,34,120,10810.909999999998
36,5442.549999999998,35,169,10823.509999999998
37,6923.989999999998,36,122,10769.429999999998
38,5501.899999999998,37,168,10695.619999999999
39,6925.924999999997,38,123,10818.259999999998
40,4993.444999999998,39,184,10822.564999999999
41,3736.0849999999978,40,223,10925.604999999998
42,3353.044999999998,41,235,10854.244999999999
43,2566.919999999998,42,260,10742.619999999997
44,4820.814999999998,43,189,10820.619999999997
45,5809.329999999998,44,156,10482.309999999998
46,7102.489999999998,45,112,10394.169999999998
47,5104.689999999998,46,182,10298.969999999998
48,5876.619999999998,47,155,10308.069999999998
49,7052.294999999998,48,114,10321.244999999999
50,7808.894999999999,49,88,10369.695
51,8129.709999999998,50,77,10375.414999999997
52,7280.444999999998,51,106,10384.654999999999
53,8192.929999999998,52,75,10400.554999999998
54,8665.409999999998,53,59,10407.679999999998
55,6228.149999999998,54,143,10377.294999999998
56,6745.199999999998,55,125,10335.824999999997
57,4849.199999999998,56,189,10448.324999999997
58,3656.579999999998,57,228,10628.819999999998
59,2833.2149999999983,58,255,10609.439999999999
60,3865.9649999999983,59,221,10578.839999999998
61,2975.229999999998,60,250,10653.979999999998
62,4739.299999999998,61,192,10578.98
63,6075.579999999998,62,148,10570.339999999998
64,7060.219999999998,63,116,10629.539999999999
65,5146.589999999998,64,178,10640.559999999998
66,3756.989999999998,65,223,10643.23
67,4848.689999999998,66,187,10519.464999999997
68,6155.029999999998,67,144,10529.749999999998
69,5096.279999999998,68,179,10511.029999999999
70,5698.679999999998,69,159,10487.759999999998
71,6984.809999999998,70,116,10454.369999999997
72,8002.769999999998,71,82,10457.849999999999
73,8633.504999999997,72,61,10465.639999999998
74,7290.184999999998,73,105,10495.834999999997
75,7834.5949999999975,74,87,10465.909999999996
76,5526.1349999999975,75,164,10442.854999999998
77,6688.534999999997,76,124,10291.974999999997
78,7587.069999999997,77,93,10282.674999999997
79,6417.869999999997,78,133,10305.459999999997
80,5241.269999999997,79,173,10330.064999999997
81,3692.609999999997,80,226,10296.329999999996
82,5538.509999999997,81,163,10314.409999999996
83,6775.829999999996,82,121,10340.489999999996
84,7771.009999999997,83,87,10317.499999999996
85,8287.969999999998,84,69,10269.649999999998
86,6359.489999999998,85,137,10244.809999999998
87,5417.669999999998,86,170,10269.469999999998
88,6360.314999999999,87,137,10273.719999999998
89,7155.234999999999,88,109,10249.744999999999
90,5094.814999999999,89,180,10318.414999999999
91,3742.414999999999,90,226,10386.814999999999
92,4739.124999999999,91,192,10367.605
93,3951.264999999999,92,219,10341.685
94,4769.844999999999,93,191,10353.73
95,5382.099999999999,94,170,10338.45
96,6566.794999999999,95,129,10294.25
