,funds,stock_count,total_assets
0,10000.0,0,10000.0
1,7927.93,66,10000.0
2,6177.005,121,10029.04
3,7147.205,91,10090.145
4,7706.59,74,10141.560000000001
5,8060.955,57,9249.119999999999
6,8372.13,42,9243.42
7,7135.83,102,9237.539999999999
8,7716.55,74,9251.310000000001
9,7904.02,65,9257.970000000001
10,5953.81,158,9267.07
11,5252.39,192,9213.35
12,3972.71,254,9215.27
13,4955.03,206,9170.82
14,6160.849999999999,148,9237.77
15,6667.249999999999,124,9283.65
16,7232.629999999999,97,9263.81
17,7699.359999999999,75,9290.484999999999
18,7975.869999999999,62,9294.609999999999
19,6960.189999999999,110,9287.789999999999
20,7339.539999999999,92,9278.439999999999
21,7755.839999999999,72,9254.519999999999
22,8086.879999999999,56,9245.519999999999
23,7150.654999999999,101,9251.96
24,5641.174999999999,173,9268.119999999999
25,4922.074999999999,207,9300.124999999998
26,3523.534999999999,273,9308.404999999999
27,5078.434999999999,200,9338.434999999998
28,6201.769999999999,147,9317.434999999998
29,7008.8899999999985,109,9324.05
30,7554.499999999998,83,9296.254999999997
31,5324.259999999998,189,9300.819999999998
32,5853.884999999998,164,9328.224999999999
33,4270.654999999999,238,9362.664999999999
34,3066.9349999999986,294,9386.465
35,2693.3599999999988,311,9527.585
36,1933.3699999999988,344,9855.689999999999
37,1604.6499999999987,358,10010.489999999998
38,2767.909999999999,309,10103.57
39,4369.544999999999,242,10154.555
40,6016.919999999999,173,10147.294999999998
41,4426.004999999999,240,10124.804999999998
42,5920.679999999999,177,10120.005
43,5150.44,209,10181.07
44,3877.91,262,10168.529999999999
45,5564.3099999999995,194,10375.509999999998
46,4217.009999999999,248,10404.609999999999
47,3057.5199999999995,295,10335.17
48,4825.12,223,10299.77
49,3626.08,271,10395.66
50,4970.95,217,10375.335
51,4030.45,255,10341.7
52,5835.849999999999,183,10424.574999999999
53,5066.349999999999,213,10529.8
54,3622.1099999999997,269,10559.619999999999
55,5174.3099999999995,209,10581.14
56,6212.224999999999,168,10465.145
57,5540.464999999999,195,10392.064999999999
58,4384.484999999999,241,10440.814999999999
59,5956.494999999999,179,10495.039999999999
60,6440.709999999999,160,10518.31
61,4884.82,222,10455.91
62,4374.42,242,10550.26
63,5624.655000000001,193,10549.050000000001
64,6917.76,142,10518.17
65,4915.505,221,10516.75
66,6447.145,162,10652.665
67,5714.1050000000005,190,10688.305
68,4148.835000000001,249,10754.805
69,3226.585000000001,284,10709.985
70,2759.395000000001,302,10597.805
71,2139.1150000000007,326,10564.585
72,1778.4050000000007,340,10538.505000000001
73,1466.6450000000007,352,10611.605000000001
74,1077.0950000000007,367,10608.085000000001
75,815.8950000000007,377,10663.135
76,2939.2850000000008,295,10578.310000000001
77,5121.965,209,10426.385
78,6646.355,148,10344.875
79,5060.6449999999995,211,10371.515
80,5650.445,187,10245.97
81,6803.12,140,10236.619999999999
82,4804.32,220,10301.02
83,6269.69,162,10362.619999999999
84,4661.37,226,10340.75
85,3297.37,281,10266.17
86,2475.08,315,10093.355
87,1893.56,339,10107.529999999999
88,1357.1999999999998,361,10158.380000000001
89,3178.185,288,10362.345
90,4585.8,231,10290.345000000001
91,3823.3550000000005,262,10267.244999999999
92,5533.175000000001,193,10315.715
93,6539.725000000001,152,10271.325
94,4701.285000000002,228,10216.605000000001
95,3743.8850000000016,268,10158.465000000002
96,3070.625000000002,296,10187.945000000003
97,2564.105000000002,317,10210.145
98,2195.9300000000017,332,10344.870000000003
99,1736.7000000000016,351,10220.370000000003
100,1570.2050000000017,358,10085.235000000002
101,1227.8350000000019,372,10325.095000000001
102,1000.8100000000019,381,10611.535000000002
103,3273.760000000002,291,10622.965000000004
104,2376.280000000002,327,10528.390000000001
105,3417.880000000002,285,10485.880000000001
106,2637.610000000002,316,10591.330000000002
107,2032.570000000002,340,10603.970000000001
108,1704.255000000002,353,10619.27
