,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7235.2,1,128,10000.0
2,7829.2,2,103,10276.48
3,8247.44,3,87,10521.62
4,8707.44,4,71,10748.69
5,9087.0,5,59,10953.17
6,9608.85,6,44,11139.61
7,10068.09,7,32,11292.73
8,7205.29,8,100,11415.29
9,7761.01,9,88,11836.29
10,8881.69,10,66,12243.73
11,9890.23,11,48,12579.67
12,8904.15,12,64,12848.47
13,9785.42,13,51,13242.710000000001
14,7846.6,14,77,13588.49
15,8912.99,15,64,14162.91
16,10176.21,16,50,14687.71
17,7694.959999999999,17,75,15138.71
18,6302.789999999999,18,88,15726.71
19,9163.829999999998,19,62,15986.309999999998
20,7673.354999999998,20,77,15324.46
21,9589.029999999997,21,58,15436.879999999997
22,8347.629999999997,22,70,15589.129999999997
23,10206.324999999997,23,53,16001.079999999998
24,8889.844999999998,24,64,16549.364999999998
25,6462.034999999998,25,85,16288.884999999998
26,5575.449999999998,26,92,17227.71
27,5047.129999999998,27,96,17726.809999999998
28,4006.6899999999982,28,104,17532.41
29,3252.309999999998,29,110,17082.61
30,2618.784999999998,30,115,17189.86
31,1951.334999999998,31,120,17970.135
32,1430.694999999998,32,124,17570.534999999996
33,3867.064999999998,33,105,17331.214999999997
34,3199.464999999998,34,110,17886.664999999997
35,2377.374999999998,35,116,18271.114999999998
36,4938.669999999998,36,97,18014.754999999997
37,7503.479999999999,37,78,18032.7
38,9776.919999999998,38,62,18586.5
39,8127.469999999998,39,73,19073.819999999996
40,10904.249999999998,40,56,20051.289999999997
41,8852.429999999998,41,68,20479.41
42,11312.229999999998,42,54,20800.03
43,9164.949999999997,43,66,20974.989999999998
44,11811.549999999997,44,51,20809.989999999998
45,14144.369999999997,45,37,20309.679999999997
46,12439.719999999998,46,47,20451.574999999997
47,9817.869999999997,47,62,20654.85
48,7523.304999999997,48,75,20761.179999999997
49,9272.104999999996,49,65,20639.304999999993
50,8419.404999999995,50,70,20357.204999999994
51,11525.034999999996,51,52,20496.854999999996
52,10097.034999999996,52,60,20807.034999999996
53,12841.584999999995,53,45,21075.234999999993
54,10940.564999999995,54,56,20618.484999999993
55,12653.914999999995,55,46,20535.324999999993
56,9169.279999999995,56,67,20286.924999999996
57,8048.789999999995,57,74,19893.969999999994
58,7071.809999999996,58,80,20098.209999999992
