,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,8465.97,0,179,10000.0
2,8901.0,1,128,9992.84
3,7683.7,2,268,10013.96
4,8313.34,3,196,10027.36
5,8533.09,4,171,10036.18
6,7050.45,5,343,10007.11
7,5982.1900000000005,6,467,10005.395
8,4596.280000000001,7,629,9977.375
9,6187.880000000001,8,445,10037.130000000001
10,6997.280000000001,9,350,9979.28
11,7611.575000000001,10,277,9942.53
12,8226.95,11,202,9884.36
13,8554.745,12,163,9924.76
14,8817.160000000002,13,132,9934.54
15,6658.560000000001,14,383,9952.360000000002
16,5293.520000000001,15,534,10120.880000000001
17,4220.045000000001,16,651,10192.970000000001
18,5061.845000000001,17,559,10176.695000000002
19,6268.325000000001,18,427,10171.105000000001
20,7012.0650000000005,19,345,10141.215
21,7659.345,20,273,10113.615
22,6141.3150000000005,21,440,10140.915
23,6936.395,22,352,10116.715
24,7400.645,23,302,10204.715
25,6506.115000000001,24,393,10369.305
26,7361.325000000001,25,306,10369.305
27,7850.075000000001,26,256,10352.475
28,8196.225,27,221,10381.915
29,6555.235000000001,28,390,10342.135000000002
30,5732.455000000001,29,474,10375.285
31,6501.52,30,395,10346.845000000001
32,7253.7300000000005,31,321,10516.695
33,7718.330000000001,32,275,10495.830000000002
34,8159.725000000001,33,232,10541.205000000002
35,8697.410000000002,34,179,10513.365000000002
36,6192.6100000000015,35,427,10505.310000000001
37,7315.930000000002,36,316,10513.850000000002
38,6553.930000000002,37,391,10526.490000000002
39,7486.330000000002,38,301,10604.690000000002
40,8176.3600000000015,39,235,10633.285000000002
41,6063.850000000002,40,436,10646.210000000003
42,4492.420000000002,41,583,10724.690000000002
43,6174.020000000002,42,423,10619.750000000004
44,7430.660000000003,43,304,10640.900000000003
45,6303.880000000003,44,410,10662.180000000002
46,5501.755000000003,45,485,10688.830000000002
47,4338.505000000003,46,595,10630.630000000003
48,3481.195000000003,47,677,10559.230000000003
49,4719.605000000003,48,559,10586.310000000005
50,5339.625000000004,49,501,10695.315000000004
51,6323.335000000004,50,410,10755.435000000005
52,4937.965000000004,51,536,10831.285000000003
53,3914.4100000000035,52,623,11244.005000000005
54,4995.5350000000035,53,530,11156.785000000003
55,3942.6650000000036,54,619,11265.435000000005
56,5108.710000000004,55,518,11089.020000000004
57,6483.270000000004,56,397,10993.190000000004
58,5353.185000000004,57,496,11015.025000000003
59,6293.985000000004,58,416,11186.145000000004
60,7560.3300000000045,59,309,11217.345000000005
61,6492.445000000004,60,400,11186.445000000003
62,5706.7050000000045,61,468,11114.445000000003
63,7127.355000000005,62,345,11112.105000000005
64,8144.820000000005,63,258,11162.130000000005
65,8816.280000000006,64,201,11184.060000000007
66,9458.680000000006,65,146,11163.960000000006
67,9935.280000000006,66,106,11198.270000000006
68,7195.905000000006,67,331,11225.830000000005
69,7893.065000000006,68,273,11174.525000000005
70,5637.065000000006,69,461,11169.065000000006
71,4761.795000000006,70,534,11164.455000000005
72,6586.920000000006,71,379,11049.645000000008
73,5771.3400000000065,72,448,11066.700000000008
74,4573.860000000006,73,550,11030.860000000006
75,5981.8800000000065,74,426,10819.110000000008
76,7384.3800000000065,75,301,10761.600000000006
77,7974.800000000007,76,248,10737.520000000008
78,7183.860000000006,77,319,10737.520000000006
79,8040.100000000006,78,242,10731.140000000007
80,8574.580000000005,79,194,10734.770000000006
81,8863.570000000005,80,168,10730.890000000005
82,9143.320000000005,81,143,10743.490000000005
83,9321.160000000005,82,127,10732.765000000005
84,9528.160000000005,83,109,10781.660000000005
85,9813.910000000005,84,84,10774.030000000006
86,7598.270000000006,85,277,10778.230000000007
87,5679.395000000006,86,452,10635.575000000006
88,4223.340000000006,87,579,10861.575000000004
89,6046.980000000005,88,423,10991.850000000006
90,7414.0400000000045,89,307,11032.035000000003
91,6425.9150000000045,90,392,10982.915000000005
92,7578.4150000000045,91,292,10943.715000000004
93,6177.855000000005,92,414,10930.575000000004
94,6966.180000000005,93,345,10907.805000000006
95,7842.600000000005,94,264,10699.080000000005
96,8186.600000000005,95,232,10680.600000000006
97,8877.480000000005,96,168,10691.040000000005
98,6701.320000000005,97,371,10678.440000000004
99,4720.275000000005,98,552,10761.915000000005
100,3609.0000000000055,99,651,10916.475000000006
101,3063.0000000000055,100,699,11014.125000000005
102,4695.9600000000055,101,555,10989.660000000005
103,6512.490000000005,102,404,11372.610000000004
104,4792.610000000005,103,550,11271.610000000004
105,4232.210000000005,104,598,11213.860000000004
106,5385.670000000005,105,500,11270.670000000006
107,6672.670000000005,106,400,11820.670000000006
108,4739.230000000005,107,552,11760.670000000006
109,3921.805000000005,108,615,11901.430000000004
110,2931.055000000005,109,690,12045.955000000005
111,2235.815000000005,110,742,12156.355000000007
112,1868.315000000005,111,770,11974.565000000006
113,4690.190000000005,112,555,11974.565000000006
114,3740.030000000005,113,629,11816.390000000005
115,2855.230000000005,114,699,11690.590000000006
116,5244.710000000005,115,511,11739.520000000004
117,4087.6450000000045,116,602,11742.075000000004
118,5388.145000000004,117,500,11763.145000000004
119,4212.880000000005,118,591,11845.645000000004
120,3343.5000000000045,119,659,11768.815000000006
121,4218.765000000005,120,590,11702.915000000005
122,6375.495000000004,121,416,11531.815000000004
123,5426.255000000005,122,492,11571.335000000005
124,7203.385000000005,123,350,11583.635000000006
