,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7889.99,2,602,10000.0
2,5698.15,3,1210,10060.2
3,4062.8499999999995,4,1670,9999.699999999999
4,3477.5149999999994,5,1837,9916.199999999999
5,4383.615,6,1577,9879.46
6,5240.455,7,1329,9832.15
7,4229.805,8,1619,9872.02
8,3656.2750000000005,9,1785,9823.45
9,2909.7950000000005,10,2002,9796.675000000001
10,4533.9800000000005,11,1525,9726.605
11,3899.1150000000007,12,1712,9711.355
12,4696.795000000001,13,1476,9685.675000000001
13,5501.670000000001,14,1241,9752.095000000001
14,4718.225000000001,15,1462,9901.015000000001
15,3766.8200000000015,16,1735,9813.295000000002
16,3058.9400000000014,17,1939,9787.27
17,4412.660000000002,18,1550,9806.660000000002
18,5528.390000000001,19,1228,9783.41
19,6380.270000000001,20,980,9746.570000000002
20,6996.340000000001,21,798,9697.570000000002
21,5819.085000000001,22,1151,9657.670000000002
22,6897.485000000001,23,831,9697.955000000002
23,7549.825000000001,24,638,9706.265000000001
24,5356.205000000001,25,1287,9706.265
25,4398.605000000001,26,1572,9680.525000000001
26,5694.130000000001,27,1187,9688.385000000002
27,4111.5700000000015,28,1658,9682.45
28,5694.130000000001,29,1187,9682.45
29,6449.950000000001,30,959,9629.035
30,5149.750000000001,31,1353,9614.650000000001
31,5923.600000000001,32,1122,9682.300000000001
32,4818.160000000002,33,1451,9693.52
33,5565.190000000001,34,1229,9700.775000000001
34,4057.6700000000014,35,1677,9700.775000000001
35,2950.7750000000015,36,2004,9734.315000000002
36,2604.2750000000015,37,2104,9894.635000000002
37,2012.6750000000015,38,2274,9926.195000000002
38,3618.5500000000015,39,1831,10255.925000000001
39,2676.0700000000015,40,2083,10466.490000000002
40,5128.270000000001,41,1473,11049.73
41,5732.850000000001,42,1325,11145.475000000002
42,4080.430000000001,43,1732,11112.350000000002
43,5344.430000000001,44,1416,11008.43
44,6320.755000000001,45,1171,10987.190000000002
45,5094.115000000001,46,1475,11045.740000000002
46,5821.245000000001,47,1297,11119.490000000002
47,4245.515000000001,48,1688,11048.155000000002
48,5036.5250000000015,49,1490,10989.075
49,6067.495000000002,50,1228,10899.675000000003
50,5436.915000000002,51,1392,10789.155000000002
51,4851.715000000002,52,1544,10796.115000000002
52,3943.195000000002,53,1770,11058.595000000001
53,5275.750000000002,54,1427,10819.645
54,6645.745000000002,55,1066,10691.215000000002
55,7787.500000000002,56,757,10584.615000000002
56,5469.635000000002,57,1386,10577.045000000002
57,4115.485000000002,58,1751,10611.695000000003
58,3235.8850000000025,59,1991,10532.900000000003
59,2712.7750000000024,60,2132,10622.495000000003
60,4435.600000000002,61,1667,10611.835000000003
