,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7213.42,1,339,10000.0
2,6254.05,2,452,10091.53
3,6748.765,3,393,10044.07
4,4916.925,4,607,10112.845000000001
5,6169.47,5,456,9951.99
6,6689.22,6,393,9931.470000000001
7,7517.97,7,291,9882.345000000001
8,7949.570000000001,8,239,9933.27
9,8396.69,9,185,9928.49
10,8755.74,10,142,9941.44
11,9099.72,11,100,9918.72
12,8039.269999999999,12,227,9934.72
13,5880.504999999998,13,486,9931.314999999999
14,5037.214999999998,14,584,10062.535
15,6426.874999999998,15,425,10141.374999999998
16,5605.784999999998,16,519,10139.249999999998
17,4898.984999999998,17,599,10191.149999999998
18,6251.874999999998,18,445,10161.199999999999
19,4648.794999999998,19,628,10150.074999999999
20,3930.8849999999984,20,710,10146.934999999998
21,3538.5049999999983,21,756,9987.184999999998
22,4823.164999999998,22,600,9764.164999999997
23,3885.769999999998,23,711,9890.164999999999
24,3004.999999999998,24,813,10025.254999999997
25,2587.159999999998,25,861,10082.164999999997
26,1903.8099999999981,26,940,10034.809999999998
27,3804.7699999999977,27,722,10100.609999999997
28,3344.9949999999976,28,775,10068.119999999999
29,2627.9049999999975,29,857,10122.369999999999
30,3632.0849999999973,30,739,9920.974999999997
31,4961.874999999997,31,585,10013.349999999997
32,3557.904999999997,32,744,10127.424999999997
33,3058.104999999997,33,800,10198.104999999998
34,2513.6799999999967,34,861,10198.104999999996
35,1770.8299999999967,35,944,10219.629999999996
36,2710.4699999999966,36,840,10299.869999999997
37,2253.4699999999966,37,890,10388.069999999996
38,3779.8499999999967,38,723,10388.069999999996
39,4441.169999999996,39,651,10420.604999999996
40,3721.6199999999963,40,729,10446.644999999997
41,5310.239999999996,41,555,10377.389999999996
42,6699.519999999997,42,403,10382.939999999997
43,7475.994999999997,43,318,10380.924999999997
44,5777.099999999997,44,505,10365.024999999998
45,6942.614999999997,45,376,10339.774999999998
46,7333.774999999997,46,332,10285.254999999997
47,8221.804999999997,47,233,10311.814999999997
48,8785.694999999996,48,171,10340.939999999995
49,7792.159999999996,49,280,10344.359999999995
50,6764.4249999999965,50,393,10338.759999999997
51,7537.9249999999965,51,308,10340.724999999997
52,6689.684999999997,52,400,10377.684999999998
53,5525.534999999996,53,530,10271.684999999996
54,6255.074999999996,54,446,10128.584999999995
55,5038.474999999997,55,586,10130.814999999997
56,5870.249999999996,56,489,10063.424999999996
57,4915.649999999996,57,600,10075.649999999998
58,3464.8099999999963,58,766,10159.649999999996
59,4856.709999999996,59,611,10343.489999999998
60,5566.119999999996,60,533,10413.754999999996
61,6184.704999999996,61,464,10344.464999999997
62,4977.064999999996,62,597,10397.824999999997
63,3812.264999999996,63,725,10409.764999999996
64,3380.744999999996,64,773,10330.014999999996
65,4634.444999999996,65,633,10302.959999999995
66,5423.064999999996,66,547,10439.054999999997
67,6881.404999999996,67,389,10471.874999999996
68,7714.804999999996,68,299,10483.544999999995
69,8357.194999999996,69,230,10498.494999999995
70,8718.919999999996,70,191,10490.444999999996
71,8960.329999999996,71,165,10492.354999999996
72,9184.369999999997,72,141,10500.604999999998
73,9437.764999999998,73,114,10507.654999999997
74,9548.644999999997,74,102,10491.124999999996
75,9718.744999999997,75,84,10512.544999999996
76,9841.464999999997,76,71,10511.704999999996
77,9990.824999999997,77,55,10504.249999999996
78,10074.299999999997,78,46,10500.949999999997
79,7867.699999999997,79,282,10504.399999999998
80,6577.399999999997,80,420,10504.399999999998
81,7753.024999999997,81,295,10527.499999999996
82,5894.329999999997,82,492,10536.349999999997
83,7195.849999999997,83,356,10602.769999999997
84,8089.169999999996,84,264,10652.609999999997
85,5960.399999999996,85,482,10667.129999999997
86,5046.059999999996,86,580,10457.459999999995
87,3822.519999999996,87,711,10463.259999999995
88,4656.449999999996,88,622,10484.589999999997
89,3860.969999999996,89,706,10546.789999999995
90,3410.239999999996,90,753,10631.509999999995
91,4573.039999999996,91,633,10706.809999999996
92,3872.1199999999963,92,705,10735.294999999995
93,4906.809999999996,93,598,10689.469999999996
94,6031.429999999996,94,482,10704.419999999995
95,4819.309999999996,95,608,10668.269999999997
96,3439.779999999996,96,750,10726.029999999995
97,5124.129999999996,97,579,10827.279999999995
98,4505.154999999995,98,642,10812.804999999995
99,5622.354999999995,99,530,10909.104999999996
100,7013.394999999995,100,392,10964.754999999996
101,8004.2499999999945,101,295,11017.674999999996
102,7052.509999999995,102,387,11056.024999999994
103,7997.854999999995,103,294,10986.364999999994
104,8421.214999999995,104,252,10961.374999999995
105,8983.734999999995,105,196,10952.554999999995
106,6683.8349999999955,106,414,11051.534999999996
107,5170.199999999995,107,555,11128.124999999995
108,6179.249999999995,108,462,11191.949999999995
109,5268.689999999995,109,546,11187.329999999994
110,6774.319999999995,110,409,11269.229999999996
111,5258.819999999995,111,549,11201.744999999995
112,7001.329999999995,112,395,11470.754999999996
113,7923.654999999995,113,316,11612.954999999994
114,7041.474999999995,114,394,11497.614999999994
115,7691.654999999995,115,336,11458.214999999997
116,6146.634999999995,116,470,11565.734999999995
117,7128.324999999994,117,384,11511.684999999994
118,7968.224999999994,118,310,11486.724999999995
119,8843.834999999994,119,229,11319.324999999993
120,7096.474999999994,120,392,11298.714999999993
121,7919.764999999994,121,314,11234.034999999994
122,5608.514999999994,122,529,11295.264999999994
123,4178.649999999994,123,660,11382.549999999994
124,3004.859999999994,124,767,11418.849999999995
125,2424.2449999999944,125,820,11407.344999999994
126,3950.2449999999944,126,680,11362.244999999995
127,5283.244999999994,127,556,11260.244999999995
128,5971.884999999995,128,492,11265.804999999995
129,4463.734999999995,129,631,11310.084999999995
130,5860.804999999995,130,502,11297.464999999995
131,4116.804999999995,131,662,11332.604999999996
132,5876.774999999995,132,505,11537.824999999995
133,7177.724999999995,133,387,11444.399999999994
134,5390.744999999995,134,545,11554.694999999996
135,7076.659999999995,135,394,11475.669999999995
136,5783.724999999996,136,513,11357.469999999994
137,6575.524999999996,137,439,11272.824999999995
138,7502.944999999996,138,352,11255.264999999996
139,8026.204999999996,139,301,11114.464999999997
140,6206.154999999996,140,479,11103.929999999997
141,6813.559999999996,141,420,11137.459999999995
