,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7907.28,0,74,10000.0
2,8402.369999999999,1,56,9942.65
3,6168.644999999999,2,135,9985.769999999999
4,6827.364999999999,3,112,10035.044999999998
5,7613.064999999999,4,85,10086.564999999999
6,5858.464999999998,5,147,10018.564999999999
7,4345.844999999998,6,200,10053.844999999998
8,3892.5649999999987,7,216,10011.844999999998
9,3197.5049999999987,8,239,10420.085
10,2552.174999999999,9,260,10541.974999999999
11,3484.874999999999,10,230,10635.574999999999
12,2520.619999999999,11,261,10639.024999999998
13,4358.869999999999,12,204,10937.869999999999
14,5391.9349999999995,13,171,10745.09
15,4500.134999999999,14,199,10838.285
16,6369.1849999999995,15,141,10912.91
17,7336.6849999999995,16,111,10916.435
18,5179.619999999999,17,178,10910.329999999998
19,4508.774999999999,18,199,10865.829999999998
20,3779.674999999999,19,222,10817.074999999999
21,4661.114999999999,20,194,10768.234999999999
22,5948.534999999999,21,151,10469.474999999999
23,4841.024999999999,22,189,10349.429999999998
24,3593.414999999999,23,231,10455.269999999999
25,3232.994999999999,24,243,10531.5
26,2804.104999999999,25,257,10677.3
27,2175.154999999999,26,278,10501.255
28,3225.329999999999,27,243,10516.545
29,4620.994999999999,28,196,10441.215
30,3716.344999999999,29,226,10531.375
31,4825.789999999999,30,189,10492.954999999998
32,3749.9299999999994,31,225,10474.055
33,3233.9799999999996,32,242,10578.68
34,2464.7299999999996,33,267,10680.32
35,1878.6749999999997,34,286,10700.345
36,1630.2749999999996,35,294,10758.975
37,3464.5849999999996,36,235,10770.734999999999
38,5656.905,37,167,11040.985
39,4129.639999999999,38,214,11083.57
40,3541.4899999999993,39,232,11122.089999999998
41,5542.849999999999,40,170,11030.45
42,4404.824999999999,41,205,11070.399999999998
43,5673.424999999999,42,165,10906.4
44,4551.499999999999,43,200,10962.5
45,5461.779999999999,44,172,11053.5
46,3949.5549999999985,45,217,11241.84
47,5581.794999999998,46,169,11328.639999999998
48,4692.854999999999,47,195,11359.904999999999
49,4180.904999999999,48,210,11348.204999999998
50,3237.0249999999987,49,238,11260.004999999997
51,5337.894999999999,50,176,11301.654999999999
52,6626.094999999998,51,138,11304.294999999998
53,7639.194999999998,52,108,11286.354999999998
54,8128.644999999998,53,93,11163.234999999997
55,7174.794999999997,54,123,11085.579999999998
56,5214.044999999997,55,185,11064.669999999998
57,6668.694999999998,56,138,10939.794999999998
58,7811.624999999998,57,101,10931.514999999998
59,8188.184999999999,58,89,10981.004999999997
60,7305.064999999999,59,117,10995.244999999999
61,5216.824999999999,60,183,11006.945
62,3803.824999999999,61,228,10963.024999999998
63,5739.7249999999985,62,168,11160.244999999999
64,7220.2249999999985,63,123,11266.925
65,5722.924999999998,64,169,11223.874999999998
66,6854.999999999998,65,134,11189.229999999998
67,7446.749999999998,66,116,11260.249999999998
68,8536.904999999999,67,83,11278.809999999998
69,6954.824999999999,68,131,11272.585
