,funds,stock_count,total_assets
0,10000.0,0,10000.0
1,8623.45,69,10000.0
2,8795.575,60,9943.075
3,9119.085000000001,43,9937.375000000002
4,6938.265000000001,157,9941.675000000001
5,7414.905000000002,133,10056.285000000002
6,6229.890000000001,192,10086.210000000001
7,4723.190000000001,268,10036.29
8,3781.7800000000016,315,10091.230000000003
9,3071.1050000000014,350,10177.855000000001
10,4784.705000000002,265,10127.105000000001
11,5995.8600000000015,204,10046.280000000002
12,4306.3200000000015,291,9957.54
13,5684.075000000002,220,9953.175000000003
14,6661.075000000002,170,9982.875000000002
15,7431.075000000002,130,9933.575
16,8145.175000000001,93,9940.075
17,8354.175000000001,82,9912.175000000001
18,8619.405,68,9907.665
19,6206.905000000001,193,9931.805
20,7187.405000000001,143,9991.635
21,5494.625000000001,232,9907.265000000001
22,5983.730000000001,205,9697.305000000002
23,5343.930000000001,240,9731.130000000001
24,6525.305000000001,175,9705.93
25,4757.840000000001,268,9851.18
26,5452.515000000001,231,9789.54
27,6345.9850000000015,184,9843.825
28,4821.9850000000015,264,9851.185000000001
29,5530.495000000002,226,9744.265000000001
30,6229.6100000000015,189,9800.765000000001
31,7003.6100000000015,149,9886.760000000002
32,6135.1100000000015,194,9879.310000000001
33,5453.270000000001,230,9809.470000000001
34,4081.3100000000013,302,9835.920000000002
35,5786.105000000001,213,9866.120000000003
36,6793.9000000000015,160,9836.300000000001
37,5039.420000000002,251,9878.700000000003
38,4160.8200000000015,297,9833.520000000002
39,5278.770000000001,239,9885.495
40,6310.190000000001,187,10019.335000000001
41,4472.9000000000015,278,10085.720000000001
42,3828.7400000000016,310,10069.040000000003
43,4825.220000000001,262,10264.34
44,3414.470000000001,328,10425.470000000001
45,5513.0650000000005,231,10510.75
46,4542.465,277,10387.165
47,3772.245,313,10468.880000000001
48,2772.165,361,10293.6
49,2146.965,391,10295.404999999999
50,1753.7600000000002,410,10238.710000000001
51,1581.4400000000003,418,10585.16
52,1277.0800000000004,432,10668.76
53,1004.2600000000004,444,11098.6
54,744.1650000000004,455,11502.640000000003
55,1864.4850000000004,407,11363.865
56,1569.4500000000003,420,11101.35
57,4191.37,308,11401.649999999998
58,5223.585,265,11584.91
59,4498.4400000000005,294,11849.91
60,5900.120000000001,238,11857.260000000002
61,7403.720000000001,178,11864.400000000001
62,6083.720000000001,233,11675.720000000001
63,7633.780000000002,165,11394.955000000002
64,8214.780000000002,140,11468.380000000003
65,8583.340000000002,124,11439.680000000002
66,6943.590000000002,194,11488.04
67,5163.670000000002,270,11487.070000000003
68,6804.850000000002,202,11680.120000000003
69,5482.650000000002,257,11660.930000000002
70,6165.890000000002,228,11537.570000000003
71,7271.090000000002,180,11415.590000000002
72,5229.890000000002,270,11353.490000000002
73,4106.140000000002,320,11298.140000000003
74,3523.870000000002,346,11272.540000000003
75,4980.520000000002,281,11277.730000000003
76,4328.020000000002,310,11303.020000000002
77,5342.090000000002,264,11161.970000000001
78,4048.110000000002,322,11231.930000000002
79,3333.095000000002,353,11475.04
80,5181.6950000000015,274,11593.295000000002
81,4070.4950000000017,322,11524.795000000002
82,3002.6050000000014,368,11545.725000000002
83,2310.6650000000013,397,11783.085000000001
84,1884.9650000000013,415,11699.715000000002
85,1361.2550000000012,437,11764.04
86,4262.825000000002,314,11670.085000000003
87,3442.0750000000016,349,11626.125000000002
88,4677.855000000001,297,11736.060000000001
89,3442.8550000000014,349,11731.605000000001
90,4570.620000000001,302,11817.11
91,6257.970000000001,232,11850.330000000002
92,7596.670000000001,177,11904.850000000002
93,6287.305000000001,230,11969.455000000002
94,4939.465000000001,284,12028.105000000001
95,5641.285000000001,256,12057.925000000001
96,4026.2800000000007,319,12203.845000000001
97,5523.84,261,12262.86
98,6440.76,225,12171.51
99,4809.4,289,12176.01
100,4335.825,308,12012.724999999999
101,5598.6449999999995,256,11815.605
102,7339.304999999999,189,12249.524999999998
103,5460.815,263,12137.07
104,4662.094999999999,295,12025.294999999998
105,6318.294999999999,230,12178.695
106,7413.289999999999,187,12175.244999999999
107,8701.55,136,12136.91
108,9088.025,121,12205.59
109,7835.945,169,12244.31
110,8287.635,152,12326.275
111,6629.16,217,12165.915
112,7404.16,186,12054.16
113,5671.405,257,11943.49
114,5024.264999999999,283,12068.134999999998
115,6990.574999999999,204,12068.134999999998
116,5521.7249999999985,262,12156.874999999998
117,7158.0999999999985,197,12117.574999999997
118,8569.704999999998,140,12036.804999999998
119,9132.859999999999,117,11997.605
120,7423.109999999999,187,11990.585
121,8449.8,145,11994.324999999999
122,8974.72,123,11909.5
123,9362.64,107,11956.855
124,10068.935,78,11968.625
125,10550.035,58,11945.225
126,10761.355,49,11911.875
127,8380.785,150,11916.285
128,7209.6849999999995,199,11965.785
129,8468.605,147,12027.475
130,9525.76,104,12082.6
131,10044.25,83,12093.52
132,10343.29,71,12112.61
133,10518.115000000002,64,12116.515000000001
134,10789.430000000002,53,12096.675000000003
135,8415.870000000003,151,12073.090000000002
136,6173.630000000003,249,11870.750000000004
137,7690.370000000003,181,11727.575000000003
138,6308.700000000003,243,11723.955000000002
139,5120.700000000003,297,11654.700000000003
140,4509.960000000003,324,11838.840000000004
141,5604.120000000003,276,11895.540000000003
142,6494.295000000003,237,11903.820000000003
143,5094.955000000003,298,11931.075000000004
144,4041.095000000003,344,11922.135000000002
145,3238.895000000003,379,11925.575000000004
146,2548.745000000003,409,11957.790000000005
147,5165.045000000004,295,11935.295000000006
148,4048.3350000000037,344,11888.095000000003
149,5832.040000000004,267,12017.095000000003
150,4995.940000000003,303,12033.115000000003
151,6198.775000000003,250,11872.525000000003
152,4403.5750000000035,330,11808.775000000001
153,5842.935000000003,266,11825.275000000003
154,4286.985000000003,335,11841.235000000002
155,3183.2250000000035,383,11990.310000000003
156,2824.4250000000034,399,11772.000000000004
157,2525.8050000000035,413,11335.095000000003
158,3423.5550000000035,371,11353.680000000004
159,5316.845000000003,285,11591.120000000003
160,6916.830000000003,214,11739.320000000003
161,5954.550000000003,258,11597.010000000002
162,5228.310000000003,292,11465.430000000004
163,5839.630000000003,263,11383.670000000002
164,7370.440000000002,190,11354.740000000002
165,6091.380000000002,252,11290.140000000003
166,6846.660000000002,216,11378.340000000002
167,8098.560000000001,156,11353.500000000002
168,6318.2350000000015,241,11365.980000000001
169,7512.100000000001,184,11365.980000000001
170,6086.140000000001,252,11370.580000000002
171,7325.730000000001,193,11380.660000000002
172,6176.230000000001,248,11359.43
173,4430.740000000002,331,11391.670000000002
174,3819.710000000002,360,11404.910000000002
175,4899.490000000002,308,11295.11
176,3855.9900000000016,358,11327.45
177,5682.120000000002,271,11370.410000000003
178,7248.330000000002,197,11417.835000000003
179,7760.330000000002,172,11282.890000000001
180,6557.0250000000015,231,11268.27
181,7294.845000000001,195,11291.37
182,6213.645000000001,248,11272.845000000001
183,4528.605000000001,332,11188.525000000001
184,3182.505000000002,402,10912.965
185,2364.645000000002,445,10828.545000000004
186,1873.2450000000017,471,10775.145
187,1463.8250000000016,493,10638.555
188,2881.4750000000017,415,10424.100000000002
189,5015.505000000002,297,10386.750000000002
190,6221.145000000002,229,10281.315000000002
191,7406.725000000002,161,10213.760000000002
192,8085.715000000002,122,10209.735000000002
193,8580.895000000002,95,10323.195000000002
194,9043.145000000002,70,10337.445000000003
195,6882.585000000003,183,10381.545000000002
196,5947.910000000003,232,10373.310000000001
197,6973.370000000003,178,10353.590000000004
198,6003.310000000002,230,10293.960000000003
199,4907.410000000002,290,10204.260000000002
200,3751.250000000002,354,10146.260000000002
201,4870.350000000002,292,10140.95
202,4391.910000000003,319,10044.590000000002
203,5949.855000000002,230,9976.005000000001
204,6967.015000000002,171,9915.055000000002
205,7433.915000000002,142,9720.115000000002
206,6455.170000000002,203,9712.305000000002
207,6961.710000000002,172,9772.190000000002
208,7472.9000000000015,141,9797.990000000002
209,5496.905000000002,260,9814.205000000002
210,6381.475000000001,207,9836.305000000002
211,7277.440000000001,154,9880.810000000001
212,7991.020000000001,112,9893.900000000001
213,6697.120000000002,188,9897.820000000002
214,7445.120000000002,144,9893.120000000003
215,7802.540000000002,123,9896.000000000002
216,6190.910000000002,217,9911.375000000002
217,7145.9850000000015,162,9959.115000000002
218,7714.905000000002,129,9938.865000000002
219,6838.965000000002,181,9887.910000000002
220,5209.240000000002,276,9944.020000000002
221,6235.545000000002,217,10010.260000000002
222,5282.4450000000015,271,10065.595000000001
223,4563.645000000001,311,10152.315000000002
224,4079.1300000000015,338,10144.54
225,4834.920000000002,296,10161.440000000002
226,6107.520000000002,226,10216.200000000003
227,7199.820000000002,166,10221.850000000002
228,6280.035000000003,217,10193.630000000003
229,4719.255000000003,304,10173.015000000003
230,6296.215000000003,216,10166.935000000003
231,7318.510000000003,159,10170.175000000003
232,6021.790000000003,231,10182.100000000002
233,4989.970000000003,289,10131.280000000002
234,5632.210000000003,253,10145.730000000003
235,6745.420000000003,191,10174.825000000003
236,5901.535000000003,238,10174.825000000003
237,4288.735000000002,328,10166.495000000003
238,5503.895000000002,260,10150.095000000001
239,6447.295000000002,207,10131.895
240,6807.095000000002,187,10171.225000000002
241,5660.810000000002,250,10209.560000000001
242,6351.080000000002,212,10202.060000000001
243,5712.505000000002,247,10219.02
244,6612.655000000002,196,10072.055
245,7364.245000000002,154,10120.075
246,6008.215000000002,232,10041.535000000002
247,4654.840000000002,307,10194.655000000002
248,4066.925000000002,338,10477.095000000001
249,5151.640000000002,279,10281.055
