,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7337.6,0,520,10000.0
2,7833.1,1,420,9914.2
3,8166.09,2,353,9920.5
4,6761.04,3,638,9906.38
5,7333.5,4,522,9909.57
6,7601.74,5,466,9833.88
7,8153.9,6,350,9819.9
8,8437.699999999999,7,290,9809.4
9,6340.605,8,709,9889.15
10,7110.884999999999,9,562,10055.765
11,5204.6449999999995,10,930,10022.044999999998
12,6411.304999999999,11,692,9919.744999999999
13,5580.004999999999,12,855,9940.505
14,4510.054999999999,13,1065,9936.23
15,5953.355,14,782,9941.555
16,5176.355,15,932,10004.114999999998
17,3825.8499999999995,16,1195,9962.175
18,2704.5699999999997,17,1414,9944.25
19,1978.9499999999998,18,1556,9930.109999999999
20,2998.02,19,1355,9867.87
21,2460.345,20,1462,9806.895
22,3920.1949999999997,21,1161,9551.044999999998
23,3314.7549999999997,22,1289,9411.725
24,2350.2049999999995,23,1491,9469.73
25,4197.004999999999,24,1111,9596.464999999998
26,5121.355,25,921,9602.02
27,5767.905,26,787,9565.18
28,6558.255,27,622,9537.635
29,5536.405,28,836,9528.305
30,6063.304999999999,29,726,9540.845
31,4735.929999999999,30,1013,9421.055
32,5613.8949999999995,31,826,9491.965
33,4093.1049999999996,32,1137,9653.035
34,3270.6449999999995,33,1301,9795.16
35,4338.764999999999,34,1085,9704.09
36,3065.7799999999997,35,1344,9671.54
37,2358.0199999999995,36,1488,9671.54
38,3570.629999999999,37,1250,9939.38
39,5172.709999999999,38,927,9770.63
40,6130.954999999999,39,734,9775.265
41,6515.569999999999,40,657,9797.285
42,4633.689999999999,41,1033,9803.855
43,6011.439999999999,42,758,9809.019999999999
44,6689.739999999999,43,625,9877.239999999998
45,7557.299999999999,44,461,9995.99
46,8169.209999999999,45,344,9968.33
47,6437.129999999999,46,680,9942.529999999999
48,5205.619999999999,47,921,9911.93
49,3805.4799999999987,48,1195,9911.93
50,2801.7649999999985,49,1392,9894.004999999997
51,3635.8399999999983,50,1227,9838.324999999997
52,3117.2349999999983,51,1330,9813.784999999998
53,5045.094999999998,52,949,9847.035
54,6438.699999999999,53,670,9785.349999999999
55,6856.4749999999985,54,585,9731.749999999998
56,7476.869999999999,55,458,9714.199999999999
57,6528.449999999999,56,656,9670.689999999999
58,5407.889999999999,57,888,9696.93
59,6125.69,58,740,9714.689999999999
60,4637.0,59,1046,9725.79
61,3255.885,60,1327,9778.09
62,2470.2850000000003,61,1487,9771.455
63,4022.485,62,1175,9868.11
64,3148.6450000000004,63,1351,9856.36
65,2296.0450000000005,64,1525,9768.545000000002
66,1744.0400000000004,65,1638,9745.67
67,3498.76,66,1286,9909.47
68,2716.7850000000003,67,1441,9986.630000000001
69,3798.945,68,1225,9936.195
70,4960.6050000000005,69,997,10040.320000000002
71,6146.575000000001,70,764,10035.335000000001
72,6848.525000000001,71,625,10004.775000000001
