,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,8962.17,0,134,10000.0
2,7953.365,1,267,9978.56
3,8404.164999999999,2,211,10102.715
4,8789.8,3,164,10135.42
5,8978.515,4,141,10135.42
6,6294.3099999999995,5,478,10101.58
7,5430.039999999999,6,676,8380.779999999999
8,5997.159999999999,7,540,8248.96
9,4767.6849999999995,8,831,8278.66
10,3729.3549999999996,9,1080,8232.955
11,3340.1949999999997,10,1174,8200.555
12,2457.6249999999995,11,1393,8071.414999999999
13,3934.4649999999992,12,1021,7987.834999999999
14,3011.024999999999,13,1259,7895.945
15,2516.3049999999994,14,1387,7877.0599999999995
16,3484.984999999999,15,1143,8022.695
17,3072.859999999999,16,1248,7971.259999999998
18,2548.919999999999,17,1382,7952.539999999999
19,1831.3199999999993,18,1566,7938.719999999999
20,3529.539999999999,19,1130,7930.889999999999
21,4075.209999999999,20,989,7902.639999999999
22,3497.834999999999,21,1144,7759.235
23,3042.834999999999,22,1269,7661.994999999999
24,2532.0099999999993,23,1408,7706.409999999999
25,1934.4099999999994,24,1568,7790.889999999999
26,2998.4899999999993,25,1285,7830.089999999998
27,4285.049999999999,26,941,7804.389999999999
28,3203.609999999999,27,1229,7818.504999999999
29,4079.0999999999995,28,998,7861.5199999999995
30,3577.3699999999994,29,1129,7901.439999999999
31,2932.2199999999993,30,1299,7861.924999999999
32,2166.6399999999994,31,1501,7855.429999999999
33,3825.5199999999995,32,1069,7930.48
34,4545.169999999999,33,884,7983.9299999999985
35,3359.419999999999,34,1190,7970.669999999999
36,4309.799999999999,35,946,7994.469999999999
37,5315.999999999999,36,688,7999.199999999999
38,5888.399999999999,37,544,8050.799999999998
39,5216.049999999998,38,714,8039.919999999998
40,5726.129999999998,39,586,8061.339999999998
41,4236.9299999999985,40,951,8117.009999999998
42,5221.664999999998,41,714,8188.334999999998
43,5534.024999999998,42,638,8156.204999999998
44,5918.124999999998,43,546,8197.675
45,4873.234999999999,44,799,8173.104999999999
46,3873.0199999999986,45,1038,8217.05
47,2853.5899999999983,46,1279,8263.759999999998
48,4264.739999999998,47,945,8257.364999999998
49,3671.889999999998,48,1087,8210.114999999998
50,2784.9399999999982,49,1306,8074.239999999998
51,2029.6899999999982,50,1496,7976.289999999997
52,1716.1299999999983,51,1574,8043.609999999998
53,1504.1299999999983,52,1627,8012.129999999998
54,2273.8599999999983,53,1436,8060.939999999999
55,3001.8599999999983,54,1254,8017.859999999999
56,2220.0399999999986,55,1448,8055.479999999998
57,1873.4599999999987,56,1534,8055.479999999998
58,2491.9099999999985,57,1379,7994.119999999999
59,2140.3499999999985,58,1467,8001.0149999999985
60,1546.5749999999985,59,1612,8147.714999999998
61,1116.0149999999985,60,1716,8220.255
62,2691.7649999999985,61,1334,8194.515
63,2147.459999999998,62,1465,8234.535
64,3431.354999999998,63,1156,8234.534999999998
65,4264.499999999998,64,955,8222.974999999999
66,3345.7399999999984,65,1178,8199.099999999997
67,4184.129999999998,66,975,8210.879999999997
68,5314.199999999998,67,697,8147.504999999997
69,4279.959999999998,68,953,8130.079999999998
70,3853.659999999998,69,1058,8149.1399999999985
71,3308.359999999998,70,1191,8191.459999999997
72,2424.919999999998,71,1407,8179.549999999997
73,1711.2949999999978,72,1580,8228.794999999998
74,1205.9949999999978,73,1704,8149.794999999996
75,3021.594999999998,74,1259,8158.314999999999
76,3566.974999999998,75,1125,8145.7249999999985
77,4791.379999999998,76,826,8173.8499999999985
78,4028.4199999999983,77,1013,8161.459999999998
79,3519.6699999999983,78,1138,8151.329999999999
80,4021.954999999998,79,1011,8020.459999999998
81,3498.014999999998,80,1145,7974.964999999998
82,2579.639999999998,81,1382,7934.889999999998
83,2086.8799999999983,82,1509,7941.799999999998
84,1760.1199999999983,83,1593,7956.889999999998
85,1294.5199999999984,84,1713,7940.959999999998
86,1998.6099999999983,85,1532,7958.089999999998
87,3178.959999999998,86,1227,7927.449999999998
88,4112.259999999998,87,983,7872.234999999999
89,5083.809999999999,88,728,7857.489999999998
90,3955.4349999999986,89,1023,7868.409999999999
91,3367.154999999999,90,1177,7863.294999999998
92,2461.8149999999987,91,1414,7863.294999999998
93,3143.2649999999985,92,1237,7905.714999999998
94,3687.1649999999986,93,1097,7949.009999999998
95,3209.5649999999987,94,1217,8053.2249999999985
