,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7951.915,1,39,10000.0
2,7111.755,2,55,9999.805
3,6250.875,3,72,9896.955
4,6704.43,4,63,9879.315
5,7049.46,5,56,9809.7
6,6234.65,6,73,9733.539999999999
7,4610.225,7,106,9828.075
8,6114.725,8,76,9926.125
9,6783.38,9,63,10023.785
10,7402.88,10,51,10035.755000000001
11,6148.9,11,77,9862.61
12,6588.504999999999,12,68,9909.965
13,5690.659999999999,13,87,9801.844999999998
14,6344.249999999999,14,73,9752.255
15,6825.049999999999,15,63,9854.09
16,7577.369999999999,16,47,9787.309999999998
17,8049.544999999999,17,36,9594.845
18,6658.644999999999,18,71,9480.184999999998
19,7375.279999999999,19,54,9651.649999999998
20,7984.654999999999,20,39,9569.029999999999
21,6246.379999999999,21,82,9561.23
22,6958.169999999999,22,65,9679.72
23,5076.944999999999,23,110,9675.494999999999
24,5597.009999999998,24,97,9477.494999999999
25,4576.8899999999985,25,121,9719.994999999999
26,5545.649999999999,26,97,9461.054999999998
27,4680.659999999999,27,118,9541.079999999998
28,5140.459999999999,28,107,9613.059999999998
29,4104.209999999999,29,132,9575.61
30,5048.474999999999,30,109,9523.47
31,4048.4749999999995,31,134,9408.474999999999
32,4617.084999999999,32,120,9490.884999999998
33,5161.134999999999,33,107,9639.085
34,3857.9349999999995,34,137,9809.215
35,2859.6199999999994,35,160,9804.42
36,2322.7199999999993,36,173,9467.619999999999
37,1803.8249999999994,37,186,9228.015000000001
38,1561.2149999999992,38,192,9324.735
39,1362.2649999999992,39,197,9200.894999999999
40,2156.169999999999,40,176,8809.849999999999
41,3809.4699999999993,41,132,8769.369999999999
42,5058.799999999999,42,98,8659.81
43,3823.0999999999995,43,134,8422.65
44,3418.5799999999995,44,146,8340.24
45,2719.7799999999997,45,166,8519.82
46,3636.2799999999997,46,140,8571.279999999999
47,4943.12,47,103,8581.08
48,5801.87,48,78,8481.17
49,6309.0199999999995,49,63,8439.05
50,6589.259999999999,50,55,8515.91
51,6928.659999999999,51,45,8455.96
52,7269.459999999999,52,35,8462.259999999998
53,5781.819999999999,53,79,8452.81
54,6539.169999999998,54,57,8501.394999999999
55,6886.469999999998,55,47,8518.779999999999
56,7197.644999999999,56,38,8511.494999999999
57,6059.084999999999,57,70,8549.685
58,6347.884999999999,58,62,8586.085
59,5444.509999999999,59,87,8588.255
60,6251.464999999999,60,64,8496.904999999999
61,5158.1849999999995,61,96,8438.025
62,5692.985,62,80,8366.985
63,6184.009999999999,63,65,8311.785
