,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,7230.475,0,135,10000.0
2,6111.865000000001,1,189,10027.0
3,6735.865000000001,2,159,10043.065
4,7189.285000000001,3,137,10012.855
5,5783.725,4,205,10021.075
6,6896.395,5,151,10007.75
7,5948.795,6,197,10006.995
8,4492.23,7,268,9990.25
9,5509.959999999999,8,219,10058.59
10,4337.754999999999,9,276,10013.695
11,3843.4749999999995,10,300,10021.974999999999
12,3185.2349999999997,11,332,10014.474999999999
13,2730.055,12,354,10054.314999999999
14,2193.285,13,380,10038.384999999998
15,4389.76,14,277,10296.785
16,5621.530000000001,15,220,10375.73
17,6292.835000000001,16,189,10385.630000000001
18,5601.3150000000005,17,221,10377.125
19,3993.6900000000005,18,296,10338.45
20,5684.685,19,217,10329.57
21,6866.360000000001,20,162,10346.93
22,7307.570000000001,21,141,10269.98
23,8119.745000000001,22,102,10243.895
24,5742.275000000001,23,216,10246.955000000002
25,4268.3150000000005,24,287,10226.435
26,5663.675000000001,25,219,10157.555000000002
27,6500.075000000001,26,178,10131.275000000001
28,7448.825000000001,27,132,10171.325
29,6283.175000000001,28,189,10148.225
30,7104.575000000001,29,149,10164.29
31,6036.495000000001,30,201,10165.035
32,7062.245000000001,31,151,10160.01
33,7598.625000000001,32,125,10177.375
34,6741.93,33,166,10210.5
35,7388.435,34,135,10203.86
36,5366.955,35,232,10201.835000000001
37,6299.095,36,188,10281.875
38,4673.075000000001,37,264,10321.355
39,3428.4700000000007,38,323,10242.155
40,2768.9450000000006,39,354,10300.295
41,4458.545000000001,40,274,10245.425000000001
42,5072.475000000001,41,245,10259.125000000002
43,5882.255000000001,42,207,10293.425000000001
44,7032.620000000001,43,154,10375.19
45,7464.52,44,134,10358.25
46,7745.320000000001,45,121,10358.920000000002
47,8200.915,46,100,10370.415
48,8543.395,47,84,10341.415
49,9032.95,48,61,10331.335000000001
50,7900.6050000000005,49,114,10336.215
51,8197.895,50,100,10321.395
52,5848.025,51,211,10314.895
53,6717.634999999999,52,170,10323.335
54,7686.624999999999,53,124,10298.684999999998
55,8257.134999999998,54,97,10306.744999999999
56,5816.494999999999,55,213,10298.015
57,4584.279999999999,56,272,10264.999999999998
