,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,9856.34,497,44,10000.0
2,9712.68,498,88,10000.0
3,9570.34,499,132,9997.36
4,9432.62,500,176,9983.5
5,9295.78,501,220,9979.980000000001
6,9160.115,502,263,9989.88
7,9028.025,503,305,9987.25
8,8897.195,504,347,9978.1
9,8768.865,505,388,9983.305
10,8642.465,506,428,9994.945
11,8518.065,507,468,9973.545
12,8394.265000000001,508,508,9966.525000000001
13,8273.755000000001,509,547,9963.985
14,8152.660000000001,510,586,9972.19
15,8035.185,511,623,10013.210000000001
16,7919.265,512,659,10041.245
17,7803.935,513,697,9919.33
18,7689.935,514,735,9894.935000000001
19,7577.255,515,771,9990.485
20,7466.195,516,807,9955.789999999999
21,7359.4349999999995,517,841,10000.175
22,7252.509999999999,518,876,9928.689999999999
23,7147.6849999999995,519,911,9876.13
24,7044.61,520,946,9830.58
25,6942.759999999999,521,981,9797.47
26,6841.4349999999995,522,1016,9782.755
27,6744.195,523,1050,9747.195
28,6648.66,524,1083,9783.945
29,6552.44,525,1117,9713.55
30,6458.089999999999,526,1151,9652.115
31,6365.029999999999,527,1184,9703.909999999998
32,6273.509999999998,528,1216,9751.269999999999
33,6184.069999999999,529,1248,9672.23
34,6096.494999999999,530,1279,9709.669999999998
35,6008.454999999999,531,1310,9728.855
36,5921.189999999999,532,1341,9696.105
37,5834.699999999999,533,1372,9662.579999999998
38,5750.8499999999985,534,1402,9669.439999999999
39,5666.549999999998,535,1432,9690.469999999998
40,5585.784999999998,536,1461,9654.669999999998
41,5504.004999999998,537,1490,9705.804999999998
42,5425.704999999998,538,1517,9825.004999999997
43,5346.0549999999985,539,1544,9900.855
44,5269.2249999999985,540,1570,9908.574999999999
45,5192.2649999999985,541,1596,9916.425
46,5118.0149999999985,542,1621,9932.384999999998
47,5044.8899999999985,543,1646,9859.439999999999
48,4971.6399999999985,544,1671,9867.669999999998
49,4900.6399999999985,545,1696,9717.279999999999
50,4829.5149999999985,546,1721,9725.759999999998
51,4759.3899999999985,547,1746,9656.919999999998
52,4691.589999999998,548,1770,9691.839999999998
53,4625.119999999998,549,1793,9806.889999999998
54,4558.534999999998,550,1816,9815.854999999998
55,4492.1799999999985,551,1839,9797.694999999998
56,4429.039999999998,552,1861,9770.109999999999
57,4365.6799999999985,553,1883,9788.719999999998
58,4303.089999999998,554,1905,9722.814999999999
59,4241.5999999999985,555,1927,9627.564999999999
60,4180.219999999998,556,1949,9617.929999999998
61,4119.279999999999,557,1971,9578.949999999999
62,4060.3749999999986,558,1992,9647.934999999998
63,4001.3649999999984,559,2013,9657.894999999999
64,3945.2649999999985,560,2033,9647.829999999998
65,3888.7649999999985,561,2053,9688.489999999998
66,3832.2649999999985,562,2073,9688.489999999998
67,3778.3049999999985,563,2092,9719.585
68,3724.5349999999985,564,2111,9698.664999999999
69,3670.0999999999985,565,2130,9772.55
70,3618.6199999999985,566,2148,9761.899999999998
71,3566.3299999999986,567,2166,9858.56
72,3516.6049999999987,568,2183,9901.879999999997
73,3466.4549999999986,569,2200,9956.454999999998
74,3416.3049999999985,570,2217,9956.454999999998
75,3366.2399999999984,571,2234,9945.369999999999
76,3319.3599999999983,572,2250,9911.859999999999
77,3272.7999999999984,573,2266,9866.859999999999
78,3225.7599999999984,574,2282,9934.84
79,3178.2399999999984,575,2298,10003.299999999997
80,3132.1149999999984,576,2313,10244.589999999998
81,3086.3649999999984,577,2328,10186.764999999998
82,3043.1749999999984,578,2342,10268.244999999999
83,2999.2849999999985,579,2356,10385.344999999998
84,2955.6749999999984,580,2370,10338.224999999999
85,2914.789999999998,581,2383,10409.324999999997
86,2873.904999999998,582,2396,10409.324999999997
87,2832.889999999998,583,2409,10433.284999999998
88,2794.129999999998,584,2421,10613.959999999997
89,2755.129999999998,585,2433,10662.379999999997
90,2716.909999999998,586,2445,10504.234999999997
91,2679.349999999998,587,2457,10369.759999999998
92,2641.969999999998,588,2469,10332.904999999999
93,2603.099999999998,589,2482,10024.279999999999
94,2566.4399999999982,590,2494,10185.609999999997
95,2529.059999999998,591,2506,10335.249999999998
96,2492.3399999999983,592,2518,10197.419999999998
97,2456.039999999998,593,2530,10109.289999999997
98,2420.279999999998,594,2542,9995.439999999999
99,2387.4999999999977,595,2553,9995.439999999997
100,2353.2899999999977,596,2564,10327.329999999998
101,2321.9899999999975,597,2574,10378.609999999997
102,2290.7899999999977,598,2584,10352.869999999997
103,2260.089999999998,599,2594,10223.669999999998
104,2228.589999999998,600,2604,10431.189999999999
105,2197.0399999999977,601,2614,10444.209999999997
106,2165.4899999999975,602,2624,10444.21
107,2133.6899999999973,603,2634,10509.809999999996
108,2105.2949999999973,604,2643,10443.96
