,funds,stock_count,total_assets
0,10000.0,0,10000.0
1,9516.4,93,10000.0
2,9056.395,184,9986.515
3,8619.655,271,9980.075
4,8202.58,354,9981.43
5,7808.14,430,10039.84
6,7431.22,502,10059.19
7,7074.110000000001,569,10106.880000000001
8,6731.235000000001,634,10075.585000000001
9,6403.5650000000005,696,10081.925000000001
10,6093.555,754,10123.685
11,5800.955,809,10104.835
12,5519.675,857,10541.695
13,5255.705,899,10905.92
14,5000.07,940,10860.97
15,4761.049999999999,977,11072.47
16,4534.599999999999,1012,11082.24
17,4319.08,1044,11350.419999999998
18,4110.76,1076,11115.52
19,3917.71,1106,11034.82
20,3728.41,1136,10896.57
21,3547.96,1166,10561.45
22,3381.92,1194,10462.34
23,3222.28,1220,10713.080000000002
24,3068.8,1244,11024.18
25,2926.525,1265,11496.9
26,2787.525,1285,11718.274999999998
27,2657.1150000000002,1303,12097.349999999999
28,2529.855,1321,11869.325
29,2411.3650000000002,1338,11737.224999999999
30,2297.7650000000003,1354,11911.165
31,2188.885,1370,11511.735
32,2083.2850000000003,1386,11230.885
33,1987.7350000000004,1400,11542.735
34,1891.9050000000004,1414,11570.735000000002
35,1803.7000000000005,1427,11485.895
36,1717.9650000000006,1440,11214.765000000001
37,1637.9850000000006,1452,11315.565
38,1564.5050000000006,1463,11337.345000000001
39,1491.7400000000005,1474,11242.25
40,1425.4400000000005,1484,11264.36
41,1358.9900000000005,1494,11286.619999999999
42,1296.1900000000005,1504,10741.31
43,1234.8400000000006,1514,10523.23
44,1179.4450000000006,1523,10553.509999999998
45,1124.7700000000007,1532,10431.67
46,1074.5050000000006,1541,9680.990000000002
47,1026.3100000000006,1550,9326.560000000001
48,981.5900000000006,1558,9690.81
49,937.2700000000006,1566,9612.91
50,891.9500000000005,1574,9808.660000000002
51,851.8050000000005,1581,9918.84
52,811.2050000000005,1588,10021.605000000001
53,772.4600000000005,1595,9600.785000000002
54,739.2800000000005,1601,9592.81
55,706.1300000000006,1607,9584.805000000002
56,671.6600000000005,1613,9938.345
57,642.2850000000005,1618,10148.035
58,613.4100000000005,1623,9986.235
59,583.8600000000006,1628,10205.34
60,557.2850000000005,1633,9236.679999999998
61,531.9350000000005,1638,8836.595000000001
62,511.0550000000005,1642,9082.295
63,490.2950000000005,1646,9033.035
64,469.35500000000053,1650,9107.105
65,447.35500000000053,1654,9544.355000000001
66,430.4200000000005,1657,9784.185
67,413.4250000000005,1660,9817.325
68,396.59500000000054,1663,9726.025
69,379.8100000000005,1666,9701.080000000002
70,363.04000000000053,1669,9692.75
71,346.3750000000005,1672,9634.335
72,330.8050000000005,1675,9024.055
73,315.28000000000054,1678,8998.930000000002
74,299.9950000000005,1681,8864.69
75,290.1750000000005,1683,8553.705000000002
76,280.5150000000005,1685,8419.065
77,270.98500000000047,1687,8309.54
78,261.63500000000045,1689,8157.71
79,251.72500000000045,1691,8630.630000000001
80,241.92500000000044,1693,8537.625000000002
81,232.23500000000044,1695,8444.510000000002
82,222.72500000000045,1697,8291.960000000003
83,212.81500000000045,1699,8631.36
84,203.09500000000045,1701,8469.955
85,193.44500000000045,1703,8410.419999999998
86,188.53500000000045,1704,8555.175
87,183.59000000000046,1705,8614.815
