,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,9471.91,496,87,10000.0
2,8969.76,497,170,9998.26
3,8498.25,498,248,9997.41
4,8052.0,499,323,9973.85
5,7625.29,500,394,9993.23
6,7221.7,501,460,10034.6
7,6839.535,502,521,10103.6
8,6480.72,503,578,10119.23
9,6139.17,504,632,10136.57
10,5817.42,505,682,10206.09
11,5509.5,506,730,10192.45
12,5218.575,507,775,10228.95
13,4944.315,508,817,10279.324999999999
14,4686.915,509,856,10336.515
15,4438.965,510,894,10272.315
16,4209.715,511,929,10294.665
17,3991.4900000000002,512,964,10002.029999999999
18,3780.86,513,998,9963.470000000001
19,3583.3900000000003,514,1029,10138.12
20,3394.6900000000005,515,1059,10055.8
21,3216.7500000000005,516,1087,10124.635
22,3048.3300000000004,517,1115,9755.055
23,2888.3550000000005,518,1142,9654.705
24,2738.3350000000005,519,1168,9477.695
25,2595.3350000000005,520,1194,9162.335000000001
26,2459.3350000000005,521,1219,9090.695
27,2332.2550000000006,522,1243,8913.94
28,2212.3550000000005,523,1265,9106.605
29,2095.9750000000004,524,1287,8904.205000000002
30,1986.1450000000004,525,1308,8826.985
31,1884.2100000000005,526,1327,9003.565
32,1784.7600000000004,527,1345,9215.885000000002
33,1692.8750000000005,528,1362,9054.484999999999
34,1603.9150000000004,529,1378,9265.595000000001
35,1523.8350000000005,530,1392,9486.075
36,1443.6150000000005,531,1406,9499.995
37,1369.0600000000004,532,1419,9507.025
38,1299.1000000000004,533,1431,9641.83
39,1234.2550000000003,534,1442,9734.845000000001
40,1174.2050000000004,535,1452,9893.465000000002
41,1112.7050000000004,536,1462,10104.005000000001
42,1054.7000000000003,537,1471,10535.295000000002
43,1003.3000000000003,538,1479,10505.875
44,951.8200000000003,539,1487,10520.665
45,905.4100000000003,540,1494,10810.63
46,858.3350000000003,541,1501,10952.560000000001
47,818.6750000000003,542,1507,10779.945
48,779.5250000000003,543,1513,10651.85
49,741.9050000000003,544,1519,10266.035
50,703.9850000000004,545,1525,10341.985
51,672.3600000000004,546,1530,10349.61
52,640.5350000000003,547,1535,10410.81
53,607.9850000000004,548,1540,10633.385
54,582.0650000000004,549,1544,10587.185000000001
55,556.2450000000003,550,1548,10548.585000000001
56,530.8450000000004,551,1552,10386.045
57,505.1450000000004,552,1556,10502.445000000002
58,480.0050000000004,553,1560,10284.605000000001
59,455.5050000000004,554,1564,10035.005000000001
60,436.9800000000004,555,1567,10113.205
61,418.3200000000004,556,1570,10183.720000000001
62,399.3900000000004,557,1573,10325.020000000002
63,380.5800000000004,558,1576,10262.099999999999
64,362.2050000000004,559,1579,10033.58
65,344.0250000000004,560,1582,9930.945
66,325.8150000000004,561,1585,9946.765000000001
67,313.3850000000004,562,1587,10176.59
68,300.8350000000004,563,1589,10271.810000000001
69,288.29500000000036,564,1591,10263.865
70,275.93500000000034,565,1593,10120.675
71,263.7150000000004,566,1595,10009.164999999999
72,251.50500000000036,567,1597,10001.190000000002
73,239.33500000000038,568,1599,9969.25
74,227.26500000000038,569,1601,9889.300000000001
75,221.21000000000038,570,1602,9921.32
76,215.17000000000039,571,1603,9897.29
77,209.4150000000004,572,1604,9440.435000000001
78,203.8250000000004,573,1605,9175.775
79,198.1300000000004,574,1606,9344.300000000001
80,192.3200000000004,575,1607,9528.99
81,186.5900000000004,576,1608,9400.43
82,180.7650000000004,577,1609,9553.190000000002
83,174.7800000000004,578,1610,9810.630000000001
84,168.7900000000004,579,1611,9818.680000000002
85,162.7200000000004,580,1612,9947.560000000001
86,156.6100000000004,581,1613,10012.039999999999
87,150.4250000000004,582,1614,10133.015000000001
88,144.2400000000004,583,1615,10133.015000000001
89,138.1300000000004,584,1616,10011.89
90,132.2100000000004,585,1617,9704.85
91,126.3700000000004,586,1618,9575.49
92,120.4350000000004,587,1619,9729.2
93,114.5350000000004,588,1620,9672.535
94,108.55500000000039,589,1621,9802.135
