,funds,stock_count,total_assets
0,10000.0,0,10000.0
1,7690.445,59,10000.0
2,5908.44,106,9927.43
3,4555.165,141,10006.93
4,3486.965,169,9934.314999999999
5,2668.9100000000003,190,10070.36
6,2048.9900000000002,206,10030.46
7,1581.4700000000003,218,10074.75
8,1225.5200000000002,227,10203.369999999999
9,945.1000000000001,234,10319.140000000001
10,745.9000000000001,239,10267.66
11,588.4200000000001,243,10155.33
12,472.36500000000007,246,9988.875
13,394.0150000000001,248,10109.414999999999
14,315.84500000000014,250,10087.094999999998
15,277.01500000000016,251,10023.345
16,238.62500000000017,252,9912.905
17,201.13500000000016,253,9686.105000000001
18,163.44500000000016,254,9736.705
19,126.06000000000017,255,9659.234999999999
