,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,9174.68,423,94,10000.0
2,8419.64,424,182,9981.199999999999
3,7724.254999999999,425,263,9982.109999999999
4,7087.775,426,341,9870.335
5,6501.325,427,415,9790.2
6,5967.61,428,484,9711.349999999999
7,5473.21,429,548,9706.51
8,5022.01,430,608,9594.17
9,4604.12,431,666,9402.65
10,4221.139999999999,432,718,9509.21
11,3872.0149999999994,433,767,9336.89
12,3549.5899999999992,434,812,9367.57
13,3254.3899999999994,435,852,9542.15
14,2982.7699999999995,436,888,9682.73
15,2739.3949999999995,437,921,9531.77
16,2511.6949999999997,438,951,9729.785
17,2305.4149999999995,439,978,9777.335
18,2116.9149999999995,440,1003,9679.535
19,1946.9449999999995,441,1026,9529.085
20,1790.3899999999994,442,1047,9595.775
21,1645.8949999999995,443,1066,9752.825
22,1513.5499999999995,444,1083,9944.705
23,1392.8749999999995,445,1098,10226.285
24,1280.0349999999996,446,1111,10923.515
25,1176.5949999999996,447,1123,10856.855
26,1083.1499999999996,448,1134,10716.48
27,998.4999999999997,449,1144,10682.46
28,919.9749999999997,450,1153,10979.9
29,850.6949999999997,451,1161,10904.955
30,781.6549999999997,452,1169,10870.125
31,723.3449999999998,453,1176,10519.425
32,664.5449999999998,454,1183,10601.744999999999
33,615.4349999999998,455,1189,10347.4
34,565.0649999999998,456,1195,10597.09
35,521.6399999999999,457,1200,10943.639999999998
36,478.6399999999999,458,1205,10841.64
37,444.15999999999985,459,1209,10865.740000000002
38,409.8199999999998,460,1213,10823.425000000001
39,384.16999999999985,461,1216,10780.970000000001
40,359.0749999999998,462,1219,10556.009999999998
41,334.7599999999998,463,1222,10239.070000000002
42,310.29499999999985,464,1225,10300.170000000002
43,285.60499999999985,465,1228,10392.045
44,268.80499999999984,466,1230,10600.805
45,252.07499999999985,467,1232,10557.755000000001
46,235.68499999999983,468,1234,10348.315
47,219.51499999999982,469,1236,10212.575
48,203.28499999999983,470,1238,10249.655
49,186.92499999999984,471,1240,10330.124999999998
50,178.82499999999985,472,1241,10230.925000000001
51,170.85499999999985,473,1242,10069.595
52,163.01499999999984,474,1243,9908.134999999998
53,155.28499999999985,475,1244,9771.405
54,147.55999999999986,476,1245,9765.185
55,139.89999999999986,477,1246,9684.26
56,132.37999999999985,478,1247,9509.819999999998
57,124.78999999999985,479,1248,9597.109999999999
58,117.19999999999985,480,1249,9597.11
59,109.86499999999985,481,1250,9278.615
60,102.70999999999985,482,1251,9053.614999999998
61,95.47999999999985,483,1252,9147.44
62,88.21999999999984,484,1253,9184.999999999998
63,80.95499999999984,485,1254,9191.265
