,funds,stock_count,total_assets
0,10000.0,0,10000.0
1,9995.81,1,10000.0
2,9991.65,2,9999.97
3,9987.525,3,9999.9
4,9983.355,4,10000.035
5,9979.275,5,9999.675
6,9975.285,6,9999.225
7,9971.244999999999,7,9999.525
8,9967.154999999999,8,9999.874999999998
9,9963.134999999998,9,9999.314999999999
10,9959.079999999998,10,9999.629999999997
11,9954.944999999998,11,10000.429999999998
12,9950.849999999999,12,9999.989999999998
13,9946.774999999998,13,9999.749999999998
14,9942.694999999998,14,9999.814999999999
15,9938.624999999998,15,9999.674999999997
16,9934.534999999998,16,9999.974999999999
17,9930.384999999998,17,10000.934999999998
18,9926.154999999999,18,10002.294999999998
19,9921.89,19,10002.925
20,9917.585,20,10003.685
21,9913.255,21,10004.185
22,9908.925,22,10004.185
23,9904.625,23,10003.525
24,9900.405,24,10001.685000000001
25,9892.365,26,9996.885
26,9888.41,27,9995.195
27,9884.52,28,9993.44
28,9880.615,29,9993.86
29,9876.675,30,9994.875
30,9872.724999999999,31,9995.175
31,9868.704999999998,32,9997.344999999998
32,9864.779999999999,33,9994.304999999998
33,9860.845,34,9994.635
34,9856.955,35,9993.105
35,9853.155,36,9989.955
36,9849.365,37,9989.595
37,9845.635,38,9987.375
38,9841.86,39,9989.085000000001
39,9838.09,40,9988.89
40,9834.315,41,9989.09
41,9830.535,42,9989.295
42,9826.7,43,9991.605000000001
43,9822.835000000001,44,9992.895
44,9818.945000000002,45,9993.995
45,9815.100000000002,46,9991.970000000003
46,9811.320000000002,47,9988.980000000001
47,9807.53,48,9989.45
48,9803.68,49,9992.33
49,9799.785,50,9994.535
50,9792.095,52,9992.035
51,9784.465,54,9990.475
52,9780.675,55,9989.125
53,9776.92,56,9987.2
54,9773.18,57,9986.36
55,9769.43,58,9986.93
56,9765.68,59,9986.93
57,9761.995,60,9983.095000000001
58,9758.320000000002,61,9982.495
59,9754.54,62,9988.900000000001
60,9750.730000000001,63,9990.760000000002
61,9746.87,64,9993.910000000002
62,9743.045,65,9991.67
63,9739.210000000001,66,9992.320000000002
64,9735.425000000001,67,9989.02
65,9731.640000000001,68,9989.02
66,9727.920000000002,69,9984.600000000002
67,9720.560000000001,71,9981.840000000002
68,9716.900000000001,72,9980.420000000002
69,9713.470000000001,73,9963.86
70,9710.245,74,9948.895
71,9707.01,75,9949.635
72,9703.85,76,9944.01
73,9700.710000000001,77,9942.490000000002
74,9697.580000000002,78,9941.720000000001
75,9694.465000000002,79,9940.550000000001
