,funds,stock_count,total_assets
0,10000.0,0,10000.0
1,9353.380000000001,26,10000.0
2,8753.380000000001,50,10003.380000000001
3,8184.360000000001,73,9990.380000000001
4,7667.97,94,9979.43
5,7179.070000000001,114,9965.800000000001
6,6714.330000000001,133,9967.510000000002
7,6292.985000000001,150,10010.735
8,5894.185,166,10031.735
9,5520.835,181,10025.925
10,5167.405,195,10090.18
11,4846.37,208,9982.93
12,4531.38,221,9886.21
13,4239.18,233,9912.73
14,3970.2300000000005,244,9936.03
15,3723.7800000000007,254,9983.61
16,3502.6050000000005,263,9965.83
17,3281.6100000000006,272,9960.57
18,3086.0100000000007,280,9932.01
19,2898.0100000000007,288,9666.01
20,2716.0900000000006,296,9447.130000000001
21,2557.9600000000005,303,9402.73
22,2404.7300000000005,310,9190.630000000001
23,2249.9950000000003,317,9257.28
24,2116.8550000000005,323,9284.224999999999
25,1982.7850000000005,329,9334.289999999999
26,1851.8050000000005,335,9164.855
27,1742.7550000000006,340,9158.155
28,1632.1050000000005,345,9266.955000000002
29,1543.4450000000004,349,9279.03
30,1453.5650000000005,353,9385.475
31,1362.7450000000006,357,9468.43
32,1294.6450000000007,360,9466.645
33,1227.9850000000006,363,9293.845000000001
34,1160.3350000000005,366,9413.635
35,1092.0250000000005,369,9494.154999999999
36,1023.9850000000006,372,9460.945
37,978.7150000000006,374,9444.205
38,933.1450000000006,376,9500.305
39,887.3150000000005,378,9549.185
40,840.6250000000005,380,9711.725
41,793.4850000000005,382,9797.225
42,745.6250000000005,384,9934.744999999999
43,697.8650000000005,386,9915.545
44,674.2300000000005,387,9820.974999999999
45,650.7050000000005,388,9778.404999999999
46,627.1750000000005,389,9780.345000000001
47,603.7000000000005,390,9758.95
48,580.4800000000005,391,9659.5
49,558.1250000000005,392,9321.285
50,535.9400000000005,393,9254.645000000002
51,514.0350000000005,394,9144.605
52,492.14000000000055,395,9140.665
53,470.06500000000057,396,9211.765
54,447.91000000000054,397,9243.445
55,425.65500000000054,398,9283.145
56,403.70000000000056,399,9163.745
57,381.62500000000057,400,9211.625
58,359.71000000000055,401,9147.625
59,338.09000000000054,402,9029.33
60,316.26000000000056,403,9113.75
