,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9007.205,10,97.0,10000.0
2,9206.61,15,78.0,10025.220000000001
3,8293.57,53,179.0,9911.73
4,8449.119999999999,63,162.0,9931.419999999998
5,8758.079999999998,66,130.0,10013.229999999998
6,8880.279999999999,84,117.0,9980.079999999998
7,9090.154999999999,99,94.0,9947.904999999999
8,8640.579999999998,111,143.0,9952.604999999998
9,8769.169999999998,113,129.0,9954.034999999998
10,8878.909999999998,121,117.0,9948.874999999998
11,9303.259999999998,127,71.0,9958.234999999999
12,8377.159999999998,139,169.0,9974.209999999997
13,8523.799999999997,159,153.0,9926.044999999998
14,9718.789999999997,175,31.0,10022.434999999998
15,8753.869999999997,192,133.0,10012.049999999997
16,9000.609999999997,205,107.0,10016.039999999997
17,9193.809999999998,211,86.0,9985.009999999998
18,8737.059999999998,213,136.0,9979.419999999998
19,8856.594999999998,218,123.0,9987.579999999998
20,9076.074999999997,255,99.0,9981.429999999997
21,8170.574999999997,266,199.0,9972.519999999997
22,8347.844999999998,274,180.0,10027.244999999997
23,8889.734999999997,284,126.0,10154.144999999997
24,9159.359999999997,315,101.0,10248.644999999997
25,9390.659999999996,349,81.0,10327.424999999996
26,8454.219999999996,361,163.0,10315.679999999997
27,8849.739999999996,366,131.0,10468.899999999996
28,9622.459999999995,375,79.0,10796.399999999996
29,9823.759999999995,396,64.0,10682.639999999994
30,9333.509999999995,406,101.0,10671.759999999995
31,9468.959999999995,411,91.0,10701.554999999995
32,9594.194999999996,412,82.0,10735.224999999997
33,9707.794999999996,413,74.0,10758.594999999996
34,10026.794999999996,414,52.0,10780.794999999996
35,9525.494999999997,422,88.0,10750.894999999997
36,6676.784999999997,463,357.0,10457.414999999997
37,7489.379999999997,472,286.0,10762.649999999998
38,8117.519999999998,493,229.0,10641.099999999999
39,8518.244999999997,536,184.0,10156.764999999998
40,8840.264999999998,557,148.0,10164.124999999998
41,9147.084999999997,582,119.0,10406.104999999998
