,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9004.56,22,92.0,10000.0
2,9217.68,37,74.0,10093.84
3,8304.075,42,151.0,10095.69
4,8689.275000000001,50,121.0,10242.915
5,8986.155,136,97.0,10186.045
6,9217.1,152,78.0,10165.19
7,9406.025,181,63.0,10199.51
8,9759.025,196,38.0,10295.585
9,8784.205,221,122.0,10200.015
10,9074.005,224,98.0,10257.355
11,9322.335,238,79.0,10354.865
12,9517.785,245,64.0,10351.705
13,8570.685,258,141.0,10304.985
14,8932.164999999999,263,113.0,10390.994999999999
15,9234.224999999999,277,91.0,10483.654999999999
16,9366.974999999999,295,82.0,10576.474999999999
17,9484.214999999998,301,74.0,10568.684999999998
18,9588.409999999998,304,67.0,10585.704999999998
19,9782.499999999998,305,54.0,10588.719999999998
20,8817.579999999998,315,122.0,10548.759999999998
21,9177.699999999999,325,98.0,10648.189999999999
22,9437.714999999998,363,79.0,10518.829999999998
23,9638.489999999998,379,64.0,10495.129999999997
24,8679.634999999998,381,137.0,10479.13
25,9005.794999999998,398,110.0,10334.594999999998
26,9286.624999999998,448,88.0,10409.944999999998
27,6508.254999999998,477,354.0,10205.784999999998
28,7161.704999999998,498,284.0,9812.844999999998
29,7822.504999999998,524,228.0,10512.904999999999
30,8056.254999999998,543,206.0,10245.004999999997
31,8488.394999999999,550,165.0,10227.494999999999
