,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9509.38,39.0,10000.0
2,9040.775,76.0,10003.314999999999
3,9131.074999999999,69.0,10021.175
4,9402.374999999998,49.0,10067.059999999998
5,8935.184999999998,78.0,10191.764999999998
6,9049.074999999997,71.0,10204.244999999997
7,9158.589999999997,64.0,10159.869999999997
8,9355.629999999997,52.0,10209.469999999998
9,8434.049999999997,111.0,10167.869999999997
10,8781.649999999998,89.0,10187.849999999999
11,8892.329999999998,81.0,10012.964999999998
12,9230.489999999998,57.0,10033.619999999997
13,8320.629999999997,124.0,10004.549999999997
14,8694.549999999997,100.0,10252.549999999997
15,8983.449999999997,80.0,10139.049999999997
16,9213.369999999997,64.0,10133.049999999997
17,8305.849999999997,128.0,10120.889999999996
18,8574.974999999997,103.0,9683.769999999997
19,8798.974999999997,83.0,9728.574999999997
20,9434.504999999997,34.0,9875.484999999997
21,8502.659999999998,107.0,9868.514999999998
22,8783.324999999999,86.0,9932.714999999998
23,8891.445,78.0,9945.615
24,8986.855,71.0,9954.585
25,9082.859999999999,64.0,9960.619999999999
26,8640.329999999998,97.0,9941.099999999999
27,8759.084999999997,88.0,9920.244999999997
28,8960.364999999998,71.0,9801.004999999997
29,8069.089999999998,148.0,9782.189999999999
30,8404.474999999999,119.0,9780.71
31,8637.925,96.0,9612.324999999999
32,8836.57,77.0,9641.605
33,7959.785,168.0,9578.465
34,8154.155,135.0,8949.305
35,7342.625,277.0,8925.68
36,7681.425,222.0,9048.945
37,7977.765,178.0,9176.595000000001
