,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9002.5,28,125.0,10000.0
2,9200.5,32,100.0,9992.5
3,8284.39,48,217.0,9983.5
4,8438.949999999999,59,196.0,9881.509999999998
5,8886.71,61,138.0,9952.07
6,9143.074999999999,115,111.0,10197.019999999999
7,9890.525,121,45.0,10400.15
8,8903.0,134,144.0,10339.4
9,9181.6,144,116.0,10335.8
10,9395.27,178,93.0,10259.24
11,8457.485,184,194.0,10258.775000000001
12,8783.145,226,156.0,10120.065
13,8985.42,258,125.0,9801.045
14,8539.87,273,195.0,9781.045
15,8808.580000000002,280,156.0,9883.420000000002
16,9011.165,297,125.0,9828.04
17,9469.345000000001,317,63.0,9934.915
18,9001.475,333,122.0,9968.935
19,4507.57,340,733.0,9898.785
20,5016.38,369,660.0,9616.580000000002
21,6539.0,377,462.0,10091.78
