,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,8000.86,143.0,10000.0
2,8386.56,115.0,9970.685
3,8782.275,92.0,10365.135
4,9070.365,74.0,10254.735
5,9281.975,60.0,10188.875
6,8357.075,120.0,10206.875
7,8736.395,96.0,10253.675000000001
8,9012.655,77.0,10132.235
9,9217.480000000001,62.0,10064.090000000002
10,8764.04,94.0,10096.02
11,8892.785000000002,85.0,10108.710000000001
12,9007.025000000001,77.0,10106.585000000001
13,9364.215000000002,54.0,10202.835000000003
14,8437.975000000002,110.0,10257.375000000002
15,8819.895000000002,88.0,10347.575000000003
16,7944.645000000002,178.0,9675.695000000003
17,8264.195000000002,143.0,9569.785000000002
18,8465.795000000002,115.0,9293.795000000002
19,8653.245000000003,92.0,9403.045000000002
20,7795.215000000003,203.0,9364.405000000002
21,7953.415000000003,183.0,9400.945000000003
22,8241.955000000004,147.0,9420.160000000003
23,5772.280000000003,594.0,9054.130000000005
24,6394.730000000003,476.0,8905.630000000003
25,6928.630000000003,381.0,9069.850000000002
26,7274.430000000003,305.0,8662.180000000004
27,7554.420000000003,244.0,8674.380000000003
28,7721.460000000003,196.0,8403.540000000003
29,7338.660000000003,306.0,8403.540000000003
30,7446.060000000002,276.0,8434.140000000003
31,7540.965000000002,249.0,8416.200000000003
32,7624.605000000002,225.0,8408.730000000003
33,7859.775000000002,158.0,8414.355000000003
34,7074.855000000002,406.0,8359.845000000003
