,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9012.789999999999,42.0,10000.0
2,9196.07,34.0,9975.01
3,8292.05,72.0,10004.929999999998
4,8633.509999999998,58.0,10048.13
5,8760.909999999998,53.0,10111.349999999999
6,9009.609999999999,43.0,10079.019999999999
7,9212.73,35.0,10101.38
8,6466.455,140.0,10128.155
9,6801.265,126.0,9814.555
10,7336.515,101.0,9498.925
11,7751.515,81.0,9432.265
12,8065.915,65.0,9343.165
13,8290.945,52.0,9191.064999999999
14,8465.295,42.0,9197.565
15,7633.455,90.0,9193.154999999999
16,7950.075,72.0,9216.555
17,8180.025,58.0,9132.675
18,8390.345,47.0,9288.984999999999
19,7558.445,94.0,9222.244999999999
20,7886.045,76.0,9269.245
21,8847.695,31.0,9510.164999999999
22,7977.835,77.0,9433.905
23,8271.235,62.0,9483.955000000002
24,8482.015000000001,50.0,9360.265000000001
25,7644.035000000001,102.0,9287.765000000001
26,7998.635000000001,82.0,9452.495
27,8668.075,50.0,9714.075
28,8926.275000000001,40.0,9959.075
29,7147.920000000002,121.0,9804.475000000002
30,7430.640000000002,109.0,9998.680000000002
31,7931.910000000003,88.0,10032.470000000003
32,8929.935000000003,53.0,10441.230000000003
33,9194.185000000003,43.0,10330.460000000003
34,9388.825000000003,35.0,10240.375000000002
35,8461.925000000003,81.0,10094.075000000003
36,8742.485000000002,65.0,9882.260000000002
