,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9010.72,37,32.0,10000.0
2,9186.429999999998,51,26.0,9947.839999999998
3,8275.329999999998,62,56.0,9976.049999999997
4,8615.009999999998,65,45.0,10004.609999999999
5,8885.324999999999,72,36.0,9966.585
6,9085.279999999999,87,29.0,9913.664999999999
7,8180.699999999999,92,60.0,9931.499999999998
8,8542.919999999998,98,48.0,9991.799999999997
9,8819.039999999999,114,39.0,10015.56
10,9014.585,151,32.0,9908.505
11,8589.865,159,48.0,9864.025
12,8696.525,160,44.0,9869.785
13,8804.265,161,40.0,9881.664999999999
14,9031.305,165,32.0,9939.465
15,9217.665,182,26.0,10025.225
16,9561.265000000001,190,16.0,10111.025000000001
17,8609.920000000002,211,45.0,10086.145000000002
18,8873.710000000003,242,36.0,9928.870000000003
19,9087.735000000002,248,29.0,9974.410000000002
20,9474.330000000002,262,18.0,10106.940000000002
21,8534.370000000003,277,42.0,10179.300000000003
22,8908.250000000002,281,34.0,10497.240000000002
23,9192.470000000001,293,28.0,10518.830000000002
24,9791.090000000002,298,17.0,10716.230000000001
25,8832.715000000002,309,34.0,10749.465000000002
26,9187.765000000001,313,28.0,10844.665
27,9467.415,334,23.0,10753.805
28,9682.635,349,19.0,10704.93
29,10099.52,353,12.0,10814.18
30,9096.960000000001,374,28.0,10851.44
31,9396.310000000001,392,23.0,10773.320000000002
32,9615.830000000002,426,19.0,10658.550000000001
33,10043.600000000002,436,12.0,10776.920000000002
34,9046.580000000002,445,30.0,10708.280000000002
35,9396.230000000001,456,24.0,10794.830000000002
36,9548.61,480,20.0,10310.51
37,8603.36,483,45.0,10304.810000000001
38,8945.99,494,36.0,10316.51
39,9168.835,517,29.0,10092.05
40,8252.435,532,58.0,10085.235
41,8403.935,542,53.0,10009.835
42,8722.885,554,43.0,10094.37
43,8964.765,569,35.0,10022.99
44,6289.23,578,142.0,9839.94
45,6917.129999999999,589,114.0,9473.579999999998
