,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9006.880000000001,48.0,10000.0
2,9197.59,39.0,10024.0
3,9737.630000000001,16.0,10113.310000000001
4,8780.18,55.0,10130.43
5,9063.87,44.0,10198.630000000001
6,9273.310000000001,36.0,10215.79
7,7420.5700000000015,109.0,10186.990000000002
8,7950.925000000001,88.0,10173.365000000002
9,8367.765000000001,71.0,10108.685000000001
10,8702.785000000002,57.0,10066.795000000002
11,9983.935000000001,12.0,10325.575
12,9011.755000000001,48.0,10307.995
13,9277.885,39.0,10431.115
14,9501.535,32.0,10523.935
15,7611.615,96.0,10446.494999999999
16,8197.48,77.0,10571.775
17,8640.805,62.0,10473.215
18,9043.945,50.0,10723.695
19,9367.744999999999,40.0,10662.945
20,9672.505,32.0,10891.544999999998
21,9905.605,26.0,10915.705
22,10106.205,21.0,10948.725
23,9116.565,45.0,10972.140000000001
24,9472.515000000001,36.0,10896.315
25,9779.675000000001,29.0,11052.195000000002
26,9979.800000000001,24.0,10940.400000000001
27,9019.560000000001,48.0,10940.04
28,9347.430000000002,39.0,10768.200000000003
29,9567.650000000001,32.0,10574.37
30,8629.410000000002,64.0,10505.890000000001
31,8971.050000000001,52.0,10451.490000000002
