,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9039.58,57,6.0,10000.0
2,9215.57,66,5.0,10095.52
3,9611.449999999999,68,3.0,10205.269999999999
4,8840.249999999998,83,7.0,10189.849999999999
5,9055.534999999998,90,6.0,10347.244999999999
6,6469.024999999998,130,24.0,9917.704999999998
7,7080.3849999999975,138,20.0,10137.184999999998
8,8510.744999999997,151,12.0,10656.284999999996
9,8858.514999999998,165,10.0,10597.364999999998
10,9161.614999999998,188,8.0,10374.014999999998
11,6433.864999999998,216,33.0,10034.494999999999
12,7056.694999999998,234,27.0,9859.429999999998
13,7435.744999999998,256,22.0,9103.564999999999
14,7737.424999999998,267,18.0,9094.984999999999
15,7937.284999999998,283,15.0,8936.584999999997
16,5560.234999999999,295,61.0,8712.409999999998
17,6183.634999999998,303,49.0,8729.184999999998
