,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,8001.36,10,581.0,10000.0
2,8394.02,36,465.0,9968.045
3,10074.380000000001,41,47.0,10263.320000000002
4,9067.02,50,303.0,10259.325
5,9292.32,67,243.0,10204.785
6,8364.96,77,495.0,10186.56
7,8708.984999999999,100,396.0,10085.085
8,8989.435,123,317.0,10114.785
9,9211.51,150,254.0,10106.86
10,8751.33,158,387.0,10090.35
11,9021.6,164,310.0,10109.7
12,9128.395,176,279.0,10089.550000000001
13,9513.565,180,168.0,10096.525
14,9039.025000000001,192,300.0,10117.525000000001
15,9255.625000000002,237,240.0,10122.025000000001
16,8794.015000000001,243,378.0,10058.425000000001
17,9046.765000000001,260,303.0,10067.875000000002
18,9253.765000000001,279,243.0,10092.115000000002
19,8331.140000000001,288,518.0,10069.03
20,8692.670000000002,293,415.0,10149.320000000002
21,8987.320000000002,312,332.0,10165.920000000002
22,9215.350000000002,358,266.0,10134.380000000003
23,8756.350000000002,376,402.0,10113.100000000002
24,9027.950000000003,382,322.0,10121.140000000003
25,9245.230000000003,386,258.0,10121.140000000003
26,8785.550000000003,399,394.0,10117.270000000002
27,9049.970000000003,420,316.0,10121.210000000003
28,9244.325000000003,435,253.0,10024.830000000002
29,8784.660000000002,441,402.0,10024.830000000002
30,9034.660000000002,452,322.0,10040.910000000002
31,9129.860000000002,489,290.0,9992.610000000002
32,9215.700000000003,490,261.0,9988.260000000002
33,8756.280000000002,491,417.0,9984.345000000003
34,8873.335000000003,508,376.0,9946.815000000002
35,7543.435000000003,512,948.0,9747.535000000003
36,7754.935000000003,536,854.0,9676.435000000003
37,8164.635000000003,547,684.0,9813.075000000003
38,8322.735000000002,562,616.0,9754.935000000003
39,9074.255000000003,581,308.0,9825.775000000003
