,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9006.35,10,119.0,10000.0
2,9209.555,17,96.0,10057.715
3,8290.28,20,201.0,10050.035
4,8635.68,31,161.0,10025.915
5,8913.76,55,129.0,10034.77
6,9427.84,100,78.0,10214.08
7,8485.79,118,161.0,10313.140000000001
8,8834.59,131,129.0,10240.69
9,9092.465,153,104.0,10165.225
10,9290.465,178,84.0,10122.065
11,8364.35,194,171.0,10184.645
12,8730.02,213,137.0,10203.455
13,8943.050000000001,260,110.0,9810.95
14,9336.19,291,66.0,9925.9
15,8407.465,302,171.0,9919.96
16,8701.905,317,137.0,9888.325
17,8933.025000000001,340,110.0,9874.625000000002
18,6258.545000000002,358,441.0,9821.825000000003
19,6897.865000000002,388,353.0,9462.410000000002
20,7413.065000000001,408,283.0,9495.945000000002
21,7763.905000000002,438,227.0,9186.060000000001
22,8029.630000000002,485,182.0,9104.340000000002
23,7229.005000000002,526,365.0,8825.880000000001
24,7390.645000000002,531,329.0,8867.855000000003
25,8169.645000000002,540,165.0,8953.395000000002
26,7355.065000000002,550,334.0,8964.945000000003
27,7669.555000000002,567,268.0,8946.575000000003
28,7912.825000000003,580,215.0,8899.675000000003
29,8092.350000000002,602,172.0,8810.450000000003
