,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9011.98,33.0,10000.0
2,9194.08,27.0,10013.53
3,9731.76,11.0,10101.415
4,8783.01,41.0,10079.635
5,9046.01,33.0,10130.885
6,9275.51,27.0,10308.26
7,10186.28,6.0,10446.5
8,9171.03,31.0,10429.94
9,9432.87,25.0,10523.87
10,9658.62,20.0,10561.62
11,8729.890000000001,42.0,10502.920000000002
12,9029.45,34.0,10302.580000000002
13,9239.51,28.0,10219.79
14,9417.960000000001,23.0,10238.830000000002
15,8480.660000000002,51.0,10187.885000000002
16,8772.710000000001,41.0,9970.115000000002
17,8882.93,37.0,9902.465
18,8966.51,34.0,9913.75
19,9049.91,31.0,9911.71
20,8610.23,47.0,9901.789999999999
21,8854.625,38.0,9886.515
22,7096.365,114.0,9733.755
23,7642.735,92.0,9927.555
24,8089.224999999999,74.0,9924.795
25,8442.795,60.0,9958.095
26,8753.535,48.0,9996.494999999999
27,9001.485,39.0,10075.935000000001
28,9222.16,32.0,10230.96
29,9413.86,26.0,10244.560000000001
30,8497.75,55.0,10235.2
31,8838.97,44.0,10203.849999999999
32,9032.65,36.0,9904.21
33,8142.429999999999,73.0,9898.81
34,8315.644999999999,66.0,9948.814999999999
35,8642.855,53.0,9976.865
36,8905.755,43.0,10036.224999999999
