,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,8004.08,10,409.0,10000.0
2,8210.08,16,369.0,10110.43
3,8563.4,32,296.0,9996.039999999999
4,8871.675,61,237.0,10110.0
5,9126.65,83,190.0,10157.4
6,9330.71,90,152.0,10146.949999999999
7,9727.91,103,92.0,10336.95
8,8760.515,119,235.0,10350.289999999999
9,9070.244999999999,138,188.0,10309.164999999999
10,9298.164999999999,155,151.0,10228.324999999999
11,8368.81,168,318.0,10138.48
12,8734.21,176,255.0,10213.21
13,9017.259999999998,194,204.0,10149.46
14,9548.619999999999,216,123.0,10355.5
15,8596.414999999999,232,280.0,10294.614999999998
16,8919.814999999999,287,224.0,10213.414999999999
17,9208.675,304,180.0,10390.375
18,9310.734999999999,321,162.0,10229.274999999998
19,9401.614999999998,322,146.0,10230.894999999999
20,9480.154999999999,323,132.0,10220.675
21,9552.304999999998,324,119.0,10212.755
22,9680.529999999999,326,96.0,10215.73
23,8717.785,332,269.0,10214.77
24,9001.335,344,216.0,10156.935
25,9102.765,371,195.0,10044.615
26,9384.064999999999,372,137.0,10048.515
27,8915.929999999998,378,238.0,10019.059999999998
28,9126.489999999998,389,191.0,9982.169999999998
29,8214.889999999998,393,406.0,9936.329999999998
30,8546.179999999997,413,325.0,9875.429999999997
31,8799.029999999997,441,260.0,9810.429999999997
32,8898.739999999996,460,234.0,9796.129999999996
33,8456.059999999996,463,353.0,9769.219999999996
34,8705.959999999995,477,283.0,9716.269999999995
