,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9018.25,15,51.0,10000.0
2,9208.75,28,41.0,9989.8
3,9550.75,44,25.0,10085.125
4,8608.35,70,65.0,10139.75
5,8910.145,82,52.0,10117.325
6,9036.77,116,47.0,10227.045
7,9254.66,129,38.0,10174.64
8,8330.66,139,80.0,10090.66
9,8698.74,146,64.0,10171.06
10,8824.92,173,58.0,10044.66
11,9011.81,212,47.0,9810.34
12,8563.81,237,72.0,9854.05
13,8689.74,240,65.0,9859.09
14,8799.21,243,59.0,9875.664999999999
15,9007.824999999999,248,48.0,9918.144999999999
16,8112.654999999999,251,101.0,9818.544999999998
17,8461.755,265,81.0,9875.609999999999
18,8806.554999999998,292,65.0,10207.304999999998
19,8950.074999999999,316,59.0,10361.355
20,9165.124999999998,370,48.0,10103.524999999998
21,9590.154999999999,374,29.0,10238.884999999998
22,8639.554999999998,381,78.0,10152.754999999997
23,8854.054999999998,403,63.0,9754.954999999998
24,7971.109999999999,419,126.0,9736.999999999998
25,8372.359999999999,424,101.0,9993.41
26,8605.159999999998,455,81.0,9547.999999999998
27,7746.964999999998,461,162.0,9463.354999999998
28,8093.844999999998,471,130.0,9503.044999999998
29,8369.314999999999,490,104.0,9471.195
30,8459.414999999999,507,94.0,9306.355
31,8042.289999999999,508,141.0,9293.664999999999
32,8294.009999999998,531,113.0,9309.88
33,8495.859999999999,563,91.0,9330.784999999998
