,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9013.385,49.0,10000.0
2,9202.205,40.0,10041.405
3,8294.465,81.0,10087.805
4,8457.025,73.0,9940.385
5,8601.295,66.0,9961.555
6,9307.825,33.0,10014.355000000001
7,8394.265000000001,79.0,9963.205000000002
8,8678.44,64.0,9890.92
9,8893.78,52.0,9826.92
10,7123.700000000001,156.0,9778.82
11,7531.970000000001,125.0,9178.220000000001
12,7860.970000000001,100.0,9176.970000000001
13,8143.270000000001,80.0,9272.470000000001
14,8367.590000000002,64.0,9264.870000000003
15,7531.040000000002,130.0,9178.79
16,7848.500000000002,104.0,9118.340000000002
17,7974.700000000002,94.0,9160.980000000001
18,8090.080000000002,85.0,9179.780000000002
19,4857.4000000000015,426.0,8895.880000000001
20,5660.225000000001,341.0,8880.970000000001
