,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9012.26,58.0,10000.0
2,9201.79,47.0,10011.6
3,8296.04,97.0,10053.195000000002
4,8456.78,88.0,10028.460000000001
5,9300.04,44.0,10143.300000000001
6,8379.79,94.0,10109.86
7,8706.94,76.0,10088.24
8,8976.715,61.0,10073.8
9,9217.975,49.0,10203.12
10,8300.45,98.0,10135.5
11,8654.230000000001,79.0,10125.210000000001
12,8786.180000000002,72.0,10143.380000000003
13,9046.510000000002,58.0,10125.020000000002
14,9245.005000000003,47.0,10093.120000000003
15,9608.875000000004,29.0,10195.110000000004
16,8667.935000000003,76.0,10189.455000000004
17,8980.085000000003,61.0,10249.495000000003
18,9222.125000000004,49.0,10210.455000000004
19,9404.825000000004,40.0,10216.825000000004
20,8470.700000000004,87.0,10199.825000000004
21,8800.925000000005,70.0,10160.675000000005
22,9052.155000000004,56.0,10057.075000000004
23,9245.645000000004,45.0,10037.195000000003
24,8330.965000000004,97.0,10037.195000000003
25,8617.580000000004,78.0,9794.210000000003
26,8833.655000000004,63.0,9741.170000000004
27,9011.555000000004,51.0,9767.630000000005
28,8567.555000000004,83.0,9719.180000000004
29,8811.715000000004,67.0,9834.135000000004
