,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9012.64,11,48.0,10000.0
2,9207.535,16,39.0,10052.08
3,8291.235,22,83.0,10019.710000000001
4,8630.195,36,67.0,10049.59
5,8918.795,66,54.0,10117.595000000001
6,9135.295,80,44.0,10087.895
7,9310.255,117,36.0,10097.574999999999
8,9817.929999999998,129,15.0,10180.554999999998
9,8843.154999999999,152,56.0,10174.554999999998
10,9120.409999999998,160,45.0,10254.634999999998
11,9359.764999999998,181,36.0,10317.184999999998
12,6577.144999999998,193,144.0,10287.304999999997
13,7293.104999999998,207,116.0,10259.224999999999
14,7867.299999999997,213,93.0,10189.044999999998
15,8336.649999999998,235,75.0,10292.274999999998
16,8761.674999999997,285,60.0,10461.774999999998
17,9101.454999999998,313,48.0,10460.574999999997
18,9214.754999999997,339,44.0,10461.054999999997
19,9955.754999999997,350,18.0,10468.754999999997
20,9475.529999999997,377,33.0,10532.024999999998
21,9572.099999999997,379,30.0,10537.799999999997
22,8632.179999999997,392,61.0,10481.699999999997
23,9013.659999999996,396,49.0,10571.369999999995
24,9291.894999999997,412,40.0,10528.494999999997
25,9544.254999999997,427,32.0,10553.694999999998
26,8608.179999999997,431,67.0,10400.094999999996
27,8958.269999999997,442,54.0,10412.489999999996
28,9203.119999999997,480,44.0,10280.459999999997
29,9398.719999999998,510,36.0,10278.919999999998
30,8469.619999999997,514,74.0,10278.919999999996
31,8784.199999999997,526,60.0,10132.399999999998
32,9046.579999999996,557,48.0,10096.099999999997
33,9241.744999999997,581,39.0,10087.459999999997
34,8330.974999999997,603,81.0,10087.459999999997
